cod,x1,y1,x2,y2
1100023,-63.6273,-11.1522,-61.468,-8.5749
1100049,-62.2125,-12.0946,-61.0001,-10.9851
1100106,-65.4287,-13.1178,-61.6375,-9.9356
1100122,-63.1965,-11.831,-61.4613,-9.6833
1100189,-61.7964,-12.7827,-60.3023,-10.9889
1100205,-66.8059,-10.8407,-62.2366,-7.9685
1100304,-62.4172,-13.6919,-59.7739,-10.9889
1200054,-70.6212,-11.0692,-69.4195,-10.6768
1200104,-69.7208,-11.1438,-68.5247,-10.488
1200203,-73.6325,-9.4956,-72.0257,-7.5284
1200302,-71.8247,-10.0002,-69.5498,-8.0951
1200336,-73.9905,-8.0574,-72.7389,-7.1163
1200344,-71.118,-10.4014,-68.9972,-8.579
1200385,-67.7059,-10.5093,-66.6195,-9.7972
1200401,-69.3958,-10.7126,-67.1341,-9.2339
1200450,-67.7867,-10.3053,-66.8439,-9.6739
1200500,-70.6214,-10.856,-68.1834,-8.8721
1200609,-72.3536,-9.9998,-70.5553,-7.7358
1200708,-69.4787,-11.0968,-67.7549,-10.1663
1300102,-62.9915,-4.6776,-61.2789,-3.2619
1300201,-73.8013,-7.2151,-70.1237,-4.1262
1300300,-60.2866,-4.4201,-58.787,-3.2428
1300409,-65.3792,-2.4935,-61.3819,2.2333
1300508,-57.4935,-3.6762,-56.8095,-2.5893
1300607,-71.3429,-6.7312,-69.4676,-4.2638
1300706,-69.4343,-9.5944,-67.0573,-8.0448
1300805,-61.2928,-8.8012,-58.1055,-3.8516
1300904,-65.0388,-8.9956,-63.1352,-5.9155
1301001,-69.537,-7.41,-65.9498,-4.294
1301100,-60.8029,-4.2218,-59.2338,-3.0603
1301209,-65.9002,-5.8046,-62.2561,-2.2646
1301308,-64.3863,-4.1549,-61.8001,-2.1029
1301407,-71.5092,-7.9498,-69.3331,-6.3566
1301506,-71.2401,-8.4655,-69.4741,-7.1724
1301605,-67.309,-3.1614,-65.268,-1.9301
1301704,-63.6352,-8.8796,-61.6352,-6.1414
1301803,-73.741,-7.8803,-70.6463,-6.5943
1301902,-60.0462,-3.7529,-58.0645,-2.0454
1302009,-60.9638,-2.8587,-57.8763,0.0386
1302108,-70.0577,-2.8404,-66.001,0.0687
1302207,-67.1955,-4.304,-65.2532,-2.4451
1302306,-70.5715,-6.6446,-66.2831,-2.3672
1302405,-67.5001,-9.8135,-64.3295,-6.9478
1302504,-62.8302,-5.4592,-60.2263,-2.609
1302603,-60.9943,-3.3661,-59.1595,-1.9238
1302702,-62.8561,-8.8619,-60.5131,-4.7114
1302801,-66.0012,-3.8123,-63.7528,-1.4121
1302900,-58.9177,-7.3494,-56.9135,-2.7997
1303007,-59.1934,-2.4265,-56.098,0.2639
1303106,-59.2119,-4.506,-58.1189,-3.5433
1303205,-63.9881,-3.1063,-60.3573,-0.4972
1303304,-61.7128,-8.8024,-58.8861,-4.7724
1303403,-57.4288,-3.3329,-56.3892,-2.2441
1303502,-69.8021,-8.6411,-66.3638,-6.9441
1303601,-67.6491,-1.7979,-63.9634,1.2954
1303700,-69.8373,-3.7221,-67.1386,-2.1726
1303809,-70.046,-1.5272,-65.8884,2.2469
1303908,-70.4451,-6.306,-67.8336,-3.0672
1304005,-59.0509,-3.1441,-58.1016,-2.5576
1304104,-67.7968,-7.3448,-62.1024,-4.5225
1304203,-66.9741,-5.5607,-64.0712,-2.2803
1304302,-60.2301,-2.7626,-57.3287,0.2639
1304401,-58.1926,-3.2146,-57.2891,-2.4549
1400100,-64.8248,2.0042,-59.5159,5.2719
1400209,-64.0001,-1.5802,-58.8864,2.9473
1500107,-49.1541,-1.9561,-48.5299,-1.521
1500206,-49.037,-3.4099,-48.0386,-1.4664
1500305,-51.432,-0.7267,-50.1067,0.2497
1500404,-55.4463,-2.1665,-54.4851,1.5531
1500503,-55.7072,-1.7807,-51.7779,2.5912
1500602,-55.6234,-9.6443,-51.6471,-2.8642
1500701,-50.5344,-1.2705,-49.4667,-0.3124
1500800,-48.4555,-1.4659,-48.3215,-1.2206
1500909,-46.7301,-1.2264,-46.3333,-0.8575
1501006,-56.9556,-4.6777,-54.6946,-3.2206
1501105,-50.5712,-3.162,-49.8471,-1.8051
1501204,-49.974,-3.673,-49.46,-2.6627
1501303,-48.8369,-1.6989,-48.4393,-1.1917
1501402,-48.6239,-1.5261,-48.2956,-1.019
1501501,-48.3598,-1.4701,-48.137,-1.0891
1501600,-47.4381,-1.5167,-47.1869,-1.2229
1501709,-47.1821,-1.5526,-46.3924,-0.7353
1501808,-51.2164,-1.8056,-49.9296,-0.5067
1501907,-48.2994,-2.1005,-47.8572,-1.4663
1502004,-49.2075,-1.2128,-48.4388,-0.4138
1502103,-49.8215,-2.6378,-49.189,-1.9233
1502202,-47.2151,-1.389,-46.9586,-0.9755
1502301,-47.5171,-2.5792,-46.9282,-1.5386
1502400,-48.0355,-1.492,-47.6421,-1.039
1502509,-50.5992,-0.6666,-48.9156,0.7055
1502608,-48.439,-1.0207,-48.1472,-0.7743
1502707,-50.612,-8.7984,-48.3748,-5.8593
1502806,-50.4352,-1.8351,-49.5743,-1.3177
1502905,-47.9769,-1.0652,-47.7544,-0.5499
1503002,-58.8979,-2.2121,-56.0888,-0.0052
1503101,-52.2514,-1.8251,-51.094,-0.4165
1503200,-47.7301,-1.3783,-47.3997,-0.9762
1503309,-49.3568,-2.4501,-48.8741,-1.7013
1503408,-48.1338,-1.5924,-47.7554,-1.3206
1503507,-47.6232,-2.1309,-47.1927,-1.5934
1503606,-58.4813,-9.5349,-54.613,-3.658
1503705,-50.5152,-5.4663,-48.9528,-4.6865
1503804,-50.881,-4.8595,-48.9999,-3.853
1503903,-56.7674,-3.3569,-55.6184,-1.9382
1504000,-49.7464,-2.0411,-49.1712,-1.7025
1504109,-47.7278,-0.9479,-47.5483,-0.697
1504208,-51.3992,-7.252,-48.7295,-4.9195
1504307,-47.6099,-1.0311,-47.3768,-0.581
1504406,-47.8175,-1.0659,-47.5853,-0.5367
1504505,-51.967,-1.9609,-50.2852,-1.1076
1504604,-49.7525,-2.6862,-49.2017,-2.4129
1504703,-49.6421,-4.3439,-48.4372,-1.6554
1504802,-54.9311,-2.4544,-53.7055,0.3802
1504901,-49.6229,-1.7184,-48.9471,-0.9101
1505007,-47.4955,-1.3696,-47.2844,-0.9685
1505106,-56.2716,-2.263,-55.0695,2.4094
