cod,x1,y1,x2,y2
1100015,-62.8935,-13.1185,-61.886,-11.8275
1100023,-63.6177,-10.2878,-62.4221,-9.6688
1100031,-60.9242,-13.6933,-60.3648,-13.3182
1100049,-61.7953,-11.6187,-61.0001,-10.9871
1100056,-61.9073,-13.3633,-60.7161,-13.0039
1100064,-60.7427,-13.3245,-60.3326,-12.9485
1100072,-61.5151,-13.1351,-60.6426,-12.6262
1100080,-64.594,-12.9275,-62.2504,-11.6656
1100098,-61.2112,-11.7488,-60.4345,-10.988
1100106,-65.4287,-12.216,-63.5189,-10.4287
1100114,-63.1449,-11.0742,-62.1215,-10.2215
1100122,-62.1644,-11.2129,-61.4613,-9.6839
1100130,-62.5542,-9.8042,-61.468,-8.5754
1100148,-62.4428,-11.8316,-61.952,-11.2881
1100155,-62.5247,-10.899,-61.8273,-10.1167
1100189,-61.5753,-12.2609,-60.3002,-11.4634
1100205,-66.8057,-10,-62.2365,-7.9689
1100254,-62.1833,-11.402,-61.6315,-10.9859
1100262,-63.1196,-9.8473,-62.4219,-9.5246
1100288,-62.0499,-11.9064,-61.5209,-11.5741
1100296,-61.89,-12.4288,-61.53,-11.8558
1100304,-60.8095,-13.2576,-59.7738,-10.9895
1100320,-63.6296,-12.2368,-62.2062,-11.0051
1100338,-65.3913,-10.8729,-63.7062,-9.9358
1100346,-63.1959,-11.6153,-62.0928,-11.0526
1100379,-62.4175,-13.1811,-61.5241,-11.9644
1100403,-63.7654,-10,-63.0711,-9.3948
1100452,-64.3469,-10.3618,-63.5238,-9.8122
1100502,-62.2124,-11.8766,-61.911,-11.4998
1100601,-63.2617,-10.4921,-62.6702,-10.1666
1100700,-64.2245,-10.8413,-63.4423,-10.1531
1100809,-63.7964,-9.4281,-62.7161,-8.5
1100908,-62.0856,-11.5849,-61.6137,-11.2901
1100924,-61.3486,-12.992,-60.4431,-12.1657
1100940,-63.099,-9.526,-62.2893,-8.7284
1101005,-63.6273,-11.1528,-62.571,-10.4911
1101104,-63.5341,-9.4804,-62.6274,-8.7839
1101203,-61.7438,-11.3331,-61.4263,-10.9859
1101302,-63.1965,-11.2118,-62.5486,-10.8778
1101401,-63.5964,-10.4922,-63.1126,-10
1101435,-62.7166,-11.073,-62.3519,-10.7091
1101450,-61.6781,-12.6257,-61.1417,-12.0001
1101468,-62.1173,-13.5572,-60.7047,-12.4631
1101476,-61.4243,-12.0859,-61.1896,-11.7295
1101484,-61.5638,-12.0899,-61.3631,-11.7428
1101492,-63.7885,-12.3338,-63.1673,-11.4626
1101500,-63.3373,-12.309,-62.837,-11.4819
1101559,-62.4939,-11.03,-62.1221,-10.8343
1101609,-62.6694,-10.3722,-61.9539,-9.8054
1101708,-62.6908,-11.2244,-62.1434,-11.0046
1101757,-62.4302,-10.0542,-61.4764,-9.3264
1101807,-62.2591,-10.6588,-61.91,-10.0661
1200013,-67.1601,-10.119,-66.6194,-9.6871
1200054,-70.6228,-11.0699,-69.4182,-10.6774
1200104,-69.7206,-11.0223,-68.549,-10.4887
1200138,-68.6113,-9.9381,-67.7982,-9.2332
1200179,-68.0755,-10.7134,-67.5875,-10.1965
1200203,-73.6323,-8.4957,-72.1838,-7.5288
1200252,-68.7664,-11.1448,-68.0967,-10.6618
1200302,-72.1995,-10.0008,-69.5522,-8.0955
1200328,-72.3534,-9.7994,-71.5326,-8.6469
1200336,-73.9909,-7.7724,-72.7387,-7.1115
1200344,-70.6249,-10.402,-68.9886,-8.5781
1200351,-73.2123,-9.5449,-72.0256,-8.6716
1200385,-67.7058,-10.5099,-66.8967,-9.9822
1200393,-73.3055,-8.916,-72.2063,-8.116
1200401,-69.3957,-10.4866,-67.1338,-9.5013
1200427,-73.7725,-8.0808,-72.6091,-7.6367
1200435,-71.1081,-10.0767,-69.796,-8.9443
1200450,-67.7886,-10.3062,-67.0636,-9.677
1200500,-70.6254,-10.8567,-68.1832,-8.8662
1200609,-72.2726,-8.9237,-70.5551,-7.7187
1200708,-69.4785,-11.0261,-67.984,-10.1491
1200807,-68.1021,-9.9434,-67.3272,-9.337
1300029,-65.9249,-4.2923,-64.6668,-3.0562
1300060,-68.6321,-3.7747,-67.8335,-3.0674
1300086,-62.0875,-3.6845,-61.2788,-3.2621
1300102,-62.9908,-4.6779,-61.3724,-3.631
