cod_mun,n_dom_amostra,n_pes_amostra,dom_pond,pop_pond,a10_parede_alv,a11_adensamento,a12_proprio_quit,a13_alugado,a14_apartamento,a15_moradores,a16_com_criancas,a17_resp_mulher,a18_idade_resp,a19_rdpc_mediana,a19b_rdpc_media,a19c_rdpc_sm,a1b_micro_internet,a1c_microcomputador,a2_agua_rede,a20_rdpc_baixa,a21_com_defic,a22_energia,a23_esgoto_adeq,a3_agua_dentro,a4_esgoto_rede,a5_esgoto_inadeq,a6_lixo_coletado,a7_banheiro_excl,a8_saneamento_ok,a9_maq_lavar,b1_alfabetizacao,b10b_sem_fund,b11_alfab_resp,b1z_alfab_naonulo_15mais,b1z_alfab_naonulo_5a14,b1z_alfab_naonulo_geral,b2_analf_60mais,b3_freq_6a14,b4_freq_15a17,b5b_adequacao,b6_fund_completo,b7_medio_completo,b8_superior_comp,c1_participacao,c10_raz_rend_sexo,c10a_rend_fem,c10b_rend_masc,c11_raz_rend_raca,c11a_rend_pretos_pardos,c11b_rend_brancos,c12_ocup_superior,c13_beneficio,c2_desocupacao,c3_ocupacao,c4_carteira,c5_previdencia,c7_rend_trab_med,c8_rend_total_med,c9_sem_rendimento,d10b_defic_severa,d11_sem_registro,d1a_branca,d1b_preta,d1c_amarela,d1d_parda,d1e_indigena_raca,d2_idade_mediana,d3_envelhecimento,d5_pop_0a5,d6_pop_65mais,d7_razao_sexo,e1_nao_natural,e2_migrante_5anos,e2z_v6264_igual,e2z_v6264_naonulo,e3_estrangeiro,e4_trab_outro_mun,e5_desloc_mais_1h,f1_tamanho_familia,f2_resp_mulher,f3_idade_resp
1100015,744,2413,7442.99999999996,24391.9999999998,23.07,14.81,73.74,10.9,0.14,3.31,51.98,26.92,45.02,865.8,1173.63,1.08,17.23,21.14,25.05,34.27,15.22,94.43,2.41,88.2,0,5.54,57.13,86.37,1.16,12.27,88.06,70.65,86.73,100,100,92.41,47.25,95.68,79.6,64.72,29.41,19.27,5.52,56.44,0.546,1460.78,2676.58,0.703,1793.65,2551.87,13.21,23.31,5.28,53.46,49.92,41.85,2410.1,2115.45,33.39,5.76,0,43.39,4.49,0.39,49.7,2.04,27,0.23,9.12,6.02,1.08,64.29,8.72,2.17,10.69,0,3.01,6.34,3.17,29.02,44.23
1100023,2626,8734,27653.9999999999,90352.9999999993,46.34,18.12,64.29,22.47,7.71,3.3,53.54,32.62,42.59,1206.45,1928.64,1.5,23.02,31.52,33.75,21.67,15.18,98.42,8.34,87.09,0.68,1.05,84.84,94.67,4.28,33.2,92.08,54.54,91.05,100,100,91.87,35.89,97.21,76.42,61.38,45.76,31.84,8.15,66.21,0.76,2425.87,3192.06,0.672,2323.81,3460.19,17.3,15.69,4.78,63.05,66.39,52.74,3062.47,2856.63,27.72,5.76,0.46,35.44,8.64,2.12,53.68,0.11,26,0.16,9.85,4.44,1.02,57.18,11.75,3.52,15.05,0.12,5.5,1.98,3.09,34.81,41.62
1100031,658,2124,1979.00000000001,6313.00000000002,23.74,12.47,76.29,7.73,0,3.19,50.64,16.42,47.34,993.54,1352.4,1.03,12.23,19.18,23.66,31.03,14.79,97.17,20.52,95.19,0,1.08,49.66,94.45,0.84,9.29,86.11,70.28,85.11,100,100,91.84,52.53,98.03,81.87,70.29,29.82,20.54,4.94,58.65,0.678,1516.82,2236.29,0.629,1502.37,2388.57,12.53,25.7,2.86,56.97,48.42,39.3,2179.52,1933.2,29.8,5.16,0,46.22,7.37,1.59,44.78,0.04,29,0.25,10.24,6.47,1.07,66.15,11.03,3.03,13.97,0.05,3.57,3.04,3.06,17.55,46.53
1100049,2403,7745,24413.0000000002,78574.0000000006,45.67,13.61,65.43,21.55,5.37,3.23,49.8,31.73,43.38,1206.45,1862.07,1.62,26.67,34.13,75.61,22.12,17.15,99.09,54.57,97.54,41.89,2.83,78.9,94.58,50.9,35.88,91.66,57.53,90.95,100,100,92.46,38.69,97.61,81.04,70.79,42.52,28.11,8.72,65.05,0.557,2102.86,3778.69,0.573,2276.3,3971.09,18.25,21.38,5.96,61.17,65.75,54.45,3226.31,3001.05,27.9,6.71,0.04,41.79,5.77,1.3,49.27,1.87,27,0.22,9.23,5.49,0.99,57.74,10.74,2.92,13.53,0.05,3.99,2.59,3.05,34.12,42.83
1100056,1063,3344,5398.99999999999,17029,25.74,10.18,72.14,14.2,0.51,3.18,48.85,39.77,44.21,1206.45,1586.14,1.23,21.22,26.46,35.39,26.14,14.93,98.67,16.87,89.85,0.11,0.59,78.56,96.25,6.74,24.88,89.66,64.01,89.28,100,100,92.85,38.92,98.54,81.81,76.42,36.2,24.33,7.11,65.23,0.64,1682.74,2630.66,0.644,1735.65,2696.84,13.37,23.74,5.4,61.7,47.67,46.91,2364.31,2198.17,25.48,5.6,0,47.83,5.08,0.94,46.07,0.08,28,0.28,8.57,6.99,1.01,66.69,14.52,4.39,18.44,0.11,7.23,2.25,3.02,41.69,43.41
1100064,1190,3648,6012.99999999992,18590.9999999997,25.75,9.4,77.31,10.73,0.4,3.11,48.02,31.35,45.88,1123.65,1455.38,1.15,23.57,29.05,61.1,28.25,16.56,97.81,5.01,96.12,0.49,2.98,69.35,96.17,3.23,29.55,87.16,65.19,87.12,100,100,92.46,47.17,97.65,86.6,71.79,34.98,23.59,7.9,60.2,0.676,1686.72,2495.71,0.787,1898.07,2411.27,17.09,26.64,6.65,56.2,54.85,48.79,2397.9,2130.33,29.23,6.35,0.15,41.15,6.89,2.02,49.89,0.05,29,0.29,9.09,6.89,1.01,60.97,9.3,2.78,11.81,0.16,3.87,2.4,2.98,33.18,45.18
1100072,548,1745,2769.99999999999,8782.99999999997,22.34,10.01,73.94,5.53,0,3.25,50.32,16.96,44.03,946.23,1252.27,0.94,10.03,14.41,11.7,32.79,13.04,98.02,12.85,91.59,0,3.68,38.05,90.06,0.92,17.32,87.9,75.39,87.79,100,100,93.02,46.57,97.09,76.16,68.23,24.61,13.04,4.52,62.01,0.599,1218.66,2035.26,0.886,1621.04,1829.89,9.41,27.52,3.66,59.74,53.62,43.89,1787.7,1707.61,27.27,5.16,0,37.83,8.72,1.99,51.41,0.05,27,0.22,8.43,5.78,1.16,78.91,14.17,4.15,17.69,0.06,2.22,2.76,3.19,17.69,43.7
1100080,756,2685,3811.00000000001,13678.0000000001,18.73,23.89,73.89,8.56,0,3.65,59.17,31.46,42.47,780.64,1234.47,0.9,12.28,15.76,15.35,39.44,21.65,88.51,9.12,62.3,0.1,8.09,57.05,71.87,3.09,23.65,91.03,66.06,88.71,100,100,89.93,29.44,97.57,74.64,56.78,34.32,20.63,5,64.1,0.635,1306.16,2056.12,0.727,1527.95,2100.98,12.36,21.31,4.67,61.1,40.87,34.24,1864,1736.54,32.24,7.19,0.6,31.4,6.83,0.62,59.15,2,23,0.12,12,4.06,1.11,53.9,12.14,5.77,17.75,1.58,0.75,4.2,3.41,34.22,41.4
1100098,854,2760,8797.00000000001,28729.0000000001,25.63,13.29,71.39,15.14,0.65,3.29,52.72,33.39,42.98,1040.86,1694.6,1.32,18.09,24.1,27.14,28.85,15.58,96.89,14.03,91.09,0.27,6.9,66.98,90.53,4.78,44.28,90.44,67.11,88.75,100,100,91.8,36.92,95.91,75.91,68.06,33.07,18.47,5.73,67.8,0.588,1727.86,2940.1,0.848,2229.97,2630.41,12.68,21.37,4.59,64.68,52.83,40.52,2615.33,2401.03,27.18,5.7,0.34,46.2,5.53,1.25,45.9,1.12,27,0.19,9.88,5.05,1.03,62.6,11.8,1.57,13.25,0.03,3.08,5.5,3.16,36.35,42.24
1100106,1111,4116,11348,41656.0000000001,46.05,29.12,75.15,15.9,1.7,3.78,59.8,37.82,44.49,946.23,1527.04,1.19,20.17,27.05,42.76,31.72,14.94,97.53,23.1,57.76,9.62,7.88,80.96,74.18,13.49,29.43,90.8,54.08,88.96,100,100,89.98,31.09,93.13,81.73,50.35,46.12,30.71,7.07,56.85,0.668,1822.84,2729.03,0.718,2182.3,3039.13,14.9,19.59,6.81,52.98,57.38,48.63,2438.39,2310.06,34.52,4.79,3.42,20.46,7.73,1.84,59.29,10.68,24,0.15,12.02,4.88,1.01,26.59,5.81,3.07,8.49,2.27,4.97,1.77,3.22,43.16,42.9
1100114,1611,5199,16076.0000000001,52005.0000000004,32.91,13.12,68.92,17.31,1.77,3.25,53.87,34.6,42.95,1182.79,1639.94,1.27,19.8,26.46,24.79,24.64,12.62,99.46,3.45,84.78,1.1,3.46,71.57,96.27,1.81,26.14,89.33,63.8,88.17,100,100,92,44.32,97.77,82.65,65.59,36.52,24.42,6.97,61.9,0.733,1981.39,2703.6,0.661,2032.75,3075.05,17.03,20.1,5.33,58.6,62.6,48.58,2610.4,2391.55,29.51,4.84,0.11,33.14,8.25,1.48,57.03,0.11,26,0.22,9.93,5.78,1,57.96,9.47,2.73,11.77,0.05,3.59,1.14,3.08,36.5,42.09
1100122,3509,11326,36216.0000000003,116610.000000001,48.35,15.68,67.2,20.53,5.76,3.26,51.37,35.02,43.08,1206.45,2255.43,1.68,28.05,35.32,45.57,19.6,16.64,99.49,20.79,91.47,3.32,3.8,87.02,95.9,11,31.95,92.32,51.59,90.78,100,100,92.06,36.01,96.56,83.89,68.16,48.54,34.18,8.74,66.75,0.676,2330.81,3448.48,0.646,2399.78,3712.67,19.1,18.42,5.89,62.82,70.27,59.27,3065.49,2937.23,26.94,6.59,0.35,39.45,5.95,1.64,51.74,1.21,27,0.2,9.81,5.1,0.98,53.79,10.31,2.74,12.62,0.09,5.65,2.51,3.04,37.65,42.33
1100130,910,3107,9230.99999999998,31134.9999999999,15.13,19.07,73.26,12.57,1.47,3.38,54.27,28.23,42.6,768.81,1189.43,0.95,12.07,15.93,30.5,41.42,16.13,87.96,1.92,79.82,0,5.81,51.02,77.3,0.22,21.11,87.26,74.32,85.51,100,100,90.77,40.85,93.22,73.19,47.8,25.99,14.22,3.73,64.91,0.745,1585.41,2128.49,0.823,1779.7,2161.59,11.01,22.38,3.63,62.55,44.61,31.6,2026.52,1902.74,34.14,6.13,0,30.91,8.06,1.22,59.67,0.15,25,0.14,11.14,4.18,1.13,72.32,13.96,4.54,18.36,0,2.51,3.46,3.25,29.48,42.1
1100148,1098,3549,6029,19874,11.46,13.82,75.02,8.41,0,3.32,52.86,20.42,44.41,898.92,1256.03,1,12.62,15.92,28.11,34.97,14.48,95.11,3.55,87.44,0,3.99,42.66,79.66,1.22,15.82,88.89,69.95,88.32,100,100,92.8,40.67,97.48,79.08,58.36,30.15,18.88,4.76,64.97,0.66,1522.66,2308.32,0.803,1804.06,2246.4,10.32,28.08,3.83,62.48,51.72,27.67,2218.36,1974.32,26.23,5.26,0,39.48,6.41,0.85,52.8,0.45,27,0.21,8.98,5.47,1.09,69.72,11.31,2.02,13.2,0.15,2.39,1.56,3.2,22.23,43.98
1100155,1168,3762,11824,37928,41.98,11.36,67.9,16.6,1.01,3.23,50.21,32.24,44.33,1182.79,1534.94,1.24,22.73,30.67,45.06,21.77,19.51,99.1,9.76,94.21,0.87,4.8,74.97,96.06,4.52,32.29,90,62.98,89.09,100,100,92.5,38.92,96.09,81.12,63.03,37.17,24.05,6.21,65.16,0.696,1874.48,2692.05,0.695,1985.56,2856.54,15.05,22.85,7.76,60.11,52.99,45.16,2505.84,2316.38,27.33,7.32,0,35.41,7.77,0.77,55.85,0.2,27,0.24,9.07,6.09,0.97,59.42,10.4,3.59,13.18,0,5.72,1.94,3.05,33.88,43.44
1100189,966,3212,10201,33822.0000000001,36.18,14.73,72.3,16.54,1.97,3.34,52.91,31.16,43.06,1206.45,2223.12,1.61,26.05,31.72,72.96,17.62,18.07,98.81,38.9,91.94,8.21,4.57,86.16,96.6,29.06,29.21,91.97,56.8,91.36,100,100,92.3,37.17,97.68,81.15,65.65,43.49,28.89,8.09,70.12,0.613,2107.38,3439.49,0.913,2742.55,3005.07,16.29,19.07,5.8,66.05,75.7,65.48,2834.45,2846.24,24.1,6.78,0,40.81,6.03,1.5,50.89,0.77,27,0.22,9.13,5.65,1.02,59.58,12.58,3.95,16.47,0.05,6.75,2.04,3.13,33.45,42.34
1100205,11487,40667,124407,428526.999999999,65.14,25.37,67.22,22.42,13.93,3.54,53.43,39.04,42.28,1419.35,2773.61,2.07,32.15,39.48,36.83,19.61,13.91,97.83,42.95,74.83,10.18,4.65,89,92.21,18.99,39.77,94.17,41.41,92.34,100,100,91.76,24.82,94.52,82.02,59.04,58.84,43.48,12.24,65.64,0.673,2988.77,4439.18,0.62,3213.81,5181.6,21.57,14.22,5.77,61.85,76.39,65.36,3928.61,3801.96,29.44,4.94,0.56,29.15,7.02,1.7,61.61,0.51,26,0.13,9.92,3.45,1.03,43.85,12.33,2.8,14.97,0.16,1.37,7.38,3.17,41.77,40.98
1100254,673,2191,6899.99999999985,22318.9999999994,29.11,11.94,71.2,13.7,0.33,3.25,48.22,29.11,46.54,946.23,1372.45,1.12,16.5,21.74,32.87,28.32,20.2,99.05,0.94,90.68,0.3,2.75,56.21,92.96,0.46,25.26,88.52,69.04,88.3,100,100,92.83,38.08,96.86,85.71,60.25,31.21,19.71,5.07,65.09,0.628,1607.18,2557.99,0.767,1895.36,2472.62,14.77,24.48,5.35,61.61,52.97,40.64,2345.2,2138.51,28.13,7.39,0,39.73,4.83,1.29,54.1,0.05,28,0.28,8.7,6.86,1.03,59.16,8.55,3.2,11.39,0,5.77,4.46,3.09,31,45.92
1100262,331,1083,1014,3316,10.17,16.81,62.72,7.63,0,3.3,53.14,30.23,44.12,887.09,1360.92,0.97,5.37,9.78,9.1,36.87,13.36,96.32,22.49,85.28,0,2.9,34.37,87.79,0.24,15.47,88.57,68.47,86.86,100,100,91.66,35.1,97.72,82.49,63.96,31.69,19.9,3.58,54.98,0.739,1686.04,2281.85,0.751,1764.69,2349.49,13.71,22.85,6.87,51.2,45.57,43.47,2384.36,2031.25,35.54,4.88,0,42.04,6.5,0.73,50.63,0.1,27,0.21,10.6,5.92,1.14,79.72,19.75,7.4,26.75,0.12,3.82,2.89,3.12,33.1,43.45
1100288,1576,4986,16069.9999999999,50647.9999999999,34.37,13.21,68.7,19.32,2.4,3.18,49.37,31.32,43.32,1206.45,1803.94,1.42,26.8,33.9,49.65,22.76,16.9,99.36,15.16,95.25,0.28,3.23,82.54,97.38,10.23,26.05,91.09,59.08,89.98,100,100,92.65,41.28,97.86,82.17,67.18,40.95,28.19,8.47,64.25,0.57,1786.68,3132.3,0.859,2327.53,2710.44,19.86,23.1,6.59,60.01,61.43,54.97,2748.66,2505.08,24.77,6.78,0.13,39.77,6.85,1.25,52.01,0.13,27,0.23,8.89,5.67,0.99,64.78,15.51,3.14,18.4,0.07,5.35,1.6,3.03,33.23,42.62
1100296,551,1743,2773.00000000002,8886.00000000008,29.44,10.2,76.27,6.47,0,3.22,50.05,23.15,45.53,839.78,1447.6,1.09,15.59,20.36,17.53,31.5,15.79,99.03,1.37,91.17,0.71,3.53,42.84,93.75,0.31,18.96,86.68,68.79,86.85,100,100,92.73,45.73,93.9,86.34,71.95,31.21,20.29,5.42,63.43,0.686,1556.33,2269.58,0.81,1826.59,2255.84,12.68,27.89,8.06,58.32,56.95,40.29,2197.81,1959.58,28.57,6.02,0,34.95,5.57,1.77,57.63,0.09,29,0.3,8.55,7.31,1.07,66.29,10.37,1.8,11.38,0.05,7.42,2.95,3.11,25.07,44.93
1100304,2331,7349,23985,76201.9999999998,54.17,14.39,59.4,27.54,7.46,3.21,51.55,36.22,42.34,1241.93,2234.48,1.73,32.01,40.95,94.59,15.05,14.17,98.51,13.02,97.81,0.97,0.74,93.84,98.37,11.98,40.56,93.75,49.84,92.85,100,100,91.89,30.99,97.82,84.01,76.22,50.16,35.48,10.6,70.55,0.696,2409.55,3462.35,0.624,2266.27,3632.03,20.6,18.72,7.14,65.52,69.91,61.74,3206.15,2981.55,22.63,5.39,0.15,44.32,5.13,0.84,49,0.72,27,0.18,9.9,4.73,0.98,68.51,22.44,4.35,26.5,0.18,5.67,1.4,3.01,38.48,41.51
1100320,623,2138,6466.00000000002,21828.0000000001,11.65,17.53,73.47,13.65,0.16,3.4,57.33,26.03,42.15,780.64,1387.96,1.05,10.25,14.21,5.53,40.6,16.45,97.19,10.99,88.6,0.16,2.34,46.07,82.15,0.4,9.11,89.67,72.31,88.69,100,100,91.54,42.85,97.97,80.13,63.87,27.69,16.82,3.86,61.98,0.556,1477.05,2658.61,0.76,1862.72,2451.97,8.42,23.7,3.75,59.65,57.45,34.72,2345.37,2106.84,35.75,6.3,0.28,37.37,5.97,1.34,55.03,0.28,25,0.15,10.07,4.33,1.08,75.89,17.05,1.65,18.59,0,1.23,1.93,3.25,27.65,41.76
1100338,630,2201,6445.99999999999,22545.9999999999,16.06,22.52,79.47,10.27,1.18,3.5,58.7,26.59,42.2,721.5,1213.52,0.89,8.33,13.85,8.25,40.66,14.63,90.6,8.47,62.61,0,9.28,47.06,78.85,1.59,32.22,87.48,75.77,85.37,100,100,90.02,43.66,92.8,71.14,52.13,24.55,13.96,3.5,64.58,0.657,1352.17,2057.86,0.821,1671.73,2036.25,7.4,23.33,3.62,62.24,51.97,31.23,1779.01,1767.44,30.66,5.24,0.38,29.88,4.46,1.92,61.77,1.97,24,0.12,12.13,3.93,1.09,67.45,21.39,5.64,26.77,0.5,3.65,2.97,3.34,28.05,41.74
1100346,1006,3314,5101.00000000005,16853.0000000002,16.37,11.85,76.88,7.51,0.1,3.32,52.47,22.41,44.96,953.33,1277.47,1.02,13.04,17.79,45.05,33.8,15.44,97.82,36.22,90.7,29.82,2.79,51.47,84.54,27.34,11.36,86.53,69.72,85.8,100,100,92.23,44.93,97.6,86.67,65.79,30.28,19.2,5.43,58.41,0.51,1287.71,2523.48,0.59,1552.65,2630.33,11.45,30.16,5.08,55.44,48.24,42.77,2284.53,1952.2,27.47,6.06,0,35.74,7.06,1.33,55.74,0.12,27,0.24,9.31,6.48,1.06,64.43,11.32,2.43,13.75,0.07,2.3,3.5,3.18,24.81,44.25
1100379,734,2530,3719.00000000001,12816.0000000001,12.24,17.08,75.17,8.3,0,3.45,55.84,21.45,43.68,657.63,1034.89,0.79,9.53,12.25,7.57,45.26,13.22,90.83,0.58,81.05,0.14,9.04,37.58,87.45,0.31,29.57,85.32,79.12,84.09,100,100,91.43,53.57,95.87,72.88,63.75,20.88,12.18,3.14,63.64,0.732,1336.62,1827.08,0.837,1475.53,1762.48,8.22,25.25,5.6,60.07,44.65,23.59,1732.6,1618.71,34.61,4.73,0,35.36,7.18,1.99,55.37,0.09,26,0.16,10.98,4.72,1.11,81.3,16.96,3.83,20.65,0.09,2.97,4.14,3.3,23.57,42.9
1100403,998,3288,5085.99999999996,17134.9999999998,14.45,14.29,72.49,10.48,0.65,3.37,56.55,25.4,43.47,1007.74,1640.11,1.18,8.83,12.14,6.86,29.4,21.55,96.7,10.86,80.62,0.1,2.89,42.61,80.07,0.84,21.38,86.51,75.65,86.08,100,100,91.77,52.51,95.71,73.46,57.35,24.53,13.71,3.02,70.14,0.596,1420.74,2383.37,0.691,1706.23,2468.28,9.39,27.49,2.48,68.4,46.94,26.36,1972.91,1974.28,21.72,7.82,0.46,35.5,6.99,2.62,54.79,0.1,26,0.16,10.51,4.84,1.11,68.39,16.88,3.18,19.9,0.03,1.79,1.85,3.2,27.4,42.61
1100452,958,3342,9570.00000000011,32383.0000000004,11.63,17.11,70.46,15.4,1.18,3.39,57.04,26.85,41.23,946.23,1401.55,1.05,12.98,18.29,0.2,30.74,13.72,94.31,2.09,84.48,0,5.76,64.59,84.5,0.11,15.14,88.85,70.58,86.94,100,100,90.91,41.65,94.94,75.13,56.19,29.42,18.23,4.03,69.91,0.663,1523.46,2298.15,0.825,1818.13,2204.84,11.65,21.03,5.52,66.05,37.79,31.28,2101.96,1964.03,28.61,4.75,0.6,36.2,6.28,1.7,55.66,0.15,25,0.13,11.26,3.78,1.07,81.96,22.21,5.15,26.93,0.13,3.07,3.8,3.29,28.32,40.98
1100502,576,1919,2996.00000000001,10240.0000000001,18.76,16.44,78.88,7.97,0.13,3.42,52.33,17.89,45.39,709.67,875.39,0.72,8.22,11.09,13.52,44.23,12.94,98.58,9.86,87.11,4.15,2.89,33.75,96.81,0.32,47.04,85.65,71.67,85.75,100,100,92.5,52.76,97.51,85.85,57.94,28.41,16.67,4.25,59.53,0.673,1267.65,1884.05,0.926,1538.17,1661.15,7.68,28.23,4.69,56.73,55.14,31.46,1816.11,1602.3,37.66,4.67,0,42.97,6.27,0.75,49.75,0.26,28,0.25,8.89,6.53,1.09,69.01,11.36,2.42,13.74,0.06,3.97,2.49,3.27,20.38,44.76
1100601,560,1892,1697,5736.00000000001,15.84,17.39,64.58,6.09,0,3.38,51.84,26.4,43.74,922.58,1617.26,1.19,10.07,15.31,9.23,32.18,14.31,93.91,22.06,83.53,0.13,4.52,35.09,78.29,5.05,23.8,86.34,75.74,86.65,100,100,91.71,42.96,95.47,81.02,61.45,24.26,14.19,3.59,69.35,0.492,1383.07,2811.62,0.62,1881.07,3032.68,9.23,23.66,4.13,66.49,32.63,33.53,2445.62,2251.53,29.33,4.95,0,31.6,10.5,1.31,56.46,0.13,26,0.21,10.22,6.06,1.07,76.62,19.42,3.23,22.34,0,3.3,2.05,3.24,28.59,43.28
1100700,724,2545,3660,12665,9.57,18.82,81.22,8.09,0.46,3.47,57.45,31.22,41.36,709.67,1865.55,1.29,6.05,10.63,20.31,43.64,10.17,84.92,20.99,70.31,0,7.45,26.64,72.29,0.16,18.05,88.78,78.41,86.75,100,100,90.41,41.17,90.64,60.01,50.56,21.67,10.55,2.95,61.41,0.615,1867.49,3034.58,0.826,2389.7,2892.82,7.5,21.1,2.61,59.81,21.48,21.73,3025,2565.54,35.32,3.5,1.09,34.88,10.96,0.34,53.77,0.06,25,0.1,11.3,3.18,1.15,71.94,21.72,2.16,23.78,0.03,2.43,4.67,3.33,32.76,40.7
1100809,1097,3727,5720.00000000001,19779,34.76,27.24,65.92,15.75,4.46,3.46,57.23,32,42.83,887.09,1879.72,1.37,10.66,15.18,57.16,29.37,13.9,93.06,7.77,78.36,2.75,6.03,56.31,78.96,4.29,23.35,88.59,61.05,87.75,100,100,90.38,41.89,95.74,75.26,49.61,38.95,23.66,3.94,61.28,0.537,1578.39,2941,0.828,2285.23,2760.61,11.38,17.52,4.56,58.49,62.96,51.16,2654.8,2400.33,32.61,5.03,1.2,24.3,7.01,1.46,67.2,0.04,24,0.13,11.38,4.01,1.09,81.91,25.87,5.95,31.71,0,29.73,7.91,3.19,35.13,41.55
1100908,379,1210,1119,3575.00000000001,12.32,13.55,72.06,4.66,0,3.19,51.74,23.32,46.38,1182.79,1509.43,1.09,4.87,11.62,25.64,25.56,22.56,97.43,1.74,91.81,0,3.03,24.45,89.78,0.98,7.19,86.99,66.87,86.88,100,100,93.28,41.81,97.99,82.96,63.21,33.13,16.74,4.06,62.79,0.594,1427.4,2401.41,0.884,1881.52,2127.5,11.1,30.66,3.09,60.85,43.86,33.54,2183.56,1983.52,30.12,8.6,0,41.32,5.42,0.27,53,0,29,0.28,8,7.13,1.05,73.38,16.58,3.7,20.04,0,4.76,3.52,3.01,25.43,45.76
1100924,820,2796,2478.00000000002,8301.00000000005,12.02,19.84,61.44,14.38,0.66,3.39,55.69,23.72,40.57,1123.65,1467.92,1.09,18.53,23.64,62.35,26.91,17.76,92.39,1.95,90.26,0.24,7.39,58.25,86.49,0.84,30.79,89.36,68.51,87.63,100,100,90.63,32.5,97.05,80.3,66.79,31.69,16.91,5.04,71.81,0.715,1707.08,2385.89,0.83,1990,2397.93,11.5,15.82,3.43,69.34,63.49,52.36,2199.71,2119.13,28.42,6.57,0.37,34.01,5.34,0.28,57.08,3.29,25,0.12,11.53,3.53,1.14,75.73,26.26,3.85,30.06,0.11,1.82,3.87,3.22,26.2,40.16
1100940,889,3032,4625.99999999996,15853.9999999998,8.36,23.78,67.97,17.31,0.19,3.44,60.71,25.4,40.15,960.43,1444.86,1.13,11.28,16.55,11.27,32.29,16.85,91.35,7.32,73.66,0,6.9,58.45,69.88,2.59,7.63,87.03,73.92,84.63,100,100,90.06,49.83,94.4,61.35,52.88,26.08,13.95,2.21,66.74,0.659,1751.69,2658.51,0.705,2033.27,2882.5,10.93,19.15,6.3,62.53,44.94,36.43,2561.17,2302.7,28.91,5.93,0.42,29.52,9.44,1.11,59.92,0,24,0.09,11.63,2.76,1.14,83.73,40.7,5.83,46.33,0,1.33,5.03,3.28,26.8,39.57
1101005,595,2056,3015.99999999999,10512,18.01,16.62,74.92,5.51,0,3.49,53.35,17.97,45.5,709.67,1350.08,0.95,4.77,9.79,0.43,42.23,10.26,95.01,33.31,86.91,0.44,8.3,27.95,81.54,0.46,54.48,85.56,78.47,85.36,100,100,92.51,54.84,93.59,90.42,56.45,21.63,10.58,2.94,57.36,0.584,1288.99,2206.59,0.565,1462.44,2588.57,6.81,28.77,2.1,56.16,38.9,29.04,2141.87,1826.03,33.84,3.43,0.35,32.99,5.84,0.94,59.16,1.07,26,0.21,9.1,6,1.08,72.46,7,3.15,10.1,0,1.77,2.58,3.3,20.44,44.42
1101104,489,1658,2576.00000000009,8566.0000000004,20.87,22.88,72.68,9.06,0.73,3.34,55.54,33.97,43.86,1064.51,1519.33,1.05,10.25,14.4,24.87,30.9,22.11,97.05,3.4,72.61,1.61,4.93,55.62,80.2,1.97,9.79,87.66,72.21,85.77,100,100,90.27,32.83,96.36,79.59,50.39,27.79,17.26,4.02,67.32,0.624,1333.9,2136.65,0.714,1626.57,2279.15,9.99,25.69,5.31,63.75,51.64,39.06,2074.28,1803.17,28.44,9.2,0,26.53,7.62,1.17,64.48,0.2,25,0.16,11.78,4.99,1.14,75.5,22.23,4.95,27.07,0,6.89,2.86,3.17,36.07,42.98
1101203,590,2072,2928.00000000001,10352,31.39,12.9,68.32,11.39,0.4,3.54,55.28,20.29,43.96,827.95,1342.47,1,9.95,13.75,19.66,39.32,16.33,97.61,2.93,93.72,1.25,4.53,38.22,90.62,1.69,33.37,87.98,70.99,87.44,100,100,91.61,50.31,95.47,79.49,63.3,29.01,17.07,3.85,59.75,0.538,1427.72,2654.94,0.801,1929.81,2410.18,7.39,25.52,2.21,58.42,44.68,32.84,2427.88,2132.24,36.1,5.73,0,43.87,6.5,0.38,49.19,0.06,25,0.2,10.23,5.73,1.05,58.95,11.18,2.31,13.43,0,3.68,1.35,3.41,21.93,43.58
1101302,698,2351,3515.00000000001,11878,20.04,13.69,72.33,10.73,0.15,3.38,54.35,23.7,45.24,839.78,1323.64,1.1,11.28,16.95,13.06,36.62,20.13,96.48,0.72,87.4,0,4.18,49.22,84.01,0,19.39,86.9,73.62,87.03,100,100,92.48,42.51,97.98,70.9,64.13,26.46,13.74,4.13,64.6,0.496,1435.04,2892.39,0.695,1947.31,2801.07,10.12,31.1,6.43,60.45,35.43,34.09,2607.49,2233.7,28.12,7.81,0.24,36.39,5.51,1.66,54.98,1.45,26,0.24,9.68,6.67,1.04,69.04,13.54,2.43,15.41,0.03,3.66,1.44,3.2,26.5,44.51
1101401,787,2616,4103.99999999996,14091,18.87,19.02,68.37,10.87,0.97,3.44,58.22,18.43,44.27,1017.2,1348.18,1,13.1,16.19,29.49,28.78,12.68,95.59,1.85,85.59,0,6.9,46.28,81.24,0.61,30.38,86.15,74.48,84.52,100,100,91.36,49.49,93.5,73.03,67.79,25.59,15.14,5.07,65.42,0.707,1575.74,2227.87,0.8,1784.86,2230.59,10.52,24,2.77,63.6,48.14,40.39,2014.84,1959.97,28.32,4.34,0,36.24,6.98,0.61,56.06,0.11,26,0.18,10.81,5.36,1.11,75.25,20.02,2.3,22.15,0,3.26,1.56,3.3,20.65,43.53
