cod_mun,n_dom_amostra,n_pes_amostra,dom_pond,pop_pond,a10_parede_alv,a11_adensamento,a12_proprio_quit,a13_alugado,a14_apartamento,a15_moradores,a16_com_criancas,a17_resp_mulher,a18_idade_resp,a19_rdpc_mediana,a19b_rdpc_media,a19c_rdpc_sm,a1b_micro_internet,a1c_microcomputador,a2_agua_rede,a20_rdpc_baixa,a21_com_defic,a22_energia,a23_esgoto_adeq,a3_agua_dentro,a4_esgoto_rede,a5_esgoto_inadeq,a6_lixo_coletado,a7_banheiro_excl,a8_saneamento_ok,a9_maq_lavar,b1_alfabetizacao,b10b_sem_fund,b11_alfab_resp,b1z_alfab_naonulo_15mais,b1z_alfab_naonulo_5a14,b1z_alfab_naonulo_geral,b2_analf_60mais,b3_freq_6a14,b4_freq_15a17,b5b_adequacao,b6_fund_completo,b7_medio_completo,b8_superior_comp,c1_participacao,c10_raz_rend_sexo,c10a_rend_fem,c10b_rend_masc,c11_raz_rend_raca,c11a_rend_pretos_pardos,c11b_rend_brancos,c12_ocup_superior,c13_beneficio,c2_desocupacao,c3_ocupacao,c4_carteira,c5_previdencia,c7_rend_trab_med,c8_rend_total_med,c9_sem_rendimento,d10b_defic_severa,d11_sem_registro,d1a_branca,d1b_preta,d1c_amarela,d1d_parda,d1e_indigena_raca,d2_idade_mediana,d3_envelhecimento,d5_pop_0a5,d6_pop_65mais,d7_razao_sexo,e1_nao_natural,e2_migrante_5anos,e2z_v6264_igual,e2z_v6264_naonulo,e3_estrangeiro,e4_trab_outro_mun,e5_desloc_mais_1h,f1_tamanho_familia,f2_resp_mulher,f3_idade_resp
1501303,2360,9444,24916,99859.0000000001,45.8,39.76,80.53,9.77,0.36,4.01,65.66,36.98,41.83,721.5,1294.68,0.99,11.04,19.95,31.75,39.79,19.09,96.7,31.24,67.15,11.99,12.04,83.55,80.18,16.35,28.44,91.91,49.08,88.28,100,100,89.75,36.92,97.29,88.1,48.49,50.94,32.26,4.96,59.26,0.538,1459.87,2714.19,0.715,2003.66,2804.16,16.28,18.63,13.02,51.55,59.44,47.36,2209.94,2175.26,37.95,6.03,0.68,19.84,5.6,0.87,73.56,0.14,23,0.11,12.26,3.65,1.02,44.56,15.35,3.11,18.4,0.01,6.9,5.44,3.53,40.78,40.14
1501402,18785,71625,370130.999999998,1393399,68.57,31.17,76.64,15.81,11.18,3.77,52.09,46.85,46.38,1182.79,2659.23,1.99,31.33,39.19,75.53,27.14,19.79,99.78,69.32,90.4,38.77,6.12,96.76,93.68,52.95,45.66,96.69,33.11,94.65,100,100,92.85,10.18,96.13,87.24,58.17,67.22,49.75,14.37,60.25,0.722,2988.83,4142.31,0.52,2859.07,5493.27,24.01,17.94,10.2,54.11,65,56.47,3476.53,3578.09,33.09,6.76,1.01,26.75,7.33,0.83,64.95,0.14,29,0.27,8.61,6.25,0.9,26.44,4.47,1.93,6.29,0.13,4.68,10.62,3.2,50.73,44.29
1501451,783,3247,4004.00000000001,16318,18.99,35.73,85.64,4.13,0.26,4.08,64.56,36.51,46.37,482.58,838.56,0.61,3.03,7.12,54.95,56.22,18.82,87.7,22.33,48.48,0.42,9.11,40.15,48.56,18.02,12.22,88.17,68.48,83.98,100,100,89.51,32.3,96.56,85.85,50.3,31.52,20.21,3.04,50.89,0.773,1260.65,1630.82,0.847,1419.32,1675.98,12.27,29.65,12.55,44.5,30.85,28.29,1542.19,1444.21,44.38,5.61,1.7,12.23,3.91,1.12,80.44,2.3,23,0.19,12.91,6.69,1.08,35.09,8.96,2.04,11.01,0,9.23,5.46,3.66,40.78,44.51
1501501,1373,5219,13779,51650.9999999999,52.02,38.24,78.14,10.22,0,3.76,61.32,41.54,43.13,709.67,1176.46,0.88,7.2,15.57,68.4,39.48,17.36,99.66,18.05,81.27,1.2,8.14,85.6,85.65,12.33,26.09,93.75,50.53,90.53,100,100,91.13,24.08,97.4,83.73,56.21,49.52,29.32,4.51,60.19,0.674,1440.76,2138.32,0.865,1783.64,2062.43,12.69,17.5,13.71,51.94,55.72,45.24,1882.85,1834.07,35.59,5.66,0.77,20.78,7.44,0.72,70.83,0.23,25,0.15,10.72,4.43,1,53.65,21.44,2.67,24,0.02,31.63,22.58,3.37,45.05,41.65
1501576,769,3068,3873.00000000032,15298.0000000016,45.87,28.24,68.26,6.91,0,3.96,57.62,32.51,44.12,603.22,1006.44,0.76,3.14,7.89,46.75,45.76,18.01,82.21,16.23,56.02,1.77,16.23,54.16,66.14,7.33,11.77,78.17,74.17,77.21,100,100,90.48,62.33,94.85,76.49,39.8,25.89,15.58,3.61,58.41,0.665,1191.04,1791.18,0.823,1461.08,1775.11,9.69,24.37,6.4,54.68,24.98,25.81,1681.27,1548.71,31.91,5.72,2.42,19.79,10.29,0.68,64.45,4.79,24,0.16,11.59,4.91,1.11,61.58,15.65,3.86,19.45,0,6.24,5.91,3.61,36.6,43.22
1501600,648,2493,3345.00000000021,13630.0000000009,40.48,32.63,86.29,5.36,0,4.09,64.73,24.68,42.82,473.12,743.57,0.52,1.52,4.99,63.73,55.84,14.14,95.67,17.47,54.76,0.12,9.65,33.06,36.91,12.82,7.31,77.56,74.08,73.3,100,100,89.25,56.79,94.98,79.63,41.26,26.01,14.43,1.38,57.61,0.828,999.16,1206.63,1.01,1121.18,1110.55,7.44,26.35,6.58,53.81,48.49,24.65,1068.92,1118.52,35.38,4.31,1.05,18.25,6.61,0.94,74.2,0,23,0.13,13.04,4.34,1.09,23.57,9.36,4.01,13.37,0,2.3,3.65,3.84,27.6,41.69
1501709,2639,12033,26397.0000000002,113227.000000001,49.58,36.16,83.98,8.66,0.4,4.3,65.95,39.65,44.02,603.22,1118.42,0.78,6.23,11.38,36.12,48.88,23.19,95.43,14.99,63.66,1.02,18.08,61.71,69.18,6.16,16.16,84.72,65.77,81.87,100,100,89.59,38.43,96.07,81.59,51.9,34.36,23.02,4.48,54.74,0.818,1372.9,1678.62,0.613,1407.9,2296.1,11.62,27.53,5.76,51.59,33.05,22.94,1657.6,1535.57,33.85,7.21,1.39,13.27,5.16,0.6,80.95,0.01,23,0.16,12.61,5.35,1.02,18.01,4.9,1.48,6.38,0.01,4.15,5.22,3.74,43.69,42.15
1501725,854,3069,4375,15690,29.95,24.26,71.63,10.94,0,3.59,58.57,23.68,44.17,603.22,1310.62,0.95,2.9,7.18,49.79,49.47,18.34,86.04,1.46,69.18,0.12,8.6,43.99,62.96,0.24,10.4,81.21,76.39,80.67,100,100,90.37,47.7,93.44,69.61,55.98,23.61,12.36,2.46,55.54,0.532,1380.65,2595.43,0.506,1611.55,3184.5,7.28,24.21,4.11,53.26,12.51,20.84,2467.25,2054.43,38.76,6.15,0.66,27.27,10.46,2.38,58.81,1.09,25,0.17,11.64,5.16,1.13,59.45,10.09,3.07,13.12,0,1.96,3.68,3.33,26.1,42.92
1501758,639,2450,1923.00000000005,7317.00000000024,34.51,25.08,76.14,9.82,0,3.81,61.94,33.26,44.39,603.22,955.94,0.72,2,7.5,66.85,49.8,10.28,90.67,9.63,48.02,1.16,18.66,43.49,69,5.25,3.38,80.4,69.67,77.62,100,100,89.52,53.46,94.57,75.85,50.14,30.33,18.1,3.27,55.46,0.843,1419.09,1684.01,0.759,1460.23,1923.56,10.72,30.23,4.03,53.22,16.53,26.64,1844.53,1563.77,37.46,3.39,3.5,19.76,8.15,1.01,70.33,0.75,23,0.17,12.87,5.4,1.1,55.87,12.5,2.25,14.71,0,5.91,6.58,3.51,36.76,43.1
1501782,1224,5354,12271,52493,29.87,38.47,78.89,9.27,0.26,4.28,67.9,33.84,41.57,591.4,910.1,0.62,4.01,8.12,21.46,51.3,15.43,97.94,5.96,49.76,5.7,8.06,64.2,58.43,2.82,7,80.39,75.72,76.48,100,100,88.28,58.48,96.03,79.86,46.12,24.28,13.06,2.11,53.8,0.573,1019.04,1777.77,0.64,1308.84,2044.54,9.64,25.36,13.02,46.79,43.28,30.92,1711.82,1440.97,39.4,4.42,1.2,17.83,6.99,0.32,74.75,0.1,21,0.1,14.37,3.48,1.07,64.33,13.14,5.53,18.67,0,8.14,3.46,3.79,38.05,40.01
