cod,x1,y1,x2,y2
2802908,-37.5305,-10.8313,-37.3205,-10.5665
2803005,-37.9362,-11.4115,-37.6623,-11.1316
2803104,-37.233,-10.1748,-37.062,-10.0257
2803203,-37.5036,-11.2896,-37.1545,-10.8258
2803302,-37.0113,-10.6769,-36.7813,-10.3959
2803401,-36.9031,-10.5913,-36.7025,-10.2826
2803500,-37.8758,-11.0675,-37.4556,-10.6964
2803609,-37.3177,-10.8552,-37.0649,-10.7514
2803708,-37.6686,-10.7173,-37.5007,-10.6047
2803807,-37.0093,-10.3934,-36.9007,-10.2761
2803906,-37.3363,-10.7407,-37.2228,-10.601
2804003,-37.1614,-10.7863,-37.0512,-10.6551
2804102,-37.3945,-10.6574,-37.248,-10.5389
2804201,-37.802,-10.1446,-37.4124,-9.9979
2804300,-37.0181,-10.451,-36.903,-10.3023
2804409,-36.8054,-10.4968,-36.5567,-10.2546
2804458,-37.6114,-10.4618,-37.4033,-10.2402
2804508,-37.7864,-10.3082,-37.3141,-10.0622
2804607,-37.3598,-10.6246,-37.1084,-10.2977
2804706,-37.068,-10.1373,-36.9484,-10.0228
2804805,-37.3184,-10.9287,-37.0284,-10.8181
2804904,-36.7576,-10.6308,-36.4846,-10.3997
2805000,-37.7197,-10.7178,-37.6403,-10.5319
2805109,-37.7045,-11.2393,-37.5961,-11.1712
2805208,-37.8413,-10.6454,-37.6886,-10.5067
2805307,-36.9235,-10.7442,-36.6729,-10.5749
2805406,-37.9134,-10.0366,-37.466,-9.6659
2805505,-38.245,-10.943,-37.9694,-10.7007
2805604,-37.6662,-10.0622,-37.2263,-9.748
2805703,-36.8677,-10.2984,-36.7016,-10.1762
2805802,-37.9729,-11.1743,-37.6117,-10.8634
2805901,-37.2831,-10.7784,-37.1597,-10.6743
2806008,-37.5475,-10.5943,-37.3196,-10.4018
2806107,-37.0919,-10.748,-36.9499,-10.6151
2806206,-37.5544,-11.1659,-37.3888,-10.9603
2806305,-37.6921,-11.4508,-37.3778,-11.29
2806404,-36.6837,-10.3211,-36.5873,-10.2519
2806503,-37.2964,-10.6781,-37.179,-10.5866
2806602,-37.0894,-10.8864,-36.867,-10.6856
2806701,-37.3351,-11.1054,-37.0914,-10.8322
2806800,-37.6335,-10.8453,-37.4963,-10.694
2806909,-36.9158,-10.4026,-36.8074,-10.2619
2807006,-37.413,-10.4916,-37.2746,-10.2457
2807105,-37.9729,-10.8898,-37.6739,-10.5914
2807204,-37.2073,-10.6516,-37.0643,-10.4701
2807303,-36.9434,-10.2282,-36.8449,-10.1465
2807402,-38.1865,-11.3479,-37.7934,-10.8149
2807501,-37.9822,-11.4827,-37.7606,-11.2693
2807600,-37.7301,-11.4848,-37.6024,-11.3081
2900108,-41.9187,-13.4282,-41.5901,-13.1684
2900207,-39.4916,-9.1573,-39.0645,-8.5464
2900306,-38.0819,-11.7686,-37.9118,-11.5831
2900355,-38.1498,-10.7209,-37.9027,-10.4329
2900405,-38.8687,-11.954,-38.5421,-11.6901
2900504,-42.2144,-13.6245,-41.9091,-13.2263
2900603,-39.9495,-14.1837,-39.7937,-14.0111
2900702,-38.5867,-12.2852,-38.273,-11.9274
2900801,-39.6323,-17.6856,-39.1373,-17.2538
