cod_mun,n_dom_amostra,n_pes_amostra,dom_pond,pop_pond,a10b_parede_alvenaria,a11_adensamento,a12_proprio_quit,a13_alugado,a14_apartamento,a15_moradores,a16_com_criancas,a17_resp_mulher,a18_idade_resp,a19_rdpc_mediana,a19b_rdpc_media,a19c_rdpc_sm,a2_agua_rede,a20_rdpc_baixa,a22_energia,a23_esgoto_adeq,a25_urbano,a26_radio,a27_geladeira,a28_televisao,a29_automovel,a3_agua_dentro,a30_fogao_lenha,a31_telefone,a32_comodos,a33_dormitorios,a4_esgoto_rede,a5_esgoto_inadeq,a7_banheiro_excl,a7b_sem_banheiro,b1_alfabetizacao,b10_sem_instrucao,b11_alfab_resp,b1z_alfab_naonulo_15mais,b1z_alfab_naonulo_5a14,b1z_alfab_naonulo_geral,b2_analf_60mais,b3_freq_6a14,b4_freq_15a17,b6_fund_completo,b7_medio_completo,b8_superior_comp,c1_participacao,c10_raz_rend_sexo,c10a_rend_fem,c10b_rend_masc,c11_raz_rend_raca,c11a_rend_pretos_pardos,c11b_rend_brancos,c13_beneficio,c2_desocupacao,c3_ocupacao,c5_previdencia,c7_rend_trab_med,c8_rend_total_med,c9_sem_rendimento,d1a_branca,d1b_preta,d1c_amarela,d1d_parda,d2_idade_mediana,d3_envelhecimento,d5_pop_0a5,d6_pop_65mais,d7_razao_sexo,e1_nao_natural,e2_migrante_5anos,e3_estrangeiro,f1_tamanho_familia,f2_resp_mulher,f3_idade_resp
1100023,2743,12874,10117,53365,2.26,56.44,69.17,7.68,0.07,5.05,77.29,3.26,38.19,537.96,1002.15,0.93,8.04,50.01,14.86,6.62,37.38,47.18,11.56,9.19,11.5,13.74,75.16,2.37,3.97,1.91,0,39.19,38.8,55.98,62.71,50.29,52.6,99.02,96.28,97.44,68.55,42.43,22.56,5.84,3.14,0.93,52.8,0.751,2433.99,3241.31,0.715,2652.21,3708.44,0.85,0.2,52.7,17.93,3124.82,3139.46,52.92,48.5,3.28,0.43,47.8,16,0.02,20.86,1.11,1.19,82.17,72.38,0.22,4.78,4.12,37.91
1100049,3416,15515,12776,67030,4.19,60.65,61.87,7.63,0.1,5.17,79.1,3.65,38.66,391.24,702.46,0.65,12.45,67.48,6.74,4.66,21.96,45.82,6.39,5.92,6.66,5.34,86.43,1.2,3.88,1.89,0,27.88,28.88,68.46,63.91,51.77,54.19,98.87,96.52,97.53,68.53,47.47,18.02,3.63,1.85,0.55,50.15,0.694,1583.61,2280.58,0.699,2053.93,2938.62,0.89,0.3,50,13.51,2195.92,2207.43,54.99,13.9,1.75,0.07,84.27,16,0.03,20.7,1.48,1.13,86.47,64.7,0.16,4.9,4.15,38.44
1100106,1702,8257,6634,34751,19.52,60.21,65.44,18.01,0.68,5.1,74.59,10.26,41.73,608.6,1102.39,1.02,25.05,46.79,49.64,19.87,61.12,64.07,36.28,33.1,8.81,24.69,41.69,7.25,4.04,1.78,8.85,54.96,64.63,25.71,74.49,36.79,64.6,99.38,97.22,98.19,53.07,62.11,57.01,10.44,6.52,1.31,44.01,0.586,1822.68,3110.4,0.701,2626.2,3748.91,2.41,1.22,43.47,45.11,2863.71,2823.86,47.36,17.31,6.15,0.12,76.42,16,0.05,20.43,2.47,1.09,30.98,10.13,2.93,4.86,12.02,41.01
1100122,6005,29259,23005,121714,5.14,57.68,63.53,10.09,0.23,5.24,78.92,5.27,39.41,417.32,848.7,0.78,6.83,61.12,13.78,9.71,35.03,61.26,11.1,10.88,7.72,10.42,77.19,2.52,4.25,2.01,0,32.2,36,59.1,64.44,54.2,53.08,99.2,96.44,97.64,66.68,41.77,24.73,3.96,2.02,0.68,51.87,0.634,1790.54,2825.32,0.818,2499.05,3056.49,0.77,1.04,51.33,18.16,2658.98,2684.29,55.81,33.58,4.37,0.16,61.9,16,0.03,20.88,1.56,1.12,79.36,45.3,0.18,4.99,6.09,38.97
1100189,1414,6665,5780,29993,5.37,57.19,67.45,9.91,0.5,5.11,79.38,4.89,38.82,434.71,840.94,0.78,0.24,59.12,14.26,8.53,37.58,51.5,10.81,9.4,11.01,7.46,78.48,2.68,4.21,1.98,0,48.59,51.77,44.36,68.53,44.49,57.51,98.43,95.68,97.05,57.09,48.61,21.63,4.02,2,0.5,51.91,0.524,1330.79,2538.32,0.814,2130.18,2617.36,0.89,0.64,51.58,15.63,2394.52,2401.44,52.29,53.86,2.08,0.09,43.96,16,0.03,19.97,1.51,1.15,84.1,56.88,0.08,4.85,5.24,38.47
1100205,6789,32585,26023,133882,18.95,60.1,61.37,24.85,4.42,4.91,75.91,12.52,39.03,782.48,1587.21,1.47,36.76,34.04,69.74,27.99,78.09,70.1,55.62,56.19,14.23,33.35,14.08,13.03,3.94,1.75,6.64,57.93,63.79,14.3,76.97,35.3,65.84,99.2,96.48,97.94,51.03,65.84,61.48,15.24,8.77,2.96,51.92,0.617,2336.9,3788.07,0.565,2753.52,4876.75,1.54,1.14,51.32,58.93,3351.76,3413.51,38.79,31.55,3.33,0.19,64.93,17,0.04,20.49,1.74,1.09,43.75,20.73,0.3,4.38,14.32,38.39
1100304,2423,11381,9495,50290,1.35,59.84,68.2,11.52,0.07,5.2,80.25,2.72,38.13,426.81,826.87,0.76,20.63,58.46,15.16,3.09,41.65,54.64,11.18,11.95,11.69,18.66,79.58,2.63,4.07,1.93,0,39.88,37.88,57.72,66.03,43.63,54.41,99.61,98.68,99.13,67.89,44.97,24.93,5.93,3.07,0.78,53.58,0.626,1575.45,2517.12,0.664,1872.11,2819.09,0.85,0.73,53.19,16.36,2389.41,2402.14,51.92,54.51,4.32,0.06,41.11,16,0.03,20.5,1.22,1.13,88.37,79.25,0.09,4.92,3.87,37.78
1200054,65,325,242,1367,0,77.25,95.44,0,0,5.62,77.69,5.2,41.22,347.77,426.43,0.39,0,77.27,12.81,0,26.45,20.43,4.8,1.65,2.48,2.89,85.95,0.87,3.52,1.65,0,80.17,75.74,20.43,47.21,59.85,39.85,99.71,95.74,96.93,81.43,29.49,21.05,4.38,0,0,49.03,0.645,875.67,1358.61,0.885,1237.28,1398.5,0.86,0.88,48.6,4.83,1311.75,1311.28,46.71,36.06,9.89,3.27,50.78,15,0.04,21.43,2.05,1.15,14.12,3.38,1.61,4.76,9.15,40.89
1200104,653,3005,2558,13907,2.12,73.49,79.55,5.38,0,5.23,81.67,8.44,40.86,372.61,610.7,0.57,20.25,67.87,23.53,1.02,37.33,50.75,14.31,13.66,4.21,20.76,68.29,4.67,3.16,1.52,0,74.73,68.98,24.9,61.08,55.12,47.93,98.98,98.27,98.63,70.27,45.85,41.75,4.8,1.65,0.54,44.08,0.674,1209.88,1794.45,0.835,1625.55,1946.89,3.14,0,44.08,16.85,1751.63,1693.88,48.29,24.2,3.05,0.75,71.99,15,0.06,20.73,2.85,1.12,17.57,8.32,0.76,5.03,10.08,40.58
1200203,2311,11713,8830,50472,4.56,70.47,91.18,5.41,0.33,5.64,82.15,9.94,40.64,270.61,503.52,0.47,11.18,74.99,25.16,1.44,23.04,60.47,17.95,18.37,4.17,8.92,66.96,3.11,3.91,1.67,0,64.01,56.28,35.3,49.01,61.46,37.51,99.06,97.58,98.29,65.23,35.78,35.84,5.59,2.75,0.76,41.47,0.591,1051.82,1780.63,0.634,1449.53,2287.06,4.44,0.6,41.22,19.3,1713.6,1641.02,51.26,22.68,4.94,0.39,71.98,14,0.05,24.21,2.73,1.05,6.7,2.25,0.11,5.34,11.62,40.14
1200302,865,4025,3372,19569,1.76,76.74,90.11,3.28,0.24,5.66,84.99,8.01,39.48,271.26,395.56,0.37,7.74,82.93,15.15,2.76,23.64,51.55,10.15,8.42,0.78,3.72,84.36,0.09,3.39,1.59,0,26.1,26.52,71.93,35.78,73.52,25.06,99.11,95.4,97.49,78.51,29.94,30.4,2.32,1.22,0.29,40.28,0.71,978.36,1377.8,0.828,1299.13,1568.46,4,0.7,39.99,13.15,1396.25,1333.18,53.24,14.42,5.35,0,80.23,13,0.04,25.25,2.26,1.08,7.96,1.41,0.02,5.42,10.35,39.03
1200336,358,1724,1279,7374,0.9,79.73,96.01,1.02,0,5.62,83.89,5.96,40.26,260.83,395.22,0.37,0,82.47,6.33,0,20.17,50.2,3.72,0.94,0.79,1.88,94.03,0.32,3.46,1.52,0,71.77,62.61,36.28,54.29,53.56,43.42,94.25,94.76,94.85,52.96,53.49,40.04,2.33,0.67,0,40.43,0.628,776.98,1236.76,0.943,1155.92,1226.41,4.78,0.39,40.27,11.35,1230.01,1176.61,48.75,30.76,0.63,0,68.61,14,0.06,25.75,3.07,1.13,2.09,0.79,0.03,5.23,8.03,39.73
1200344,232,1266,974,5936,4.98,85.36,69.31,0,0,6.09,87.68,1.88,39.04,298.09,428.38,0.4,0,75.81,10.16,0,12.73,49.79,1.16,2.07,0,9.78,94.83,0,2.84,1.31,0,15.86,14.45,85.55,29.5,88.07,18.89,98.69,95.69,96.92,69.38,11.56,24.07,0.58,0.12,0,47.16,0.444,766.17,1724.28,0.717,1593.68,2223.85,2.39,5.26,44.68,5.34,1708.26,1659.34,53.48,13.38,1.45,0.33,84.85,13,0.04,28.22,2.38,1.15,11.27,2.18,0.15,5.49,3.9,38.79
1200385,450,2129,1744,9253,2.14,62.75,74.08,4.71,0,5.08,74.6,5.18,41.06,547.74,862.55,0.8,0,48.87,13.02,2.58,17.43,58.57,7.47,1.86,4.95,15.23,62.67,0,3.31,1.62,0,25.68,21.75,73.04,45.9,80.19,33.69,99.23,95.27,97.24,62.67,25.03,27.64,1.34,0.65,0.27,55.04,0.41,927.07,2263.64,0.606,1975.65,3259.28,0.58,0.48,54.77,8.72,2147.57,2120.55,45.75,12.68,1.27,0.02,86.03,15,0.04,23.51,1.98,1.21,31.19,14.44,0.35,4.92,6.96,40.7
1200401,6240,29727,23792,117101,15.69,57.67,62.58,14.89,1.66,4.85,75.57,16.44,40.68,652.07,1202.61,1.11,43.54,43.66,64.19,6.49,76.5,73.3,51.05,52.72,12.72,31.14,18.97,10.14,3.64,1.76,0,71.09,59.95,22.93,71.83,45.46,59.75,99.15,98.12,98.58,51.01,60.05,56.21,15.64,9.01,3.47,48.67,0.663,2083.4,3141.42,0.632,2397.55,3794.87,3,0.76,48.3,52.55,2875.07,2832.45,41.71,30.12,2.27,0.18,67.43,17,0.06,19.46,2.79,1.01,37.68,13.05,0.22,4.62,17.91,40.21
1200450,520,2149,2047,9707,2.37,69.39,71.77,5.88,2.3,4.64,71.28,7.31,40.88,521.65,731.55,0.68,11.24,51.84,17.64,8.35,30.04,58.05,12.42,12.41,2.94,18.85,53.4,0.74,3.04,1.27,0,39.4,42.64,52.95,51.46,81.52,42.36,99.2,93.6,96.55,72.91,35.89,24.39,1.91,0.35,0.14,50.94,0.62,1222.21,1970.77,1.017,1903.93,1872.61,1.18,0.26,50.8,19.74,1921.45,1892.34,47.34,25.85,5.2,0.06,68.89,17,0.05,19.63,2.03,1.19,31.43,15.62,0.3,4.54,8.48,40.61
1200500,1161,5213,4441,23541,2.03,71.1,94.91,2.21,0.2,5.2,78.54,7.22,40.12,489.05,732.55,0.68,11.06,56.85,17.5,0.27,29.25,60.14,13.06,13.49,1.58,11.1,71.84,4.08,3.18,1.54,0,30.03,26.62,70.05,43.12,81.34,31.86,98.71,96.35,96.94,69.06,24.78,38.2,3.56,1.92,0.45,39.7,0.571,1297.87,2274.93,1.058,2181.44,2061.74,2.9,0.08,39.67,12.45,2285.84,2165.33,49.73,11.68,3.35,0.12,84.85,15,0.05,21.88,2.28,1.08,6.97,2.55,0.05,5.12,7.58,40.06
1200609,1273,5777,5017,28362,1.62,74.07,88.44,2.6,0,5.28,84.23,6.77,38.32,312.99,431.32,0.4,8.85,80.1,14.55,1.63,24.96,42.08,8.66,7.28,1.14,5.64,85.93,0.54,3.07,1.56,0,24.72,23.42,74.74,25.42,83.68,17.92,99.6,97.39,98.27,74.42,17.26,23.11,2.68,1.01,0.06,48.55,0.658,967.31,1469.02,0.798,1328.99,1665.51,2.52,0.71,48.21,8.16,1448.49,1407.79,53.08,20.81,2.52,0.45,76.23,14,0.03,22.68,1.69,1.09,3.42,1.15,0.04,5.34,7.8,37.98
1200708,675,3450,2696,14687,4.43,67.52,81.12,5.08,1.34,5.28,76.85,8.04,41.47,417.32,682.29,0.63,11.13,64.42,18.77,1.89,23.92,70.83,12.52,10.68,4.53,8.09,71.74,6.8,3.48,1.62,0,87.57,86.11,10.6,50.39,60.92,37.09,99.11,99.08,99.09,61.48,32.85,29.91,3.28,2.39,0.64,51.21,0.583,1124.88,1929.03,0.903,1799.34,1993.13,2.27,0,51.21,18.77,1808.3,1808.27,51.47,9.37,1.88,0.12,88.63,16,0.06,20.72,2.78,1.1,25.69,10.97,0.07,4.99,9.54,41.01
1300102,616,3502,2455,15011,0.65,80.65,95.11,2.05,0,6.02,84.48,6.69,42.07,450.52,635.89,0.59,16.95,61.26,20.61,0.12,24.77,64.19,13.49,1.03,0.82,20.07,37.45,0.21,3.24,1.41,0,83.09,80.6,17.55,66.2,43.42,46.9,98.51,98.11,98.39,59.89,42.56,48.83,1.75,0.48,0,43.1,0.53,1430.85,2700.86,0.707,2289.47,3237.11,3.79,1.01,42.66,5.73,2809.65,2556.56,57.58,31.4,2.37,0,66.23,13,0.05,25.79,2.87,1.12,13.19,3.85,0.02,5.78,7.86,41.39
1300201,292,1622,1171,6670,0.52,75,92.06,0.43,0,5.53,78.05,4.76,38.01,422.21,544.95,0.5,17.68,67.33,12.47,1.79,17.68,17.94,4.94,1.21,0,7.83,87.1,1.04,3.03,1.51,0,76.15,77,22.65,16.09,87.69,12.24,98.95,94.4,96.01,87.5,8.16,6.68,2.11,0.88,0.46,63.71,0.594,827.88,1394.45,1.168,1274.16,1090.54,0.62,1.01,63.07,8.02,1268.47,1260.96,30.8,11.7,2.38,1.65,84.27,15,0.03,24.48,1.44,1.2,3.88,2.11,0.13,5.39,5.15,37.75
1300300,690,3154,2858,16061,0.63,65.54,92.37,1.02,0.03,5.45,78.41,8.56,43.33,318.79,513.99,0.47,13.37,73.18,13.82,1.05,16.45,46.12,10.26,3.33,0.28,10.67,60.93,0.25,3.33,1.87,0,87.31,86.65,11.69,58.46,59.69,41.13,98.25,97.89,97.82,66.77,20.43,34.65,2.36,0.55,0.02,44.08,0.754,1224.59,1624.42,1.094,1587.19,1450.34,4.07,0.37,43.92,17.01,1683.22,1577.5,50.64,8.09,0.44,0,91.47,15,0.07,22.76,3.25,1.1,5.66,2.08,0,5.24,9.16,42.99
1300409,525,2660,1725,9088,3.5,58.93,94.04,0.35,0,4.89,71.65,4.26,40.05,456.45,743.5,0.69,11.94,61.08,14.14,1.16,19.01,66.43,10.16,5.13,0.35,2.44,81.15,0.23,2.67,1.73,0,13.46,13.69,85.67,63.7,45.53,50.03,98.99,98.07,98.67,61.4,34.35,40.9,2.31,1.22,0.47,47.64,0.587,1176.6,2002.92,0.991,1921.48,1939.9,1.13,0.14,47.58,10.92,1946.13,1920.53,52.55,0.4,0.08,0,99.52,16,0.04,22.36,2.06,1.18,18.97,9.09,0.15,4.64,6.96,39.74
1300508,661,4340,2404,15394,2.29,82.65,97.36,0.25,0,6.45,88.39,9.04,44.84,243.03,418.91,0.39,14.98,84.94,16.51,1.08,20.05,39.23,9.22,2.78,0.38,5.29,85.19,1.47,2.74,1.54,0,72.31,69.2,27.36,71,43.88,53.9,98.67,93.63,96.18,57.25,56.99,47.31,2.63,1.6,0.45,41.78,1.132,1539.64,1359.71,0.304,1331.85,4375.99,2.5,0.96,41.38,13.98,1413.41,1381.86,54.12,1.89,4.24,0.05,93.83,15,0.07,24.84,3.56,1.04,3.88,2.35,0.02,5.78,10.67,43.3
1300607,983,5397,3956,24645,9.81,74.55,88.61,7.53,0.23,6.1,87.08,10.31,41.95,456.45,699.13,0.65,44.16,62.15,41.35,14.26,27.38,39.23,26.63,24.54,4.06,13.95,57.25,4.64,3.5,1.9,0,68.88,79.47,17.17,56.88,58.94,43.9,99.13,98.35,98.87,74.74,56.47,63.2,6.26,3.34,1.21,42.95,0.508,1161.69,2284.96,0.556,1825.72,3286.51,3.1,0.41,42.78,18.9,2112.67,2040.95,47.41,15.34,2.49,0.14,82.03,14,0.05,22.8,2.61,1.03,12.04,5.73,0.84,5.54,12.19,40.98
1300706,1029,5018,4069,21829,1.03,76.15,95.58,2.3,0.05,5.36,80.19,9.65,41.41,521.65,706.58,0.65,26.71,55.6,23.54,0.34,33.1,45.18,16.68,12.75,2.29,10.73,64.32,0,3.09,1.38,0,36.97,35.78,62.93,29.85,83.4,20.77,99.56,98.01,98.56,83.06,21.48,32.85,3.14,2.04,0.34,45.27,0.537,1240.24,2309.74,0.87,2089.98,2401.02,2.95,0.43,45.07,13.18,2250.21,2155.76,48.31,23.91,3.26,0,72.83,14,0.06,23.65,3.03,1.08,12.62,7.27,0.02,5.03,10.68,40.88
1300805,951,5434,3701,23568,2.87,87.08,95.77,1,0,6.32,90.79,7.14,42.94,347.77,494.57,0.46,17.4,72.21,17.05,1.68,27.7,43.62,9.33,5.55,0.95,4.07,75.69,0,2.88,1.64,0,62.58,59.36,38.81,63.65,55.14,45.14,99.32,97.4,98.04,60.15,45.77,49.74,1.52,0.92,0.32,45.18,0.746,1508.03,2021.78,0.956,1972.61,2064.37,3.76,0.06,45.15,8.86,2103.54,1965.75,57.13,0.92,0.24,0,98.83,14,0.06,23.94,3.05,1.08,10.46,7.31,0.06,5.82,8.94,41.62
1300904,298,1731,1089,6390,1.29,83.78,98.71,0,0,5.8,83.29,7.17,39.85,223.57,379.53,0.35,15.43,79.54,17.63,2.11,25.16,68.17,11.16,0.46,2.39,15.79,81.24,0.18,3.44,1.29,0,68.32,68.78,29.57,43.82,70.8,32.24,98.91,98.47,98.36,65.99,21.69,32.39,1.16,0.63,0.63,44.01,0.449,785.87,1748.78,0.695,1607.22,2313.62,2.23,0.91,43.61,7.59,1736.81,1654.14,61.73,5.57,3.1,0.06,91.27,14,0.04,25.15,2.14,1.11,9.23,2.26,0.09,5.34,8.21,38.91
1301001,819,4163,3319,20028,2.43,84.57,97.22,0.7,0.3,5.86,87.68,5.01,37.76,217.36,397.57,0.37,18.32,86.78,17.78,1.93,30.31,50.32,12.07,7.58,0.68,15.06,80.28,0.25,3.17,1.34,0,52.24,50.71,46.93,19.82,89.67,12.63,99.58,96.88,97.36,87.69,16.64,22.88,1.59,0.58,0,42.37,0.7,1111.95,1588.88,1.064,1561.76,1467.62,1.29,2.16,41.46,15.95,1582.59,1544.75,55.33,15.45,3.95,0.09,80.51,11,0.02,28.62,1.35,1.08,3.09,1.45,0.03,5.82,4.98,37.79
1301100,1567,7711,6086,34973,0.48,73.3,93.09,0.92,0,5.71,79.17,6.13,43.21,391.24,547.73,0.51,4.26,68.5,10.09,1.45,4.24,62.6,8.98,14.14,0.1,7.47,39.75,0.51,3.01,1.62,0,77.64,76.22,21.29,52.79,62.9,39.43,98.6,97.23,97.7,70.18,40.1,39.65,1.24,0.76,0.07,49.58,0.655,1198.58,1829.14,0.847,1723.32,2035.38,3.19,0.29,49.43,9.42,1848.41,1764.34,54.04,13.9,1.64,0.3,84.16,15,0.06,21.81,3.17,1.13,9.16,3.38,0.02,5.43,6.53,42.47
1301209,1816,10413,7058,42609,7.14,83.7,93.32,3.26,0.04,6.04,86.37,7.38,41.93,304.3,474.4,0.44,29.36,77.73,25.3,5.04,34.29,56,15.12,12.79,0.77,16.43,55.03,0.29,2.98,1.46,0,45.02,48.98,50.49,55.67,51.83,38.7,98.95,96.47,97.39,68.31,39.44,41.79,3.32,2.06,0.13,43.42,0.632,1156.9,1829.94,0.838,1621.03,1933.39,3,1.88,42.6,13.28,1830.55,1742.43,53.56,41.02,1.73,0,57.25,13,0.05,25.39,2.42,1.08,12.47,3.2,0.05,5.74,8.9,41.37
1301308,457,2536,1782,10820,5.72,73.32,92.55,3.16,0,6.02,83,7.75,43.09,492.67,662.19,0.61,38.66,59.63,30.25,12.12,41.58,61.32,22.13,18.72,0.17,21.58,42.31,2.27,3.59,1.72,0,42.37,52.65,46.01,63.89,50.95,45.63,98.96,88.65,91.56,50.18,36.25,41.17,3.06,2.08,0.31,45.19,0.589,1489.63,2528.86,0.669,2148.27,3210.61,3.88,0.7,44.88,15.87,2544.87,2359.85,53.45,21.14,2.45,0.04,76.37,13,0.04,24.04,2.18,1.08,5.39,1.81,0,5.7,11.41,42.27
1301407,611,3508,2477,14770,3.31,76.87,91.64,3.59,0.16,5.95,88.45,9.43,39.57,376.75,535.57,0.49,21.03,70.29,28.83,1.9,53.73,32.14,15.6,15.66,1.33,4.08,80.7,0.28,3.55,1.72,0,65.52,65.99,32.71,35.36,71.1,25.97,99.45,97.9,98.7,68.83,39.9,39.73,3.01,1.56,0.34,40.46,0.616,1180.96,1917.03,0.778,1649.93,2120.3,3.26,0.49,40.26,19.4,1882.26,1786.1,46.71,28.11,3.21,0.39,68.29,13,0.05,25,2.49,1.05,13.95,7.71,0.05,5.55,12.81,38.69
1301506,647,3407,2472,14702,0.37,76.19,97.37,0,0,5.81,89.56,4.68,38.59,358.64,456.8,0.42,2.51,79.72,5.14,0.53,9.39,46.5,3.64,0.28,0.32,1.5,95.55,0.28,3.28,1.84,0,33.62,29.6,66.02,18.37,85.79,11.71,99.17,98.92,98.78,83.78,6.46,10.27,0.75,0.05,0.05,42.62,0.688,1024.72,1488.84,0.919,1415.82,1540.93,1.83,0.71,42.31,5.47,1477.03,1453.85,46.91,10.68,3.41,3.97,81.94,13,0.03,25.41,1.44,1.12,5.12,0.66,0,5.64,4.46,38.15
1301605,555,3059,2101,13515,1.44,87.28,99.14,0.38,0,6.36,86.29,9.57,41.76,309.73,439.35,0.41,20.42,76.36,20.04,9.33,23.75,60.38,11.59,3.64,0.57,3,82.7,0.1,2.8,1.39,0,10.57,18.87,80.17,54.22,60.05,38,98.56,97.62,97.65,60.04,39.24,50.49,1.28,0.2,0,61.91,0.651,1089.27,1673.51,0.473,1500.75,3175.29,3.23,0.65,61.51,4.64,1647.11,1569.39,54.11,3.28,0.48,0,96.24,14,0.05,24.15,2.61,1.09,1.98,1.19,0,5.88,12.3,40.88
1301704,1061,5748,4146,24318,7.34,71.87,90.4,3.97,0.07,5.8,78.65,7.53,40.11,521.65,836.27,0.77,32.95,54.27,29.18,21.44,39.65,50.37,24.34,20.36,5.49,34.52,49.6,7.63,3.46,1.54,0,54.57,70.5,24.5,54.15,55.15,45.4,97.13,91.37,93.36,63.04,54.45,46.52,4.07,1.43,0.22,43.23,0.596,1645.1,2762.24,0.677,2434.19,3595.01,1.74,2.38,42.2,27.22,2727.25,2651.67,56.08,18.8,1.21,0.13,79.86,15,0.03,22.75,1.61,1.12,11.61,8.66,0.01,5.48,9.77,39.6
1301803,773,3796,3210,18744,0.19,86.85,99,0,0.06,5.7,86.54,4.5,39.08,260.83,334.28,0.31,2.71,86.82,8.29,0,4.45,38,0.94,0.22,0,0.87,95.13,0,3,1.41,0,36.76,36.76,63.15,20.41,84.51,15.61,99.24,98.46,98.44,84.56,15.75,19.6,0.4,0,0,43.47,0.625,827.07,1323.94,0.897,1260.81,1405.65,2.29,0,43.47,3.25,1338.14,1293.12,54.7,27.43,1.31,0.87,70.38,14,0.04,23.58,1.92,1.06,2.67,0.96,0,5.44,5.69,38.92
1301902,2150,12788,8412,52882,8.25,70.63,83.59,7.46,0,6.22,83.95,11.09,43.39,417.32,773.84,0.71,49.76,63.31,46.65,7.61,50.96,64.19,31.79,30.85,4.01,20.66,33.88,7.76,3.67,1.97,0,89.77,93.58,2.65,82.18,28.69,62.77,99.15,98.89,98.93,44.04,60.45,63.48,6.39,3.65,0.55,34.7,0.57,1567.32,2751.58,0.621,2516.81,4053.83,4.48,0.62,34.49,41.75,2700.04,2527.87,54.05,0.47,0.15,0,99.38,15,0.06,21.95,2.91,1.05,15.36,7.01,0.06,5.72,12.72,42.44
1302009,218,1211,948,5608,1.9,72.25,80.3,2.22,0,5.91,78.27,7.92,43.06,426.12,725.24,0.67,33.12,62.76,24.05,2.85,35.55,52.64,17.58,1.37,1.37,8.65,68.04,0,3.18,1.64,0,89.3,89.88,8.05,73.6,40.49,54.77,99.36,97.38,98.16,58.97,61.57,58.31,4.58,1.97,0,45.5,0.481,969.16,2014.86,0.604,1801.33,2980.41,3.68,0.31,45.36,24.83,1922.54,1860.74,45.09,4.06,2.49,0,93.45,15,0.07,24.57,3.26,1.15,26.77,11.03,0.05,5.05,10.06,41.73
1302108,94,596,348,2096,5.46,82.47,84.44,0.86,0,5.93,81.9,7,40.83,495.57,746.36,0.69,15.52,57.18,25,1.44,14.66,55.04,15.23,0,0,23.56,68.68,0,2.91,1.56,0,31.61,28.53,68.53,48.5,68.2,34.58,98.76,94.11,95.47,58.97,26.9,15.56,4.45,2.31,1.48,36.97,0.536,1272.23,2375.12,0.617,2137.9,3465.27,2.02,0,36.97,25.7,2321.73,2257.47,52.9,1.23,5.49,0,93.28,14,0.02,24.38,1.25,1.15,10.26,9.28,0.62,5.6,8.38,39.95
1302207,297,1355,1174,6952,0,78.76,92.22,0.34,0,5.72,84.92,3.98,39.37,312.99,451.39,0.42,4.43,77.52,7.16,1.28,7.84,62.63,6.42,0.51,0,7.6,90.27,0,2.9,1.53,0,93.93,90.68,4.97,27.15,81.44,18.58,99.48,93.95,95.51,82.42,19.29,19.11,1.64,0.15,0,40.47,0.861,1363.51,1583.4,1.162,1600.43,1377.67,1.92,1.86,39.72,8.19,1586.49,1568.57,53.5,16.13,2.28,0.03,81.56,13,0.03,24.94,1.78,1.12,5.15,3.31,0.01,5.72,5.26,39.24
1302306,332,1743,1264,9336,0.16,88.43,98.81,0.4,0,6.38,92.41,5.31,40.38,521.65,647.82,0.6,12.9,52.34,13.69,0.08,26.34,56.92,6.52,0,0,5.01,84.32,0.16,3.02,1.45,0,24.07,21.02,78.41,39.6,68,28.64,99.66,95.27,96.74,80.15,21.09,21.47,1.51,0.26,0,51.77,0.487,1264.54,2598.74,0.94,2337.59,2486.64,2.58,0,51.77,4.27,2528.38,2359.84,52,18.47,4.02,0,77.5,13,0.03,25.82,1.73,1.06,7.05,2.77,0.07,6.66,6.07,40.13
1302405,959,5084,3739,22026,3.37,85.29,88.28,2.43,0.27,5.84,85.08,6.07,39.06,223.57,484.91,0.45,15.65,80.54,25.62,1.71,37.84,50.32,14.18,11,2.05,17.01,71.51,0.73,3.19,1.37,0,61.41,61.93,37.31,38.16,89.02,30.34,96.03,95.75,95.45,75.8,27.37,38.24,1.04,0.45,0.06,42.9,0.492,1036.18,2104.95,0.315,1673.84,5313.21,2.66,1.63,42.2,9.76,1980.65,1960.73,60.06,8.12,1.49,0.16,90.23,15,0.04,25.13,2.13,1.04,4.21,1.55,0.09,5.38,8.55,38.25
1302504,2649,13830,9769,61018,5.11,77.29,92.89,2.58,0.19,6.18,86.26,5.95,40.5,447.13,664.34,0.61,23.81,59.52,23.17,8.59,29.13,57.73,24.39,19.45,2.09,23.43,36.06,3.93,3.09,1.7,0,63.02,68.97,28.88,60.4,61.66,43.81,99.02,94.65,96.25,61.71,38.45,42.68,2.38,1.01,0.09,45.09,0.512,1403.38,2740.2,0.726,2441.54,3365.31,2.58,6.18,42.3,15.2,2715.21,2560.35,55.16,12.97,6.76,0.12,80.14,13,0.05,25.04,2.4,1.05,6.55,2.22,0.01,5.88,7.43,39.99
