cod_mun,n_dom_amostra,n_pes_amostra,dom_pond,pop_pond,a10b_parede_alvenaria,a11_adensamento,a12_proprio_quit,a13_alugado,a14_apartamento,a15_moradores,a16_com_criancas,a17_resp_mulher,a18_idade_resp,a19_rdpc_mediana,a19b_rdpc_media,a19c_rdpc_sm,a2_agua_rede,a20_rdpc_baixa,a22_energia,a23_esgoto_adeq,a25_urbano,a26_radio,a27_geladeira,a28_televisao,a29_automovel,a3_agua_dentro,a30_fogao_lenha,a31_telefone,a32_comodos,a33_dormitorios,a4_esgoto_rede,a5_esgoto_inadeq,a7_banheiro_excl,a7b_sem_banheiro,b1_alfabetizacao,b10_sem_instrucao,b11_alfab_resp,b1z_alfab_naonulo_15mais,b1z_alfab_naonulo_5a14,b1z_alfab_naonulo_geral,b2_analf_60mais,b3_freq_6a14,b4_freq_15a17,b6_fund_completo,b7_medio_completo,b8_superior_comp,c1_participacao,c10_raz_rend_sexo,c10a_rend_fem,c10b_rend_masc,c11_raz_rend_raca,c11a_rend_pretos_pardos,c11b_rend_brancos,c13_beneficio,c2_desocupacao,c3_ocupacao,c5_previdencia,c7_rend_trab_med,c8_rend_total_med,c9_sem_rendimento,d1a_branca,d1b_preta,d1c_amarela,d1d_parda,d2_idade_mediana,d3_envelhecimento,d5_pop_0a5,d6_pop_65mais,d7_razao_sexo,e1_nao_natural,e2_migrante_5anos,e3_estrangeiro,f1_tamanho_familia,f2_resp_mulher,f3_idade_resp
3531308,1908,8139,7264,31231,99.56,35.71,46.99,30.63,0.21,4.26,65.57,8.97,43.19,857.47,1307.99,1.21,84.03,24.51,95.68,59.86,83.11,88.67,78.57,80.95,37.84,93.1,12.31,16.55,5.66,2.11,47.78,35.72,88.35,4.43,83.88,29.27,81.7,98.8,98.64,98.69,47.74,70.47,37.69,10.05,7.67,2.39,53.78,0.453,1460.81,3223.05,0.523,1533.52,2933.05,3.42,0.61,53.45,57.28,2734.58,2744.93,38.07,87,2.97,0.79,9.24,23,0.15,12.85,4.86,1.06,42.06,16.89,0.69,3.96,10.01,42.75
3531407,958,4072,3775,16442,97.3,30.12,52.83,18.77,0,4.31,63.47,10.06,45.41,739.01,1370.63,1.27,64.85,35.68,80.77,54.09,66.78,88.32,64.18,69.83,39.51,71.21,31.5,8.85,6.12,2.15,52.74,44.56,93.92,1.36,79.82,37.37,78.93,99.37,99.8,99.51,54.28,76.1,53.01,13.05,10.54,5.06,50.86,0.574,1912.91,3334.35,0.522,1706.53,3271.91,5.4,0.54,50.59,54.15,3050.2,2930.24,41.44,80.21,3.27,0.44,16.08,23,0.18,12.09,5.87,1.02,41.52,14.95,0.86,4.1,11.14,44.69
3531506,720,3108,2928,13021,96,36,42.48,25.89,0,4.38,65.81,11.47,45.12,775.96,1864.14,1.72,76.09,28.09,94.16,82.55,77.05,85.86,69.86,77.83,27.89,89.31,23.6,16.86,5.96,2.16,63.05,14.88,86.72,2.28,79.27,33.14,76.75,99.13,96.74,98.54,51.89,57.09,26.15,11.5,8.83,2.73,56.4,0.287,1189.04,4136.15,0.321,1194.95,3722.44,5.37,0.26,56.26,38.31,3301.44,3249.5,33.03,83.09,5.15,0.03,11.73,22,0.16,12.94,5.48,1.04,41.69,15.09,0.35,4.03,11.77,44.33
3531605,325,1560,1234,6140,37.67,36.78,45,6.51,0,4.89,73.26,5.8,44.26,499.92,905.33,0.84,36.55,54.37,79.17,23.34,35.66,84.72,54.03,53.78,24.22,38.73,59.8,2.12,5.28,2.41,13.86,69.24,80.51,7.34,74.17,47.75,73.8,98.31,98.74,98.52,72.81,69.21,38.65,7.4,5.07,2.25,49.48,0.547,1755.53,3210.09,0.42,1433.68,3417.23,2.5,0,49.48,15.02,3120.29,2981.07,59.7,71.95,4.45,1.24,22.36,20,0.11,13.83,3.99,1.09,60.78,18.28,0.11,4.67,6.46,43.46
3531704,146,709,595,2687,78.99,41.51,36.97,13.95,0,4.44,67.23,11.31,47.7,521.65,1371.78,1.27,41.18,54.31,58.66,21.01,27.23,73.61,22.86,34.96,20.27,63.7,52.27,7.56,5.28,1.94,16.97,58.99,78.82,20,69.91,41.58,65.09,99.81,100,99.78,46.33,62.54,33.52,6.46,4.46,1.64,47.29,0.685,2133.8,3113.38,0.385,1215.38,3157.24,6.95,0.32,47.13,25.94,2846.17,2915.93,41.58,87.5,4.73,0,7.78,19,0.12,14.51,4.99,1.12,46.37,18.8,0,4.16,12.23,47.53
3531803,719,3192,2936,14020,95.02,41.07,46.63,20.1,0.44,4.61,69.28,6.38,42.79,869.42,1484.69,1.37,58.41,27.65,89.31,66.86,54.7,83.96,72.21,79.26,32.19,78.92,8.23,13.59,5.24,2.1,48.91,28.83,90.04,4.05,81.22,26.17,74.27,99.07,98.29,98.67,34.84,62.01,31.6,7.23,4.51,1.81,51.51,0.536,1918.57,3582.15,0.567,1941.16,3420.67,3.91,0.99,51,56.96,3122.17,3192.86,41.26,80.12,7.26,0.71,11.92,20,0.1,16.51,3.97,1.05,57.27,37.2,0.36,4.33,7.07,42.31
3531902,1042,4683,3803,17444,99.42,41.76,41.73,22.19,0.08,4.53,70.29,11.01,41.51,625.98,1253.65,1.16,64.98,42.96,90.06,82.49,68.03,73.39,52.74,67.87,21.63,76.94,27.19,8.12,5.76,2.11,52.22,12.88,82.02,4.73,76.15,35.52,71.63,98.38,98.89,98.52,60.02,57.73,29.65,7.42,5,1.66,53.37,0.416,1284.74,3085.84,0.573,1868.07,3258.63,2.92,1.27,52.69,37.36,2708.03,2658.93,37.72,59.05,10.64,0.34,29.97,20,0.11,15.68,4.02,1.09,33.54,11.61,0.46,4.31,12.07,41.14
3532009,345,1651,1370,6528,99.2,47.96,42.12,22.7,0,4.73,70.88,7.82,43.66,967.3,1395.65,1.29,66.93,20.79,94.74,68.39,70.73,86.99,58.89,78.69,27.81,75.91,24.01,12.26,5.33,2.03,65.77,24.67,77.92,6.99,77.29,31.64,72.96,99.2,96.39,97.89,49.35,60.5,29.17,6.87,4.31,1.49,63.09,0.459,1369.39,2983.77,0.647,1652.35,2554.87,5.56,0,63.09,46.96,2411.69,2453.39,26.98,87.53,0.8,0.34,11.34,21,0.11,15.57,3.92,1.07,40.49,16.26,0.75,4.17,7.72,42.21
3532108,265,1217,958,4580,71.29,23.38,52.82,13.57,0,4.7,62.53,5.04,45.31,625.98,1193.53,1.1,47.7,44.13,85.07,45.93,52.4,86.01,64.82,72.65,30.9,63.78,29.96,7.95,6.3,2.44,30.79,49.27,91.2,5,77.78,34.58,76.84,99.23,99.31,99.26,68.54,77.19,64.47,11.02,7.63,4.32,44.12,0.456,1658.54,3639.85,0.458,1591.24,3471.82,3.89,0,44.12,33.45,3436.33,3267.1,48.16,74.67,3.61,1.97,19.75,22,0.16,11.57,5.11,1.09,57.25,14.13,0.76,4.45,4.66,44.77
3532207,164,754,667,3533,12.89,50.97,53.22,10.49,0,5.04,70.46,5.18,43.16,456.45,967.48,0.89,44.98,59.39,60.27,13.79,42.28,82.76,23.09,39.28,14.24,29.24,56.52,2.4,4.69,2.13,0,84.11,95.36,2.17,72.75,43.62,69.86,99.61,98.17,98.61,78.33,66.63,31.97,4.65,2.28,1.81,49.85,0.466,1379.35,2962.31,0.988,1832.21,1854.47,0.93,0,49.85,26.88,2706.33,2668.55,49.26,70.63,2.81,1.28,25.28,17,0.05,16.02,2.21,1.09,62.41,30.18,0.45,5.22,5.97,42.76
3532306,358,1675,1546,6888,60.54,38.29,60.67,6.21,0,4.38,61.25,11.13,47.34,469.49,699.09,0.65,32.66,58.67,35.83,31.63,31.05,73.22,11.45,18.76,18.63,41.14,70.18,3.23,4.86,1.97,29.75,56.99,84.8,11.38,58.36,56.28,54.13,99.68,99.85,99.77,71.67,56.49,23.67,1.83,1.24,0.28,43.62,0.538,979.46,1819.78,0.859,1384.14,1611.75,6.09,0.68,43.32,17.9,1681.69,1644.21,43.79,92.89,0.68,0.23,6.19,18,0.13,15.3,5.24,1.1,15.87,11.6,0,4.33,11.19,47.08
3532405,506,2097,2047,8419,82.95,47.29,62.63,8.11,0,4.1,59.94,11.6,47.82,521.65,887.45,0.82,23.6,53.52,43.82,11.63,29.41,79.97,19.2,32.53,23.6,47.82,56.33,2.78,4.35,1.68,11.43,54.23,61.67,34.21,63.27,55.69,62.32,99.75,99.8,99.8,67.49,60.75,24.07,3.05,2.34,1.18,51.45,0.615,1394.25,2267.15,0.593,1260.28,2125.57,4.12,0.5,51.19,26.42,2020.4,2090.1,42.58,89.73,1.71,0.97,7.58,21,0.16,15.58,6.06,1.08,19.69,11.4,0.42,3.93,12.41,47.3
3532504,473,2070,1769,7804,98.81,37.44,42.34,17.69,0,4.44,62.46,6.4,45.34,652.07,1340.45,1.24,60.54,39.07,86.72,47.71,60.66,84.34,65.8,75.58,30.2,62.34,39.91,10.87,5.98,2.08,47.71,51.22,91.58,0.91,76.25,37.14,71.36,98.76,99.32,99.01,59.2,67.55,47.76,10.75,8.81,4.21,56.02,0.424,1307.92,3086.87,0.406,1147.73,2827.97,7.09,0.15,55.94,34.04,2465.78,2574.88,40.32,85,3.18,0,11.82,23,0.19,12.7,6.25,1.07,49.54,17.53,0.78,4.23,6.89,45.05
3532603,569,2529,2323,10223,94.83,28.37,48.3,18.77,0.13,4.35,64.96,10.63,43.73,695.54,1282.97,1.19,43.39,38.75,86.22,45.46,60.65,87.18,66.78,72.2,37.34,56.46,24.25,17.87,6.26,2.31,37.62,45.7,87.23,8.88,80.22,38.36,78.9,97.92,98.84,98.19,58.2,74.15,50.6,11.41,8.58,4.05,51.43,0.68,2004.06,2945.15,0.534,1602.14,2997.95,4.58,0,51.43,37.83,2750.61,2696.98,42.24,79.73,2.62,0.04,17.61,22,0.14,12.34,4.6,1.04,55.55,19.34,0.75,4.1,10.91,43.27
3532702,151,604,615,2737,90.41,35.46,50.89,16.42,0,4.42,68.78,5.01,42.97,599.9,882.35,0.82,53.66,47.64,76.59,6.67,60.81,81.14,45.92,48.78,22.71,54.96,47.32,4.39,5.83,2.1,0,74.63,78.89,18.82,75.65,36.33,74.15,99.77,97.67,99.09,53.63,51.75,13.87,6.14,1.68,0.76,47.85,0.866,1961.82,2264.74,1.584,3411.27,2153.37,2.4,3.68,46.08,44.12,2338.91,2245.07,47.33,93.61,1.69,0,4.7,21,0.1,15.64,3.8,1.19,45.85,15.25,0.66,4.1,5.25,42.78
