cod_ap,n_dom_amostra,n_pes_amostra,dom_pond,pop_pond,a11_adensamento,a12_proprio_quit,a13_alugado,a14_apartamento,a15_moradores,a16_com_criancas,a17_resp_mulher,a18_idade_resp,a19_rdpc_mediana,a19b_rdpc_media,a19c_rdpc_sm,a1c_microcomputador,a2_agua_rede,a20_rdpc_baixa,a21_com_defic,a22_energia,a23_esgoto_adeq,a3_agua_dentro,a4_esgoto_rede,a5_esgoto_inadeq,a6_lixo_coletado,a7_banheiro_excl,a8_saneamento_ok,a9_maq_lavar,b1_alfabetizacao,b10_sem_instrucao,b11_alfab_resp,b1z_alfab_naonulo_15mais,b1z_alfab_naonulo_5a14,b1z_alfab_naonulo_geral,b2_analf_60mais,b3_freq_6a14,b4_freq_15a17,b5b_adequacao,b6_fund_completo,b7_medio_completo,b8_superior_comp,b9_anos_estudo,c1_participacao,c10_raz_rend_sexo,c10a_rend_fem,c10b_rend_masc,c11_raz_rend_raca,c11a_rend_pretos_pardos,c11b_rend_brancos,c12_ocup_superior,c13_beneficio,c2_desocupacao,c3_ocupacao,c4_carteira,c5_previdencia,c5z_v0450_naonulo,c5z_v0450_naonulo_carteira,c6_domestico,c7_rend_trab_med,c8_rend_total_med,c9_sem_rendimento,d10b_defic_severa,d1a_branca,d1b_preta,d1c_amarela,d1d_parda,d1e_indigena_raca,d2_idade_mediana,d3_envelhecimento,d5_pop_0a5,d6_pop_65mais,d7_razao_sexo,e1_nao_natural,e2_migrante_5anos,e3_estrangeiro,e4b_trab_estuda_outro_mun,e4z_v4276_naonulo,f1_tamanho_familia,f2_resp_mulher,f3_idade_resp
2927408999041,809,3109,7921.99999998,29875,41.97,84.55,5.61,5.25,3.77,64.67,37.45,40.88,430.03,583.87,0.7,1.42,81.83,42.75,14.86,98.75,65.49,74.84,61.14,40.11,77.05,61.81,48.18,7.29,89.61,10.14,75.42,100,100,100,39.01,96,85.1,38.45,32.19,15.66,0.62,5.5,71.03,0.692,923.25,1334.43,1.12,1156.68,1032.95,7.62,6.48,26.28,52.36,56.15,41.06,58.63,0,13.7,1128.69,1145.27,37.75,4.57,11.72,28.21,0.11,59.49,0.47,22,0.09,13.51,2.78,0.93,28.68,3.89,0,100,100,3.42,38.72,39.28
2927408999042,406,1593,4155.00000006,16664.00000021,42.9,82.5,9.7,4.91,4.01,68.12,38.79,42.37,449.92,647.99,0.81,2.96,96.31,43.62,14.74,99.35,67.69,83.33,64.23,34.43,89.04,79.6,62.39,9.86,91.18,10.38,78.4,100,100,100,25.3,94.03,88.74,38.19,36.66,17.82,0.81,5.69,66.01,0.57,1017.06,1783.57,0.539,1312.69,2435.64,12.07,7.43,35.36,42.67,62.29,51.54,50.88,0,9.46,1352.18,1427.59,45.76,4.95,12.03,22.09,0.08,65.34,0.46,22,0.12,12.03,3.73,0.96,19.72,1.39,0.08,100,100,3.57,41.26,40.61
2927408999043,569,2293,5470.00000001,21971.00000005,37.45,83.82,12.92,6.01,4.02,63.34,39.01,43.94,462.17,674.26,0.84,3.11,96.57,41.96,17.38,99.63,78.95,91.33,66.13,8.22,87.73,92.35,74.06,13.7,94.51,7.01,83.27,100,100,100,20.74,95.41,87.16,40.9,43.9,24.71,0.66,6.49,59.46,0.645,1128.2,1748.26,0.92,1449.45,1574.64,11.08,7.72,32.77,39.97,68.96,57.96,44.08,0,10.4,1452.41,1459.33,46.04,5.12,14.43,18.12,0.19,66.62,0.64,24,0.14,11.17,4.1,0.9,18.41,1.38,0.05,100,100,3.56,41.67,42.03
2927408999044,651,2616,6336.00000003,24650.00000013,34.14,82.87,10.58,6.29,3.89,62.36,32.4,43.79,587.65,869.26,1.12,5.51,95.72,30.75,11.85,99.66,72.04,91.03,61.11,17.98,93.79,91.4,67.75,17.26,92.85,8.83,81.68,100,100,100,30.94,95.81,85.69,39.33,48.19,29.47,1.75,6.72,64.48,0.705,1439.42,2042.22,0.758,1657.52,2187.72,15.66,7.27,27.43,46.79,62.54,53.52,46.59,0,7.87,1683.06,1774.78,41.81,3.48,17.75,21.36,0.14,59.95,0.81,24,0.13,11.22,3.73,0.96,23.42,2.64,0,100,100,3.46,34.51,42.21
2927408999045,441,1747,4271.00000003,16759.00000024,32.8,83.64,6.3,8.06,3.92,60.47,29.78,43.52,537.15,804.65,1.02,3.73,95.66,34.94,15.68,99.82,75.95,89.44,52.15,17.06,92.47,92.08,71.08,13.92,92.46,8.95,80.4,100,100,100,42.9,95.81,87.81,47.82,42.9,25.28,0.69,6.3,65.94,0.591,1089.35,1843.56,0.826,1482.6,1795.26,11.68,7.52,29.22,46.67,68.35,54.08,44.41,0,9.78,1463.89,1530.19,41.72,4.82,11.69,18.37,0.29,69.1,0.55,23,0.11,11.14,3.16,0.96,23.34,1.86,0,100,100,3.4,35.05,41.44
2927408999046,403,1653,3860.99999996,15719.00000013,43.45,86.53,6.37,1.14,4.07,67.07,32.37,42.1,382.59,565.32,0.68,1.33,95.81,51.11,15.28,99.71,53.26,79.94,14.81,16.1,81.06,82.64,48.96,9.62,89.9,10.77,76.55,100,100,100,42.37,94.13,84.38,35.61,36.17,16.14,0.89,5.65,65.87,0.72,1003.21,1393.21,0.72,1158.4,1608.42,12.34,6.54,31.79,44.93,58.07,47.73,52.52,0,14.63,1199.22,1220.3,45.55,4.53,11.5,20.79,0.22,66.8,0.69,21,0.09,13.55,3.01,0.98,24.58,2.92,0,100,100,3.68,35.45,40.71
2927408999047,1206,4748,12067.99999998,47154.99999968,35.22,73.65,10.75,15.43,3.91,63.91,37.77,43.05,573.88,881.47,1.13,5.53,95.52,35.92,15.73,99.3,76.32,85.96,56.83,15,90.68,88.54,71.33,17.8,93.86,6.91,81.83,100,100,100,23.72,93.89,88.77,42.13,46.63,29.48,1.51,6.71,63.23,0.62,1354.08,2184.58,0.776,1736.39,2237.36,15.58,7.59,28.12,45.45,66.52,55.62,44.66,0,10.62,1727.07,1808.86,42.7,4.72,16.92,23.93,0.58,56.65,1.92,24,0.13,11.18,3.66,0.92,23.58,2.74,0.04,100,100,3.51,39.9,41.44
2927408999048,773,3352,7458.00000017,30623.00000072,41.57,76.05,5.52,2.76,4.11,67.99,38.41,41.1,346.62,544.21,0.65,1.68,93.05,52.74,15.81,99.26,86.13,82.87,76.09,14.52,93.78,83.84,78.62,6.23,88.54,14.53,73.69,100,100,100,39.61,91.81,80.69,32.49,28.41,14.56,0.33,5,67.1,0.672,937.03,1395.3,0.838,1171.29,1398.1,9.3,4.11,35.64,43.19,54.77,49.05,51.06,0,14.87,1210.93,1198.77,48.92,4.66,13.07,22.77,0.18,62.86,1.13,20,0.05,14.12,1.62,0.96,26.86,3.25,0,100,100,3.69,41.39,39.34
2927408999049,486,2000,4691.99999998,18076.99999976,44.56,76.08,2.81,3.05,3.85,66.33,34.48,40.63,346.62,557.89,0.66,1.76,93.57,54.26,9.78,98.87,42.78,71.82,26.78,34.68,47.48,72.19,40.19,3.31,86.46,13.4,71.37,100,100,100,49.66,92.9,77.65,30.18,25.3,12.35,0.58,4.85,58.21,0.552,807.57,1463.6,0.721,1144.25,1586.94,7.94,4.25,20.93,46.03,57.54,46.2,58.95,0,14.91,1187.72,1190.2,44.1,3.11,10.79,21.74,0.34,66.3,0.84,21,0.07,14.44,2.38,0.98,26.21,3.46,0.07,100,100,3.53,36.72,39.61
2927408999050,635,2488,6334.00000003,24772.00000011,35.7,70.92,6.95,23.34,3.91,66.08,31.95,41.79,484.36,714.89,0.88,3.38,96.88,42.08,14.23,99.86,79.49,90.32,66.2,12.63,91.51,91.26,75.28,10.68,93.26,9.03,80.89,100,100,100,35.64,93.77,86.48,37.17,41.22,20.26,0.58,6.07,63.77,0.559,1048.81,1877.1,0.698,1451.81,2079.14,12.16,5.84,29.07,45.23,60.4,50.6,47.73,0,10.48,1507.83,1529.63,45.14,4.11,12.43,20.46,0.51,65.37,1.22,22,0.09,11.64,2.73,0.93,29.52,4.89,0,100,100,3.53,34.93,40.46
2927408999051,1453,5944,14384.99999984,57034.99999958,35.9,83.54,7.92,8.82,3.96,64.79,31.53,43.49,468.29,780.48,0.99,4.3,88.74,41.23,14.37,99.39,68.18,81.44,46.53,18.63,83.96,84.72,61.88,13.97,91.82,8.18,79.88,100,100,100,26.03,92.91,81.3,44.81,39.78,22.97,1.15,6.15,60.58,0.59,1200.13,2033.51,0.668,1597.85,2391.87,13.89,8.15,28.51,43.31,61.73,48.84,50,0,9.98,1634.9,1688.75,45.35,4.3,12.76,20.51,0.38,65.7,0.65,23,0.13,11.41,3.89,0.98,22.97,4.23,0.02,100,100,3.58,34.98,41.89
2927408999052,401,1582,4029,15837.99999998,45.63,78.2,8.52,12.87,3.93,66.49,33.32,41.66,401.72,545.05,0.66,1.72,95.25,47.05,12.16,99.33,45.02,89.7,34.65,26.82,92.1,88.53,42.53,7.27,93.16,9.3,79.12,100,100,100,32.04,93.31,89.43,42.89,37.51,18.25,0.17,5.92,62.96,0.723,1109.47,1533.72,1.027,1373.69,1338.03,9.09,5.62,33.46,41.89,65.4,55.6,44.52,0,10.66,1372.94,1365.01,50.22,3.39,14.45,21.21,0.33,63.25,0.75,22,0.07,12.94,2.35,0.94,26.42,3.51,0,100,100,3.63,35.96,40.27
2927408999053,576,2374,5653.99999999,22518.00000005,37.44,80.55,9.2,20.15,3.98,63.9,36.17,41.9,506.55,674.89,0.83,2.01,93.72,40.42,16.87,99.41,78.45,91.22,69.28,9.66,88.89,90.39,69.11,13.37,91.94,8.56,80.03,100,100,100,35.96,92.24,85.14,37.48,36.83,18.86,0.73,5.8,64.28,0.687,1126.34,1640.18,0.787,1326.11,1684.4,10.95,7.2,28.55,45.93,60.01,52.64,51.4,0,12.18,1368.3,1411.49,44.09,5.32,15.58,21.13,1.03,61.69,0.58,23,0.11,11.52,3.02,0.95,27.81,3.22,0.06,100,100,3.54,39.29,40.42
2927408999054,803,3182,7972.99999993,31298.99999974,36.04,79.02,13.35,40.55,3.93,62.86,37.99,43.74,518.79,809.9,1.03,2.26,97.39,36.53,16.23,99.39,83.68,91.48,80,11.26,95.26,91.22,77.67,13.82,91.04,10.15,79.48,100,100,100,35.8,94.93,88.53,43.43,45.22,26.71,0.47,6.41,69.23,0.687,1230.88,1792.55,0.891,1506.71,1691.38,11.62,7.96,31.83,47.19,63.16,55.38,48.09,0,9.21,1494.11,1530.58,41.67,4.82,13.55,21.7,0.69,63.07,0.99,24,0.16,11.52,4.38,0.91,24.02,2.41,0,100,100,3.46,40.65,41.8
2927408999055,1390,5422,13560.00000007,52429.00000004,34.14,77.46,16.6,35.82,3.87,60.08,34.61,44.5,688.66,997.91,1.28,5.51,98.37,29.63,15.9,99.49,89.45,94.12,85.57,7.61,95.04,95.88,86.38,18.26,94.85,5.03,83.7,100,100,100,23.01,95.94,86.59,46.73,51.45,33,1.83,7.13,64.63,0.707,1546.61,2186.83,0.826,1826.99,2211.09,16.63,8.41,26.71,47.36,65.05,57.83,43.67,0,6.59,1834.37,1896.45,39.66,4.89,16.12,20.53,0.07,62.7,0.58,25,0.16,10.71,4.27,0.91,26.02,4.2,0.07,100,100,3.47,37.12,42.88
2927408999056,1737,6648,17611.00000016,67795.00000048,34.07,80.46,15.62,23.64,3.85,58.97,39.06,44.07,583.06,827.03,1.04,2.91,97.65,31.5,15.51,99.66,94.65,94.33,89.7,3.4,93.73,96.59,90.94,13.94,93.52,7.3,82.47,100,100,100,27.69,96.03,85.53,41.91,46.07,28.54,0.81,6.58,64.29,0.648,1262.04,1947.8,0.852,1592.68,1868.6,13.23,8.35,31.21,44.23,68.85,60.93,39.67,0,7.06,1626.88,1632.5,42.19,4.94,14.32,24.91,0.49,59.14,1.14,25,0.16,10.57,4.27,0.9,24.9,2.65,0.03,100,100,3.41,41.83,42.4
2927408999057,649,2519,6513.99999987001,25423.99999965,36.92,80.46,9.04,16.35,3.9,61.41,34,43.14,573.88,901.03,1.16,5.38,96.14,36.16,13.09,99.66,86.12,95.93,80.66,8.45,96.62,95.48,81.81,14.09,93.98,7.99,82.6,100,100,100,25.85,94.64,86.07,42.24,41.67,26.92,1.83,6.34,64.24,0.654,1379.95,2108.68,0.613,1597.42,2605.39,15.06,6.92,30.23,44.82,63.14,55.47,46.35,0,11.62,1775.26,1774.83,43.36,3.87,17,25.08,0.13,57.3,0.49,24,0.1,10.84,2.9,0.93,26.74,3.76,0,100,100,3.49,35.7,41.39
2927408999058,673,2650,6699.99999999,25897.99999999,33.4,77.54,13.2,16.35,3.87,60.82,34.6,42.91,596.84,891.01,1.13,6.46,97.84,32.69,14.89,99.6,81.2,94.74,63.85,15.17,88.33,95.6,78.71,16.65,92.05,8.84,80.74,100,100,100,29.48,96.51,89.1,39.03,45.29,27.53,2.04,6.41,68.05,0.675,1376.24,2038.22,0.881,1699.12,1928.05,12.32,6.76,25.76,50.52,64.2,55.61,43.91,0,12.46,1711.27,1733.65,40.11,4.38,17.51,24.35,0.11,57.47,0.56,24,0.12,10.85,3.21,0.91,30.73,4.7,0,100,100,3.56,36.77,41.8
2927408999059,1054,4087,10467.99999992,40033.99999978,38.21,77.22,11.34,20.42,3.82,62.7,35.47,40.71,530.27,1039.18,1.35,3.17,98.31,37.26,10.87,100,90.38,94.31,79.16,7.93,93.96,94.69,86.14,10.52,91.11,10.82,79.05,100,100,100,44.88,92.83,87.34,34.92,37.42,21.34,1.2,5.79,71.44,0.573,1284.98,2241.2,0.761,1734.84,2279.14,11.13,4.99,28.2,51.29,57.58,51.81,46.77,0,16.39,1803.03,1804.89,41.11,3.35,14.11,24.51,0.02,60.33,1.02,22,0.07,12.05,2.12,0.94,34.83,5.21,0.03,100,100,3.52,37.51,39.51
2927408999060,418,1687,4121.99999995,15959.99999974,37.32,84.2,10.83,16.24,3.87,62.59,35.93,42.27,538.68,672.41,0.82,2.63,98.99,39.94,14.13,100,93.14,94.62,88.7,2.46,99.52,95.15,88.38,8.23,91.19,10.56,80.09,100,100,100,43.49,94.36,90.34,39.01,33.98,16.97,0.74,5.56,70.96,0.613,1001.85,1633.02,0.666,1263.15,1896.35,10.25,4.72,32.73,47.74,63.78,59.04,44.3,0,15.17,1358.95,1341.9,41.11,4.58,14.16,24.32,1.71,58.28,1.53,23,0.09,10.45,2.62,0.92,31.08,2.65,0,100,100,3.59,37.65,41.28
2927408999061,1906,6631,19050.99999979,66132.99999899,21.63,54.38,15.66,61.6,3.47,51.73,37.16,42.99,1179.9,1860.51,2.51,19.11,99.36,16.44,10.29,99.94,82.29,95.81,75.71,15.04,94.74,97.69,81.27,40.31,95.84,4.43,86.14,100,100,100,12.86,95.58,94.49,53,66.42,54.01,9.68,8.73,69.89,0.667,2545.9,3817.54,0.703,2820.54,4009.3,31.34,8.48,21.91,54.58,65.63,60.08,38.93,0,7.42,3119.46,3185.82,33.32,3.39,29.19,16.76,0.12,53.22,0.7,26,0.14,9.36,3.3,0.86,38.79,8.01,0.15,100,100,3.3,38.48,42.27
2927408999062,1861,6927,18532.00000005,68808.99999966,32.51,73.98,17.94,23.15,3.71,57.98,33.87,42.14,693.25,1140.04,1.48,7.26,98.82,27.22,12.4,99.92,94.95,94.25,90.3,5.57,95.37,93.72,89.97,18.32,92.97,8.23,81.42,100,100,100,24.63,95.21,84.07,46.11,47.19,29,3.24,6.71,70.17,0.708,1677.79,2371.41,0.525,1773.69,3379.99,15.02,6.28,24.07,53.28,67.67,59.02,43.56,0,10.82,1973.55,2056.77,36.71,3.89,17.87,23.45,0.26,57.82,0.61,24,0.12,11.27,3.31,0.92,34.98,5.42,0.06,100,100,3.35,36.8,40.7
2927408999063,410,1405,4186.99999993,14699.99999958,16.73,58.32,23.08,60.01,3.51,46.28,44.61,49.09,1970.71,2718.07,3.73,26.66,99.02,10.62,11.33,100,98.07,98.75,90.03,1.05,99.62,98.58,96.07,50.74,98.17,1.67,90.71,100,100,100,3.07,96.07,86.94,58.37,76.03,62.87,19.2,9.95,66.79,0.592,3090.45,5224.54,0.676,3445.72,5094.16,43.8,14.1,19.97,53.46,71.98,65.36,34.44,0,7.95,4027.18,4088.95,30.87,3.4,40.15,13.14,0.23,46.41,0.07,30,0.51,7.26,9.75,0.79,30.08,4.6,0.23,100,100,3.32,45.96,48.4
2927408999064,692,2485,6836.00000001,24494.99999965,16.51,54.91,15.42,64.64,3.58,51.11,37.02,45.11,2180.75,3344.53,4.64,35.21,99.33,13,6.94,99.86,97.31,98.31,92.16,2.13,95.5,97.95,95.21,51.76,97.32,3.08,88.59,100,100,100,10.08,97.39,92.74,59.83,76.53,66.32,21.3,10.12,69.4,0.572,4061.73,7100.29,0.577,4269.27,7403.02,41.96,9.97,18.91,56.27,67.66,65.09,39.51,0,8.32,5617.22,5502.67,29.96,2.06,37.96,16.19,0.1,45.09,0.66,27,0.21,8.41,4.82,0.82,31.92,6.46,0.23,100,100,3.37,38.51,44.12
2927408999065,934,3710,9307.99999997,35925.99999982,35.22,77.71,18.12,15.17,3.86,60.09,39.93,44.45,654.22,894.38,1.14,3.45,98.81,30.63,12.87,99.89,96.01,95.59,95.11,4.75,89.93,92.74,89.3,12.9,92.44,9.51,81.35,100,100,100,32.81,95.24,90.63,38.67,47.95,28.91,1.59,6.58,67.06,0.752,1375.71,1828.74,0.787,1542.08,1958.42,12.86,8.76,27.05,48.92,66.83,58.25,41.63,0,11.18,1613.92,1607.61,38.05,3.77,14.38,25.73,0.34,58.66,0.89,25,0.19,10.79,5.13,0.9,24.37,2.81,0.02,100,100,3.37,42.52,42.34
2927408999066,944,3475,9453.00000001001,33972.99999999,25.56,67.52,17.95,38.06,3.59,48.88,45.47,46.8,918.21,1966.02,2.65,13.96,98.87,20.55,10.75,99.93,98.78,98.33,94.31,0.75,97.79,96.47,94.94,28.91,96.15,4.79,86.79,100,100,100,10.76,96.11,92.96,45.07,61.69,47.82,8.67,8.33,67.44,0.739,2556.46,3457.45,0.599,2567.6,4283.23,26.95,11.64,26.26,49.73,63.34,56.67,46.29,0,8.41,2898.6,2990.43,34.77,3.42,21.88,27.88,0.11,49.46,0.67,27,0.31,8.97,7.02,0.84,24.38,4.94,0.08,100,100,3.23,48.15,45.22
2927408999067,1403,4912,14262.99999997,50078.00000005,20.3,68.91,16.96,53.51,3.51,48.14,40.26,45.63,1407.92,2939.51,4.05,24.97,99.05,14.83,9.87,99.78,97.68,98.37,93.75,1.9,99,97.31,94.84,41.69,96.7,3.9,88.15,100,100,100,11.34,96.27,92.06,52.56,68.83,56.35,17.44,9.29,66.93,0.591,3267.52,5524.42,0.501,3249.7,6484.58,35.86,10.91,20.45,53.25,67.37,64.35,39.22,0,10.47,4292.63,4352.86,32.38,3.1,32.04,17.82,0.44,49.15,0.55,27,0.26,8.16,5.74,0.84,32.9,7.42,0.09,100,100,3.25,41.74,44.4
2927408999068,441,1485,4661.99999984,15593.99999977,17.79,61.25,17.09,68.23,3.34,46.51,41.84,47.26,1923.65,2847.79,3.92,30.76,100,10.94,13.31,99.37,98.32,96.3,95.01,0.44,99.65,97.58,96.05,53,96.31,4.3,89.15,100,100,100,10.5,98.22,93.7,61.37,73.85,63.96,19.62,9.72,63.37,0.554,2954.29,5334.61,0.754,3536.38,4691.53,45.29,15.31,18.73,51.5,63.95,62.79,40.03,0,6.45,4118.71,4031.58,28.73,5.17,42.28,11.96,0.56,44.19,1.02,30,0.45,7.04,9.08,0.81,37.42,9,0.54,100,100,3.4,41.75,46.29
2927408999069,438,1580,4501.99999999,16246.99999984,15.12,66,13.95,63.72,3.61,47.52,32.13,44.84,4476.27,6936.5,9.82,53.95,99.51,10.34,7.64,99.78,98.18,98.78,95.59,0.44,97.78,98.88,96.95,64.82,96.97,3.68,89.03,100,100,100,8.37,97.02,88.01,57.8,76.92,68.12,36.01,10.89,73.48,0.455,6617.68,14529.93,0.371,5501.46,14810.3,51.24,8.54,13.6,63.49,66.34,64.52,46.13,0,12.08,10410.62,10307.77,28.93,2.32,45.16,15.05,0.44,39.01,0.34,28,0.2,7.59,4.3,0.82,37.16,6.7,0.26,100,100,3.32,36.28,43.78
2927408999070,737,2836,7270.00000000001,28202.99999995,33.92,67.88,10.59,8.82,3.88,65.12,36.63,42.08,545.19,840.79,1.07,3.24,96.61,38.63,12.1,99.6,74.76,88.91,64.07,12.04,90.37,93.58,70.08,16.57,93.99,7.8,80.74,100,100,100,24.79,95.01,86.8,40.07,41.39,23.78,0.81,6.28,66.61,0.628,1301.53,2071.76,0.75,1640.04,2187.22,13.99,7.77,28.72,47.48,63.43,55.34,45.08,0,7.98,1655.44,1719.45,41.86,3.83,12.83,20.21,0.18,66.52,0.26,23,0.1,12.2,2.86,0.93,27.24,3.59,0,100,100,3.42,40.84,40.31
2927408999071,648,2607,6398.99999991001,24808.99999975,38.05,81.65,13.91,3.94,3.88,60.11,30.82,42.87,550.93,704.83,0.87,2.76,98.46,36.97,11.08,100,71.71,94.96,67.69,16.56,94.37,93.47,68.3,13.88,93.52,8.97,81.68,100,100,100,32.27,96.13,87,40.99,40.54,22.15,0.61,6.16,65.4,0.574,1018.34,1773.66,0.775,1402.13,1809.62,13.41,7.65,31.78,44.61,65.23,58.81,46.62,0,7.75,1458.95,1453.29,44.81,3.5,14.64,24.96,0.33,59.18,0.9,23,0.1,11.4,2.94,0.93,31.41,2.97,0.09,100,100,3.48,34.36,41.27
2927408999072,519,1968,5221.00000008,19312.00000051,40.32,77.79,5.4,13.48,3.7,63.62,34.3,39.63,489.71,779.34,0.96,3.46,95.78,40.68,10.39,100,77.85,90.18,59.7,17.36,97.09,88.9,72.1,11.95,91.37,10.57,77.1,100,100,100,47.91,90.89,80.04,37.92,37.18,22.1,1.94,5.92,71.58,0.619,1145.52,1850.62,0.707,1440,2036.25,12.01,5.22,29.09,50.76,57.84,48.5,50.64,0,13.45,1561.93,1535.1,41.07,3.22,15.04,26.47,1.95,55.19,1.35,22,0.05,13.43,1.7,0.94,37.03,6.5,0,100,100,3.4,35.55,38.5
2927408999073,636,2380,6351.00000001,23604.00000018,34.47,76.13,9.1,24.28,3.72,62.89,35.68,41.21,573.88,969.09,1.24,7.4,98,35.73,9.59,100,66.64,92.5,54.49,14.02,90.71,95.66,64.44,15.66,93.6,8.12,81.11,100,100,100,32.14,95.38,83.66,39.58,44.32,29.71,2.04,6.57,66.18,0.764,1664.21,2179.71,0.735,1818.21,2473.15,15.67,4.63,30.23,46.18,62.69,56.83,43.09,0,11.97,1942.42,1942.08,43.85,2.82,18.37,25.24,0.35,55.47,0.57,23,0.08,12.17,2.35,0.93,30.93,5.94,0,100,100,3.52,37.45,40.3
2927408999074,1489,5281,14744.99999989,51544.99999999,35.78,74.32,8.53,22.96,3.5,63.56,37.2,40,487.57,1103.16,1.45,6.16,96.89,38.79,12.19,99.87,78.24,92.53,66.03,12.34,87.16,92.79,73.54,15.4,89.59,12.95,77.35,100,100,100,38.37,92.24,84.37,34.78,38.7,24.24,3.65,6.02,66.85,0.65,1619.27,2490.89,0.672,1986.23,2954.3,14.33,4.48,28.92,47.52,60.04,55.05,44.56,0,12.96,2091.13,2118.9,45.49,4.02,14.92,23.11,0.86,60.27,0.84,23,0.06,12.74,1.66,0.99,32.03,6.42,0,100,100,3.69,38.84,39.18
2927408999075,399,1568,3865.99999999,14899,29.52,79.03,14.28,6.96,3.85,56.1,33.6,42.61,642.75,903.4,1.16,6.42,97.89,28.36,8.81,99.59,70.33,97.41,61.16,19.1,97.27,98.21,68.51,21.09,95.35,6.22,85,100,100,100,21.45,95.75,88.18,45.54,47.03,30.14,1.92,6.8,64.34,0.622,1354.98,2176.7,0.733,1694.29,2310.93,18.22,6.97,27.54,46.62,66.55,55.76,42.85,0,5.4,1785.34,1828.56,41.51,2.39,20.69,16.63,0.06,62.05,0.57,24,0.13,10.09,3.26,0.94,32.58,4.66,0,100,100,3.6,34.9,41.67
2927408999076,723,2745,7380.99999993,27693.99999996,34.29,55.43,5.54,3.87,3.75,62.64,38.81,42.83,561.64,942.72,1.2,5.73,97,35.83,13.37,99.81,92.76,94.13,82.26,5.11,92.04,95.64,89.43,16.14,93.05,6.48,80.49,100,100,100,10.25,94.87,88.69,40.81,46.43,28.01,1.57,6.57,66.71,0.574,1397.47,2433.07,0.501,1658.69,3309.31,15.25,8.37,31.19,45.9,65.29,58.44,42.68,0,12.64,1750.25,1934.92,41.84,4.36,16.04,23.99,0.08,59.27,0.63,24,0.12,11.65,3.5,0.93,28.26,3.76,0.06,100,100,3.57,41.05,41.62
2927408999077,885,3527,8819.00000006,34267.00000026,37.57,83.45,10.54,9.92,3.89,61.9,31.93,42.67,469.2,729.56,0.91,3.97,95.43,41.22,16.24,99.53,61.22,84.11,47.36,13.51,87.3,94.94,57.98,11.23,91.39,10.02,79.14,100,100,100,37.96,93.07,89.22,39.92,39.14,20.56,0.75,5.88,63.42,0.56,1099.6,1964.71,0.859,1538.21,1791.5,10.34,6.68,28.37,45.43,65.55,58.17,44.41,0,12.28,1600.09,1593.82,45.02,4.98,16.08,25.97,0.93,55.67,1.36,23,0.1,12.02,2.89,0.93,30.06,3.94,0,100,100,3.56,34.66,41.33
2927408999078,1043,3994,10191.99999998,39261.99999977,36.56,78.23,12.36,21.08,3.85,62.6,35.49,42.29,516.49,776.53,0.97,3.35,96.34,37.68,11.45,99.64,66.58,91.71,54.07,22.89,86.93,91.81,62.91,13.88,93.27,8.01,80.24,100,100,100,29.84,95.09,86.03,38.66,38.23,20.68,0.9,6.02,65.76,0.696,1229.68,1766.87,0.959,1519.58,1584.61,11.14,5.72,25.82,48.79,64.59,57.3,44.6,0,9.66,1487.56,1530.9,42.8,3.4,14.46,21.97,0.25,62.92,0.4,23,0.09,12.51,2.58,0.95,29.25,3.76,0,100,100,3.54,37.64,41
2927408999079,1654,5861,16264.99999994,56463.9999998,25.99,51.57,10.95,55.3,3.47,58.29,36.59,39.91,964.12,1628.75,2.16,12.67,97.69,24.92,8.2,100,86.12,93.71,74.33,8.35,95.22,93.61,83.21,30.97,93.74,5.75,81.54,100,100,100,19.69,94.33,87.29,46.84,61.84,47.67,6.31,8.09,71.8,0.636,2086.16,3279.64,0.753,2500.01,3321.94,26.89,5.44,22.46,55.68,67.74,61.67,38.19,0,7.71,2724.99,2701.94,35.95,2.97,21.64,21.4,0.42,55.35,1.19,24,0.08,11.28,2.14,0.89,35.05,8.32,0.14,100,100,3.31,37.97,39.35
2927408999080,570,2257,5573.9999999,20586.9999999,37.84,63.97,12.03,34.29,3.69,61.35,38.66,40.6,594.08,1616.74,2.15,12.58,98.57,34.84,13.42,99.9,65.33,88.05,52.84,9.27,89.61,95.43,64.05,21.62,90.73,9.52,77.21,100,100,100,35.06,91.65,81.98,38.27,49.93,38.21,6.31,7.07,69,0.572,1833.31,3204.26,0.57,2206.4,3870.78,21.36,5.42,26.21,50.92,58.95,53.5,46.84,0,12.82,2655.86,2589.8,40.14,4.13,20.43,23.93,0,54.81,0.84,23,0.07,12.8,2.31,0.93,32.63,8.75,0,100,100,3.44,40.06,39.49
2927408999081,593,2393,5833.00000002,22911.99999996,44.12,74.98,8.72,2.42,3.93,64.78,27.4,40.07,459.1,771.5,0.96,1.68,91.01,42.09,12.06,99.23,40.74,79.66,15.42,24.19,68.57,82.4,34.73,5.42,89.72,10.13,73.88,100,100,100,36.26,87.16,83.5,35.86,29.13,14.9,0.44,5.26,63.38,0.714,1270.93,1780.83,0.781,1527.57,1955.95,9.2,6.73,25.37,47.3,59.21,50.18,51.61,0,11.26,1550.14,1583.31,42.88,4.01,12.05,17.65,0.43,69.09,0.78,22,0.07,14.98,2.31,0.96,33.52,7.56,0.07,100,100,3.7,29.48,39.38
