cod_ap,n_dom_amostra,n_pes_amostra,dom_pond,pop_pond,a11_adensamento,a12_proprio_quit,a13_alugado,a14_apartamento,a15_moradores,a16_com_criancas,a17_resp_mulher,a18_idade_resp,a19_rdpc_mediana,a19b_rdpc_media,a19c_rdpc_sm,a1c_microcomputador,a2_agua_rede,a20_rdpc_baixa,a21_com_defic,a22_energia,a23_esgoto_adeq,a3_agua_dentro,a4_esgoto_rede,a5_esgoto_inadeq,a6_lixo_coletado,a7_banheiro_excl,a8_saneamento_ok,a9_maq_lavar,b1_alfabetizacao,b10_sem_instrucao,b11_alfab_resp,b1z_alfab_naonulo_15mais,b1z_alfab_naonulo_5a14,b1z_alfab_naonulo_geral,b2_analf_60mais,b3_freq_6a14,b4_freq_15a17,b5b_adequacao,b6_fund_completo,b7_medio_completo,b8_superior_comp,b9_anos_estudo,c1_participacao,c10_raz_rend_sexo,c10a_rend_fem,c10b_rend_masc,c11_raz_rend_raca,c11a_rend_pretos_pardos,c11b_rend_brancos,c12_ocup_superior,c13_beneficio,c2_desocupacao,c3_ocupacao,c4_carteira,c5_previdencia,c5z_v0450_naonulo,c5z_v0450_naonulo_carteira,c6_domestico,c7_rend_trab_med,c8_rend_total_med,c9_sem_rendimento,d10b_defic_severa,d1a_branca,d1b_preta,d1c_amarela,d1d_parda,d1e_indigena_raca,d2_idade_mediana,d3_envelhecimento,d5_pop_0a5,d6_pop_65mais,d7_razao_sexo,e1_nao_natural,e2_migrante_5anos,e3_estrangeiro,e4b_trab_estuda_outro_mun,e4z_v4276_naonulo,f1_tamanho_familia,f2_resp_mulher,f3_idade_resp
1100098001001,689,2723,6773.99999992999,25687.9999998401,24.7,75.52,7.88,0,3.79,65.85,14.12,41.27,573.88,1081.69,1.4,1.75,19.54,38.19,12.72,78.81,2,72.02,0.52,20.95,49.23,59.65,1.04,15.27,85.1,20.83,74.76,100,100,100,50.04,83.44,46.35,62.13,15.06,8.03,1.29,3.8,56.81,0.562,1537.54,2733.42,0.635,1835.4,2892.04,8.76,7.3,5.83,53.49,37.22,27.74,65.06,0,5.76,2691.2,2367.28,40.34,3.7,51.6,3.52,0.07,43.88,0.94,22,0.11,13.01,3.7,1.07,66.31,11.43,0,100,100,3.74,14.29,41.02
1100106001001,941,3662,9324.99999996,38044.9999999599,37.74,71.72,12.02,0.33,4.08,69.73,29.12,42.52,611.76,1229.18,1.62,4.63,38.84,36.62,15.55,90,12.25,51.79,9.61,6.05,67.96,53.9,7.31,19.53,89.44,16.63,74.94,100,100,100,36.89,91.19,73.09,50.63,38.23,21.12,3.91,5.79,62.14,0.793,2080.7,2624.49,0.755,2212.13,2931.46,18.97,7.59,15.08,52.77,45.17,34.92,57.72,0,9.41,2406.93,2393.35,39.22,4.38,28.28,5.7,0.56,58.71,6.75,20,0.12,14.68,4.25,1,31.2,9.52,2.44,100,100,3.67,32.47,40.82
1100114001001,787,2906,7851.99999982999,29576.9999993299,22.3,71.47,16.21,0.23,3.77,65.69,21.38,41.35,689.8,1252.68,1.64,3.9,24.36,27.87,11.37,97.96,19.28,76.77,2.14,6.85,73.94,80.37,6.38,31.17,87.38,18.66,76.65,100,100,100,49.99,90.3,63.78,63.9,28.36,16.88,2.6,4.96,67.02,0.583,1676.85,2875.57,0.731,2050.86,2807.4,16.68,6.58,14.15,57.54,50.56,41.93,55.45,0,8.12,2543.55,2409.54,35.29,3.78,43.44,4.28,0.22,51.77,0.3,22,0.12,12.52,3.91,0.98,63.44,13.92,0.09,100,100,3.62,22.42,40.78
1100114001002,595,2430,5796.99999996999,24022.99999971,27.07,79.19,2.2,0.19,4.14,68.61,7.69,42.5,459.1,733.45,0.91,0.32,0.64,45.08,10.27,69.36,10.47,42.54,0,16.64,5.51,32.95,0.16,13.77,82.59,24.95,71.99,100,100,100,51.69,85.11,53.77,43.78,8.37,2,0.12,3.02,55.08,0.56,1236.73,2209.39,0.888,1912.71,2153.39,3.31,7.56,3.41,53.2,32.96,11.63,67.51,0,1.37,2137.2,2023.13,51.42,2.84,41.74,7,0.04,51.02,0.19,20,0.1,13.61,3.59,1.14,60.55,9.56,0,100,100,4.05,8.52,42.12
1100122001001,2484,9139,24809.00000009,91013.0000004298,24.86,72.61,17.06,1.89,3.67,64.75,21.97,41.16,746.04,1513.82,2.02,5.93,36.58,22.32,10.52,98.69,12.57,82.57,3.17,8.74,85.64,85.21,6.42,26.8,91.05,14.07,78.91,100,100,100,43.38,91.28,71.61,59.59,32.69,19.86,3.47,5.56,67.08,0.671,2214.42,3302.02,0.647,2263.06,3496.29,18.64,5.67,10.79,59.84,57.52,47.99,54.49,0,8.41,2922.01,2869.48,33.41,3.29,49.11,4.3,0.17,46.03,0.38,23,0.11,12.37,3.4,0.97,59.94,14.89,0.08,100,100,3.51,23.92,40.32
1100122001002,421,1694,3930.99999998,15786.99999997,26.22,64.95,1.21,0,4.02,66.76,6.43,44.25,374.17,621.04,0.74,0,4.92,52.87,14.25,80.82,0.27,56.64,0,12.68,2.36,47.21,0,13.14,78.53,29.92,68.87,100,100,100,59.5,80.07,51.09,45.16,7.59,2.69,0,2.86,45.15,0.463,848.53,1831.33,0.634,1283.19,2025.15,5.83,9.41,6.04,42.42,35.66,22.06,74.19,0,2.93,1722.22,1610.7,52.33,4.51,46.74,3.16,0.15,47.61,2.33,22,0.12,12.77,4.18,1.13,57.98,10.07,0.11,100,100,3.84,8.79,43.4
1100130001001,535,2073,5702.00000011,22739.00000044,32.34,77.12,7.69,0.11,3.99,68.48,9.77,41.86,459.1,853.67,1.08,1.83,27.65,46.29,12.04,57.52,1.53,36.53,0,29.68,31.67,33.37,0.68,8.08,82.79,24.61,70.52,100,100,100,52.08,81.39,47.92,47.02,14.67,6.26,0.9,3.54,47.19,0.5,1350.5,2699.39,0.795,2066.76,2598.83,10.87,4.31,7.62,43.59,29.72,18.41,70.75,0,4.36,2441.23,2301.23,52.72,3.68,43,8.2,0.1,48.4,0.3,20,0.07,13.96,2.38,1.18,77.91,30.95,0.08,100,100,3.86,10.33,41.46
1100148001001,463,1937,4362.00000003,17067.00000009,27.71,78.39,4.6,0,3.91,65.07,8.78,42.46,459.1,834.87,1.03,1.78,18.16,44.07,5.41,73.04,2.01,55.2,0,25.13,18.04,37.83,0.19,24.48,84.77,22.15,73.51,100,100,100,48.27,83.1,51.83,79.48,17.19,7.99,0.78,3.88,60.89,0.637,1315.7,2065.65,0.725,1611.52,2222.96,6.88,7.31,2.82,59.17,31.69,20.03,67.72,0,3.13,1962.98,1856.63,42.92,1.52,42.77,3.49,0.49,52.93,0.31,21,0.12,13.76,4.29,1.14,73.33,16.73,0,100,100,3.84,9.34,42.17
1100155001001,1056,3994,10750.99999992,40883.99999999,26.45,68.53,9.5,0.2,3.8,64.42,19.3,42.18,688.66,1227.16,1.6,3.5,28.63,31.38,13.64,91.87,7.36,77.42,0.6,11.5,61.05,69.96,4.02,10.8,86.42,20.19,74.84,100,100,100,55.14,87.1,62.49,52.95,20.91,12.71,1.99,4.34,64.07,0.604,1772.22,2932.38,0.787,2249.63,2857.09,13.04,9.22,8.56,58.58,36.23,27.44,64.01,0,7.75,2694.21,2510.84,36.55,4.28,43.2,4.69,0.18,51.09,0.84,22,0.12,12.69,3.85,1.03,63.26,15.51,0.13,100,100,3.61,20.79,41.42
1100189001001,875,3331,8577.00000004,31752.00000016,24.14,77.48,7.54,0.26,3.7,66.43,19.53,42.32,693.25,1327.28,1.75,4.13,61.49,27.71,15.57,89.56,12.95,82.25,8.65,9.08,75.86,77.7,11.31,31.89,87.66,18.53,76.55,100,100,100,43,92.63,72.41,55.67,28.35,14.68,3.27,4.99,60.82,0.629,1955.38,3110.04,0.584,1909.36,3268.6,14.31,7.08,9.98,54.75,56.08,46.91,53.81,0,8.46,2797.62,2679.49,37.48,5.25,55.21,3.88,0.12,40.56,0.23,22,0.11,13.05,3.66,1.03,61.79,10.74,0.12,100,100,3.52,20.99,41.41
