cod,x1,y1,x2,y2
11,-66.8059,-13.6919,-59.7739,-7.9685
12,-73.9905,-11.1438,-66.6195,-7.1163
13,-73.8013,-9.8135,-56.098,2.2469
14,-64.8248,-1.5802,-58.8864,5.2719
15,-58.8979,-9.8402,-46.0604,2.5912
16,-54.8742,-1.2356,-49.8757,4.4368
20,-32.4755,-3.881,-32.3909,-3.8298
21,-48.7547,-10.2608,-41.7954,-1.042
22,-45.9948,-10.9279,-40.37,-2.7388
23,-41.3983,-7.8568,-37.2531,-2.7839
24,-38.581,-6.9822,-34.9686,-4.8312
25,-38.7647,-8.3026,-34.7931,-6.0267
26,-41.3579,-9.4816,-34.8068,-7.2731
27,-38.2373,-10.5002,-35.1522,-8.8117
28,-38.2485,-11.5674,-36.391,-9.5141
29,-46.6276,-18.348,-37.3396,-8.5324
31,-51.0462,-22.9211,-39.8563,-14.2318
32,-41.8792,-21.3002,-39.6647,-17.8909
33,-44.8885,-23.3664,-40.9575,-20.7626
34,-43.7945,-23.0826,-43.1032,-22.7481
35,-53.1093,-25.3105,-44.1605,-19.7781
41,-54.6183,-26.714,-48.023,-22.5148
42,-53.8358,-29.3492,-48.3584,-25.9537
43,-57.6432,-33.7491,-49.6911,-27.0791
51,-61.6326,-24.0668,-50.2243,-7.3483
52,-53.2507,-19.4971,-45.6956,-5.1679
53,-48.2859,-16.0502,-47.307,-15.4989
99,-41.436,-5.4191,-40.91,-3.3058
