cod_uf,n_dom_amostra,n_pes_amostra,dom_pond,pop_pond,a10_parede_alv,a11_adensamento,a12_proprio_quit,a13_alugado,a14_apartamento,a15_moradores,a16_com_criancas,a17_resp_mulher,a18_idade_resp,a19_rdpc_mediana,a19b_rdpc_media,a19c_rdpc_sm,a1b_micro_internet,a1c_microcomputador,a2_agua_rede,a20_rdpc_baixa,a21_com_defic,a22_energia,a23_esgoto_adeq,a3_agua_dentro,a4_esgoto_rede,a5_esgoto_inadeq,a6_lixo_coletado,a7_banheiro_excl,a8_saneamento_ok,a9_maq_lavar,b1_alfabetizacao,b10b_sem_fund,b11_alfab_resp,b1z_alfab_naonulo_15mais,b1z_alfab_naonulo_5a14,b1z_alfab_naonulo_geral,b2_analf_60mais,b3_freq_6a14,b4_freq_15a17,b5b_adequacao,b6_fund_completo,b7_medio_completo,b8_superior_comp,c1_participacao,c10_raz_rend_sexo,c10a_rend_fem,c10b_rend_masc,c11_raz_rend_raca,c11a_rend_pretos_pardos,c11b_rend_brancos,c12_ocup_superior,c13_beneficio,c2_desocupacao,c3_ocupacao,c4_carteira,c5_previdencia,c7_rend_trab_med,c8_rend_total_med,c9_sem_rendimento,d10b_defic_severa,d11_sem_registro,d1a_branca,d1b_preta,d1c_amarela,d1d_parda,d1e_indigena_raca,d2_idade_mediana,d3_envelhecimento,d5_pop_0a5,d6_pop_65mais,d7_razao_sexo,e1_nao_natural,e2_migrante_5anos,e2z_v6264_igual,e2z_v6264_naonulo,e3_estrangeiro,e4_trab_outro_mun,e5_desloc_mais_1h,f1_tamanho_familia,f2_resp_mulher,f3_idade_resp
26,253677,892250,2574137,8796447.99999999,87.51,19.1,72.46,17.86,8.7,3.44,50.36,41.62,46.51,804.3,1693.13,1.23,19.22,24.03,75.71,36.09,21.31,99.43,58.1,82.02,46.14,12.08,81.65,90.41,50.39,23.02,82.51,57.08,82.05,100,100,92.29,42,96.35,81.96,58.54,43.14,30.87,8.02,56.39,0.684,1863.78,2723.93,0.549,1746.5,3183.23,18.03,28.03,11.04,50.16,58.7,47.45,2382.12,2286.21,32.16,7.94,0.52,36.48,6.41,0.95,55.55,0.61,28,0.29,9.33,7.38,0.93,30.18,6.65,2.14,8.74,0.05,17.44,10.43,3.17,44.3,45.32
27,92612,349966,851101.000000002,3120494.00000001,86.16,22.61,70.06,17.38,4.89,3.68,56.91,38.5,45.49,697.85,1403.57,1.03,15.73,20.14,68.3,41.3,24.15,98.93,34.99,80.37,22.97,10.88,79.84,87.05,28.21,17.13,76.24,63.75,75.51,100,100,91.27,53.55,95.24,80.9,55.57,36.43,25.2,6.92,54.23,0.657,1626.15,2475.85,0.578,1655.34,2862.86,17.39,29.18,10.77,48.39,56.7,45.57,2254.56,2036.31,34.53,8.67,0.71,31.03,6.6,1.13,60.8,0.44,25,0.21,10.57,5.99,0.94,29.82,6.34,2.22,8.55,0.02,9.01,8.99,3.36,41.49,44.16
28,69514,245354,595769,2068017,85.21,18.21,72.04,16.67,6.63,3.48,53.26,41.22,45.68,804.3,1699.76,1.22,18.76,24.39,83.18,36.25,19.64,99.04,51.91,84.91,40.76,6.42,82.89,92.56,49.41,22.8,81.9,57.6,81.44,100,100,91.83,46.01,97.17,85.21,50.91,42.57,30.52,8.55,59.03,0.715,1890.57,2644.87,0.654,1969.43,3012.12,17.07,26.97,10.26,52.98,58.94,47.56,2350.92,2266.88,30.89,7.14,0.5,27.75,8.87,1.28,61.84,0.26,26,0.23,9.84,6.13,0.95,32.51,7.7,2.29,9.97,0.03,16.11,7.39,3.21,43.61,44.45
29,444547,1550842,4126224.00000002,14016906.0000001,84.02,17.59,77.34,13.47,6.72,3.41,50.39,39.88,46.63,804.3,1613.49,1.18,19.58,23.7,80.01,36.21,19.16,96.46,56.22,82.2,49.27,11.98,76.22,87.69,52.61,19.36,83.75,58.38,83.07,100,100,92.42,44.46,96.88,83.65,51.8,41.86,30.14,6.42,60.43,0.667,1700.54,2548.12,0.543,1782.61,3280.71,16.41,27.76,10.85,53.87,54.33,44.13,2240.64,2121.46,30.98,7.07,0.4,21.99,16.95,1.15,59.5,0.41,28,0.28,9.2,7.24,0.96,28.78,6.67,2.08,8.68,0.07,8.49,9.41,3.14,42.79,45.33
31,774598,2506265,6111179,19597330,88.67,11.86,67.71,18.03,9.7,3.23,44.28,35.61,47.89,1206.45,2300.58,1.73,29.47,38.01,86.24,18.68,17.6,99.31,79.64,96.22,76.37,6.91,87.66,97.69,76.47,41.13,91.8,53.72,91.45,100,100,93.49,26.25,97.54,83.55,67.05,46.5,32.54,10.6,63.47,0.662,2256.83,3410.53,0.575,2130.08,3704.92,19.16,23.56,6.74,59.19,69.13,63.5,2828.84,2868.8,25.13,6.78,0.13,45.07,9.22,0.96,44.59,0.16,30,0.36,7.93,8.15,0.97,33.89,7.78,2.16,9.79,0.08,11.83,8.69,3.04,38.33,46.91
32,125685,400130,1113408,3514951.99999999,88.01,13.38,67.18,18.7,14.36,3.18,45.72,35.82,46.13,1206.45,2451.17,1.85,33.63,40.92,83.85,19.48,17.31,99.79,74.57,97.62,68.04,8.14,88.31,98.78,70.18,42.93,91.98,49.45,91.12,100,100,93.05,27.48,96.98,80.92,66.43,50.73,36.34,11.09,65.59,0.679,2510.35,3695.86,0.594,2414.93,4063.71,19.54,20.9,7.23,60.85,69.52,63.32,3070.29,3144.36,25.54,6.71,0.14,42.06,8.32,0.63,48.71,0.27,29,0.31,8.41,7.12,0.97,44.43,9.91,2.79,12.51,0.11,17.67,8.89,3,38,45.29
33,370244,1143650,5299013.99999998,15989929,88.41,19.88,71.73,18.91,20.06,3.04,40.84,43.47,48.12,1419.35,3188.3,2.41,40.28,48.67,84.62,18.29,16.16,99.9,86.49,95.3,76.86,7.58,96.9,99.37,76.83,66,95.77,38.07,94.75,100,100,93.81,11.66,96.96,86.88,56.11,62.22,44.87,14.35,60.5,0.732,3381.36,4622.32,0.494,2670.27,5407.44,24.37,21.07,8.42,55.41,74.88,69.12,3728.88,4024.95,28.7,6.54,0.26,47.41,12.12,0.77,39.61,0.1,32,0.42,7.51,8.92,0.91,30.23,5.62,1.84,7.33,0.48,17.8,23.1,2.85,45.49,47.2
35,1150603,3651181,13053253,41262199,88.62,19.36,61.21,21.25,14.18,3.2,43.37,38.94,46.89,1596.77,3262.15,2.47,44.58,53.01,95.06,14.91,15.3,99.89,91.58,97.48,86.86,3.46,98.24,99.58,89.32,70.18,95.74,41.18,94.66,100,100,93.51,13.97,97.07,85.34,79.08,59.25,42.94,15.16,65.14,0.681,3262.11,4789.19,0.522,2512.76,4817.91,23.61,18.87,7.5,60.26,79.12,72.82,3899.89,4073.44,26.15,5.94,0.07,63.68,5.44,1.38,29.39,0.11,31,0.36,7.88,7.84,0.95,42.51,8.16,2.2,10.16,0.5,16.04,16.83,2.98,41.29,45.95
41,409110,1293034,3340516.00000001,10444526,69.19,10.87,62.61,18.55,8.94,3.15,45.91,35.6,46.35,1419.35,2608.23,1.99,35.47,45.24,88.01,14.34,16.33,99.57,65.28,98.04,53.48,2.25,90.41,98.11,62.4,58.19,93.81,49.24,93.29,100,100,93.16,21.53,97.55,80.68,77.46,50.96,35.89,12.78,67.23,0.661,2599.8,3931.65,0.594,2209.29,3721.21,20.89,21.41,4.98,63.89,74.95,66.08,3288.81,3308.51,22.61,6.38,0.1,70.06,3.15,1.19,25.35,0.25,30,0.33,8.28,7.57,0.97,46.18,9.86,2.51,11.97,0.27,13,7.1,2.97,37.65,45.49
42,278870,872242,2015139,6248436.00000002,66.18,8.43,69.12,18.22,13.28,3.12,44.75,35.34,45.6,1774.19,2859.86,2.2,38.57,50.34,81.55,9.67,15.79,99.79,77.15,97.91,29.19,3.65,92.8,98.8,67.05,73.36,95.96,46.3,94.91,100,100,93.49,13.72,97.82,80.18,76.67,53.87,37.26,12.56,70.41,0.666,2749.83,4130.63,0.647,2377.02,3676.08,19.61,21.59,3.77,67.76,82.4,72.62,3363.47,3483.49,19.04,6.24,0.1,83.86,2.86,0.41,12.61,0.26,30,0.32,7.88,6.92,0.98,45.61,12.61,2.62,15.02,0.19,12.4,3.42,2.93,37.17,44.74
43,469161,1388443,3653000,10693929,66.82,9.84,70.99,14.35,14.45,2.95,40.35,39.74,47.93,1549.46,2913.82,2.2,33.9,44.53,85.35,12.75,16.94,99.67,75.28,97.81,48.46,4.22,92.11,98.04,67.76,68.03,95.55,47.95,94.26,100,100,93.99,13.42,97.24,82.71,67.07,52.22,35.67,11.3,66.87,0.692,2767.65,4000.63,0.591,2145.93,3633.75,21.41,26.21,4.89,63.6,76.47,67.34,3248.86,3401.96,20.43,7.07,0.14,83.22,5.49,0.33,10.65,0.31,32,0.45,7.31,9.33,0.95,38.19,8.34,2.13,10.35,0.23,13.32,6.07,2.79,41.27,47.08
50,87525,276714,775003.000000001,2449024.00000001,74.15,15.92,58.93,19.49,3.2,3.19,47.42,36.26,45.06,1206.45,2402.71,1.82,27.82,35.24,82.9,18.08,15.75,98.7,39.09,95.34,24.41,1.2,86.48,96.93,35.22,39.87,92.51,50.7,91.72,100,100,92.18,25.72,96.92,79.46,69.08,49.42,35.04,12.01,66.34,0.658,2448.25,3719.86,0.585,2336.93,3997.31,20.36,20.6,6.17,62.24,66.69,60.25,3226.17,3140.47,24.83,5.99,0.27,46.85,4.88,1.2,44.13,2.94,28,0.27,9.47,6.65,0.99,47.21,11.85,3,14.45,0.35,5.74,6.22,2.97,38.58,44.24
51,119289,386537,932109.999999996,3035121.99999999,67.2,17.31,64.47,19.78,3.77,3.29,49.71,34.4,43.52,1206.45,2198.3,1.69,26.33,34.01,74.53,21.6,14.99,98.18,36.86,92.19,19.82,2.63,82.73,96,32.24,35.84,91.55,51.87,90.41,100,100,91.99,32.15,96.24,81.52,67.66,48.44,33.44,10.5,66.08,0.698,2478.18,3551.65,0.589,2422.99,4111.59,18.51,16.93,6.24,61.95,65.81,58.31,3210.74,3087.01,28.01,5.63,0.44,37.18,7.44,1.18,52.78,1.42,27,0.2,9.77,5.21,1.04,57.25,14.09,3.4,17.35,0.1,6.92,4.75,3.06,36.88,42.7
52,227398,707043,1909041.00000001,6003788.00000003,86.88,12.3,59.56,23.56,5.69,3.16,45.98,36.66,44.82,1206.45,2328.08,1.79,25.68,33.61,79.27,18.3,15.93,99.32,49.45,94.39,36.28,1.1,91.07,98.55,44.14,38.42,92.29,50.06,91.5,100,100,92.7,28.8,96.82,83.54,70,50.18,35.01,10.29,67.04,0.66,2425.64,3673.04,0.635,2485.29,3913.2,18.36,19.06,6.22,62.87,64.09,58.04,3130.91,3103.32,24.78,6.23,0.21,41.44,6.46,1.68,50.29,0.13,29,0.26,8.83,6.23,0.99,51.33,13.25,3.48,16.51,0.09,16.32,11.69,2.98,38.9,44.01
53,35524,116458,785732.999999991,2570159.99999995,92.09,16.11,54.04,30.01,25.91,3.3,48.21,43.36,43.83,2129.02,5481.53,4.11,55.06,62.7,95.13,13.34,14.48,99.91,89.06,96.55,80.61,0.2,97.82,99.34,86.4,67.29,96.38,30.27,95.08,100,100,92.64,13.67,97.54,88.43,68.38,70.14,56.03,24.04,69.64,0.725,5543.62,7646.03,0.498,4617.61,9266.75,26.64,15.88,8.13,63.98,76.93,73.16,6114.77,6609.17,25.41,5.39,0.07,41.84,7.56,1.66,48.66,0.28,28,0.21,8.86,4.99,0.92,46.27,8.58,5,13.31,0.23,9.16,16.48,3.07,45.74,42.96
