cod_mun,n_dom_amostra,n_pes_amostra,dom_pond,pop_pond,a11_adensamento,a12_proprio_quit,a13_alugado,a15_moradores,a15z_v005_familia,a16_com_criancas,a17_resp_mulher,a18_idade_resp,a2_agua_rede,a22_energia,a23_esgoto_adeq,a24_duravel,a25_urbano,a26_radio,a27_geladeira,a28_televisao,a29_automovel,a3_agua_dentro,a30_fogao_lenha,a4_esgoto_rede,a5_esgoto_inadeq,a7b_sem_banheiro,b1_alfabetizacao,b10_sem_instrucao,b11_alfab_resp,b1z_alfab_naonulo_15mais,b1z_alfab_naonulo_5a14,b1z_alfab_naonulo_geral,b2_analf_60mais,b3_freq_6a14,b3z_v036_igual_0,b4_freq_15a17,b8_superior_comp,c1_participacao,c13_beneficio,c2_desocupacao,c2z_v047_naonulo,c3_ocupacao,d3_envelhecimento,d5_pop_0a5,d6_pop_65mais,d7_razao_sexo,d7z_filhos_no_sexo_0,e1_nao_natural,e2_migrante_5anos,e3_estrangeiro,e4b_trab_estuda_outro_mun,f1_tamanho_familia
1100106,1488,6978,5690,27016,55.71,44.29,8.7,4.62,4.57,68.25,8.42,39.76,8.79,20.53,2.9,24.39,16.82,42.3,8.4,0.56,1.32,13.34,23.34,0,40.46,56.64,60.06,58.09,53.05,100,100,82.47,61.76,57.31,0,51.86,0.71,45.27,0.5,0.79,30.11,44.91,0.03,21.38,1.52,1.11,0,38.87,8.12,4.07,1.25,4.51
1100205,4146,22863,14782,84048,65.86,62.05,12.32,5.4,5.14,74.95,10.24,40.1,19.82,27.07,8.3,46.93,28.49,53.07,16.87,0.75,3.89,16.67,38.22,0,52.92,38.78,66.65,52.3,57.67,100,100,81.97,54.62,57.73,0,47.72,1.07,45.77,0.61,2.36,30.66,44.69,0.03,21.53,1.45,1.14,0,48.85,24.64,0.77,0.8,5.07
1200104,563,3475,2075,12311,76.87,87.61,2.02,6.05,6.04,80.3,7.65,41.14,0,5.35,0.43,40.87,12.58,35.95,4.58,0,0.48,1.93,78.31,0,93.93,5.64,50.35,64.31,40.69,100,100,80.72,54.28,34.88,0,33.73,0.51,46.06,0.12,0.31,29.09,45.92,0.04,23.68,2.18,1.08,0,14.04,3.35,1.65,0,5.86
1200203,1905,11860,7049,43584,75.71,85,3.69,6.16,5.99,81.53,8.72,40.49,0.23,4.38,0.68,38.73,15.15,23.85,2.67,0,0.55,0.84,94.65,0,25.11,74.21,45.2,57.66,36.24,100,100,80.43,59.55,43.93,0.03,34.25,0.28,43.27,0.1,0.55,27.32,43.03,0.03,23.22,1.74,1.05,0,6.23,2.19,0.1,0.06,5.86
1200302,707,4142,2507,15768,72.84,72.84,0.68,5.96,5.97,79.27,8.44,40.1,0.64,7.7,0.52,27.64,13.4,20.26,2.71,0,0.12,0.96,82.13,0,62.03,37.46,35.59,71.8,28.14,100,100,79.1,69.15,21.36,0,28.32,0.17,45.38,0.16,0.27,28.54,45.26,0.04,24.21,2.03,1.1,0,13.43,3.44,0,0,5.92
1200401,3824,22407,14339,83977,70.11,64.85,10.72,5.79,5.57,77.81,12.44,41.2,6.23,26.58,1.97,64.53,45.96,62.49,11.63,0.05,2.51,4.72,44.44,0,46.82,51.22,56.88,53.49,46.53,100,100,82.08,54.7,45.21,0,45.35,1.27,49.43,0.5,2.22,32.3,48.34,0.04,21.61,1.74,1.1,0,24.36,6.39,0.34,0,5.47
1200500,1060,6819,3773,22470,86.67,85.4,3.39,6.31,6.14,83.98,7.84,40.57,0.69,6.89,0.53,29.15,15.53,36.68,2.86,0.21,0.19,2.44,79.49,0,14.76,84.71,39.91,72.9,30.24,100,100,80.81,65.58,26.37,0,25.6,0.13,47.67,0.25,0.54,31.04,47.41,0.03,22.73,1.42,1.13,0,10.51,2.14,0.24,0.04,5.98
1200609,1002,6845,3738,23862,87.99,59.71,2.3,6.82,6.66,88.51,8.57,40.67,2.43,4.76,0.67,26.97,15.68,18.54,1.39,0,0.21,5.83,84.56,0,37.69,61.64,29.4,80.03,20.13,100,100,81.18,62.56,19.52,0,24.3,0.06,43.8,0.08,0.49,27.57,43.59,0.03,22.81,1.42,1.09,0,7.46,1.28,0.01,0.05,6.66
1200708,625,3785,2309,13327,78.95,53.23,4.37,6,5.95,81.94,8.98,41.73,1.95,11.3,0,45.34,16.07,35.47,4.63,0.17,1.26,0.61,88.78,0,7.88,92.12,44.36,59.16,36.29,100,100,79.25,67.84,30.04,0,34.13,0.09,46.02,0.08,0.8,29.08,45.65,0.04,24.21,2.1,1.1,0,12.41,2.09,0.05,0.14,5.76
1300102,536,3433,1886,12212,87.8,97.83,0.37,6.41,6.22,86.85,6.63,41.98,8.91,4.98,0,9.28,28.79,29.27,2.07,0,0,0,69.25,0,57.9,42.1,59.62,54.68,47.69,100,100,80.18,54.93,51.34,0,36.08,0.15,51.73,0,0.2,32.48,51.62,0.04,23.21,1.99,1.12,0,4.05,1.78,0,0.45,6.02
1300201,265,1622,957,6014,87.57,91.22,1.25,6.07,5.91,85.33,3.58,38,0.42,11.6,1.25,51.2,11.18,20.06,4.18,0.73,1.04,3.76,56.95,0,9.93,88.82,31.56,78.53,25.2,100,100,77.4,69.92,21.77,0,9.55,0.23,56.96,0,3.75,35.03,54.83,0.02,26.38,1.27,1.23,0,12.74,7.15,0.13,0.39,5.89
1300300,745,4725,2705,17725,84.07,93.31,0.22,6.37,6.18,87.16,9.21,42.23,2.03,4.66,0.22,64.62,4.92,40.52,5.58,0.26,0,1.77,79.33,0,46.88,52.9,64.09,39.61,52.93,100,100,79.98,40.22,41.59,0,29.45,0.06,43.48,0,0,27.26,43.48,0.03,23.6,1.5,1.08,0,3.13,0.81,0.11,0.06,5.98
1300409,556,2202,1859,9628,64.39,73.32,1.29,4.35,4.16,70.97,3.04,35.39,3.77,7.15,0.11,18.99,14.04,55.51,1.67,0,0,0.32,38.68,0,5.16,94.73,61.63,41.01,49.7,100,100,77.1,46.1,21.47,0,15.26,0.16,46.33,0,0.14,29.27,46.26,0.01,26.48,0.56,1.09,0,4.95,1.03,0.16,0.78,4.21
1300508,524,3979,1829,13998,80.26,92.56,0.6,7.5,6.5,89.09,13.51,44.17,0,4.37,0,4.26,14.6,32.97,3.06,0.6,0.77,0,71.73,0,72.66,27.34,57.61,51.4,44.8,100,100,83.73,63.41,45.99,0,41.56,0.07,40.27,0.04,0,26.63,40.27,0.04,19.39,1.99,1.03,0,1.21,0.23,0.05,1.21,6.06
1300607,633,4144,2240,15127,79.87,86.92,4.96,6.53,5.97,85.54,14.46,41.91,13.79,15.31,4.51,51.92,29.33,21.88,8.93,0.36,0.18,5.31,5.54,0,31.38,64.11,51.11,56.12,42.71,100,100,79.8,70.47,57.35,0,54.85,0.55,47.59,0.15,0.24,30.27,47.47,0.04,24.15,2.01,1.04,0,11.2,6.34,0.7,3.22,5.65
1300706,961,5113,3484,19989,72.9,93.63,2.53,5.28,5.16,77.26,7.45,40.03,0.11,6.6,0,22.65,15.93,33.7,1.64,0.11,0,0.23,77.07,0,17.05,82.95,32.42,77.18,26.33,100,100,81.17,74.78,32.14,0,27.98,0.06,45.19,0.12,0.39,29.27,45.01,0.04,22.54,2.07,1.06,0,20.42,7.22,0.15,1.03,5.07
1300805,828,4922,2803,16514,84.27,85.8,1.07,5.9,5.82,81.71,8.98,41.92,2.28,9.92,1.18,44.24,13.27,29.43,3.85,0.14,0,2.03,84.02,0,16.91,81.91,50.15,56.71,39.53,100,100,84.96,59.74,43.67,0,37.73,0.17,41.98,0.1,0.29,28.88,41.86,0.04,18.17,1.69,1.09,0,5.08,1.69,0.07,1.18,5.81
1300904,253,1340,973,5759,80.99,67.11,1.13,5.4,5.15,81.11,9.17,39.65,0,0,0,13.67,21.38,22.61,1.54,0,0.41,0,88.8,0,9.56,90.44,26.91,73.56,19.4,100,100,79.04,83.57,27.81,0,11.99,0,42.86,0,0,26.69,42.86,0.02,25.72,0.99,1.06,0,4.22,1.77,0.07,1.14,5.07
1301001,762,4105,2798,16984,84.42,97.78,0.14,5.35,5.39,85.08,8.21,37.07,0,2.07,0,9.01,13.4,16.98,1.97,0,0.11,0,94.42,0,20.59,79.41,19.6,86.88,15.83,100,100,77.76,72.03,17.51,0,14.07,0,47.35,0,0,28.86,47.35,0.02,25.94,1.33,1.06,0,2.2,0.29,0,0,5.23
1301100,1706,10646,6469,40767,75,90.25,0.48,6.22,6.01,82.65,7.54,42.33,0.59,0.93,0,16.79,0.28,51.11,3.42,0,0,0.93,58.17,0,32.28,67.72,55.57,61.08,44.04,100,100,80.72,63.28,49.78,0,35.91,0,44,0.09,0.12,27.85,43.95,0.04,22.89,2.11,1.11,0,5.88,1.93,0.04,1.16,5.87
1301209,1242,8233,4249,27636,85.29,79.74,2.87,6.65,6.23,86.35,11.04,41.9,18.52,10.85,1.6,49.24,14.78,42.03,5.27,0.16,0.24,3.37,23.28,0,29.96,68.44,57.02,47.26,43.49,100,100,81.12,58.4,46.35,0,46.01,0.43,44.25,0.06,0.38,28.89,44.08,0.03,22.42,1.58,1.07,0,15.03,5.1,0.23,1.66,6.02
1301308,505,3299,1812,12110,83.66,93.27,0.99,6.57,6.41,87.59,8.27,41.04,0,6.95,0.61,6.07,11.31,30.79,2.81,0.17,0.17,0.77,71.8,0,32.4,67,48.93,75.49,38.61,100,100,79.12,59.45,36.37,0,31.91,0.11,42.48,0.13,0.28,26.4,42.36,0.03,24.58,1.54,1.06,0,12.83,4.54,0.04,0.7,6.17
1301407,456,2898,1703,10882,85.79,84.44,2.7,6.27,6.26,86.56,10.44,39.33,6.11,7.87,0,22.02,15.74,22.67,2.82,0,0,2.94,75.69,0,40.4,59.6,37.5,77.28,35.05,100,100,78.44,70.06,39.34,0,32.29,0,39.7,0.04,2.16,24.63,38.84,0.04,25.75,2.15,1.05,0,9.84,3.92,0.07,0.54,5.89
1301506,600,3271,2070,11705,75.94,82.56,0.29,5.44,5.42,79.33,10.07,39.48,0.14,0.34,0,12.17,6.52,8.74,1.21,0,0.14,0.19,93.09,0,4.06,95.94,20.59,80.17,15.47,100,100,79.37,66.78,16.31,0,16.28,0,41.28,0,0.23,26.04,41.18,0.03,23.75,1.31,1.07,0,9.25,1.18,0.03,0,5.31
1301605,470,2764,1902,11744,85.59,94.16,0.21,5.87,5.88,84.65,10.26,39.55,0,0.63,1.1,11.25,14.67,25.24,1.84,0,0,1.1,13.04,0,10.99,87.91,37.77,73.35,27.82,100,100,80.5,65.32,25.79,0,24.78,0.27,40.61,0.05,0,25.36,40.61,0.02,23.19,1.18,1,0,1.32,0.14,0.19,0.11,5.77
1301704,694,4068,2448,14877,84.19,81.13,0.69,5.86,5.8,82.78,8.4,41.25,8.09,6.17,0.33,7.07,7.6,36.11,4.04,0,0.45,2.41,71,0,55.31,44.36,41.22,63.2,33.09,100,100,81.08,68.06,27.63,0,31.1,0.22,42.13,0.04,0.1,26.77,42.09,0.04,22.71,2,1.07,0,1.28,0.62,0.07,0.16,5.68
1301803,581,3385,2111,12846,81.81,92.89,0.33,5.83,5.6,82.57,9.01,40.07,0.19,1.28,0,6.35,4.93,14.16,0.76,0,0,0.14,97.49,0,5.92,94.08,30.47,78.7,24.16,100,100,79.86,74.46,20.54,0,19.48,0.11,39.16,0,0.13,24.49,39.11,0.04,23.8,1.77,1.06,0,9.97,3.69,0.08,0,5.42
1301902,1456,9260,5670,37346,78.59,84.16,5.15,6.35,6.08,83.92,12.12,42.9,26.24,22.26,4.81,66.98,43.67,46.03,7.9,0.63,0.85,11.16,58.29,0,61.87,33.32,68.23,36.34,56.05,100,100,80.88,49.77,53.46,0,53.16,0.32,39.01,0.39,0.13,24.85,38.96,0.04,22.87,2.22,1.04,0,8.8,3.44,0.29,0.31,5.9
1302009,105,557,445,2646,72.36,98.88,1.12,5.34,5.44,82.86,6.73,41.73,13.48,9.66,0,32.13,24.49,24.94,5.62,2.25,0,0.9,78.88,0,33.93,66.07,78.02,26.05,68.17,100,100,79.67,30.23,68.5,0,41.05,0.46,40.29,0.64,0,26.11,40.29,0.06,23.47,2.83,1.07,0,3.06,1.19,0.72,0,5.26
1302108,110,681,381,2415,79.79,97.11,0.79,6.2,5.66,88.46,4.4,38.97,7.35,17.85,0.79,18.64,5.51,20.73,5.77,0,0,1.57,79,0,16.8,82.41,39.42,66.9,28.88,100,100,78.72,68.18,29.85,0,4.2,0,46.94,0.2,2.58,28.9,45.73,0.02,26.16,1,1.21,0,20.79,8.01,0.46,0,5.46
1302207,298,1830,1134,6785,82.98,96.91,0,6.04,5.97,88.68,5.66,38.66,0,1.5,0,5.03,2.65,18.61,2.82,0,0,0,9.61,0,2.56,97.44,28.79,86.43,20.18,100,100,81.37,65.41,5.77,0,6.98,0,48.02,0,0,30.41,48.02,0.02,22.23,1,1.07,0,4.57,0.47,0,0.23,5.92
1302306,177,911,694,3955,75.5,97.84,0,5.19,5.16,77.15,11.49,37.48,0,2.16,0,4.9,10.81,43.66,0,0,0,0,2.59,0,2.59,97.41,34.45,66.58,25.4,100,100,81.04,64.29,8.43,0,7.42,0,59.39,0.15,0,39.19,59.39,0.02,22.07,0.83,1.09,0,4.42,2.28,0,0,5.04
1302405,761,4634,2636,16737,79.86,47.69,0.68,6.02,5.72,83.06,8.66,40.2,0.15,4.21,0,17.3,11.72,26.21,2.43,0,0,0.15,70.98,0,11.53,88.47,34.34,72.02,25.81,100,100,81.27,77.55,21.46,0,16.37,0.48,45.65,0.04,0.08,28.99,45.61,0.04,22.54,1.8,1.09,0,7.54,1.94,0.05,0.56,5.46
1302504,2188,13284,7960,49469,79.82,94.17,0.72,6.03,5.92,83.04,7.1,40.48,4.56,5.59,0.53,32.02,13.49,35.78,4.38,0.33,0.18,3.56,36.37,0,20.14,79.33,54.39,49.75,42.78,100,100,79.62,57.55,44.66,0,36.3,0.05,43.69,0.13,0.14,27.38,43.63,0.03,24.37,1.65,1.08,0,7.07,2.18,0.07,0.28,5.74
1302603,13782,79493,52053,311622,64.19,65.35,22.11,5.74,5.44,78.03,18.94,41.9,51.42,66.5,27.04,60.05,90.34,74.01,37.44,23.75,7.21,38.33,7.09,0,59.53,13.43,84.92,22.57,74.95,99.99,100,83.92,33.82,77.93,0.01,75.4,3.48,40.36,2.14,1.36,27.87,39.81,0.05,19.29,2.34,0.92,0,23.73,9.51,0.79,0.33,5.24
1302702,923,5703,3272,21100,73.2,84.87,0.61,6.07,5.75,82.75,13.88,43.3,4.31,4.52,0.21,2.72,9.44,24.97,4.4,0,0,2.54,83.74,0,59.44,40.34,55.01,49.39,40.4,100,100,81.54,55.7,35.91,0,28.54,0.2,51.02,0.13,1.16,32.82,50.43,0.05,22.19,2.33,1.08,0,2.31,0.98,0.03,0.61,5.49
1302801,337,2250,1208,8293,90.56,88.25,0,6.7,6.06,94.28,9.5,40.35,0,3.31,0.25,7.7,3.97,23.68,0.58,0,0,0.25,87.83,0,9.85,89.9,44.18,69.59,31.72,100,100,78.87,57.59,26.55,0,18.92,0,49.58,0,0,30.78,49.58,0.02,24.6,1.04,1.08,0,16.11,7.43,0.05,2.59,5.69
1302900,1082,6735,3676,24095,74.56,86.56,2.18,6.23,5.88,84.06,11,42.7,9.47,8.92,0,7.83,18.85,25.41,5.44,0.08,0.35,6.26,80.28,0,50.22,49.78,52.35,57.4,43.55,100,100,83.08,66.12,38.9,0,41.67,0.18,40.45,0.16,0.17,27.23,40.38,0.04,19.85,1.76,1.08,0,3.85,1.45,0.12,0.81,5.76
1303007,569,4094,1986,15539,76.44,92.7,0.15,6.92,6.32,87.99,13.64,41.15,0.15,1.71,0.15,41.09,4.23,25.93,1.46,0,0,0.15,98.09,0,16.92,82.93,47.83,70.06,38.48,100,100,81.25,76.43,47.41,0,22.2,0,37.06,0,0,24,37.06,0.04,22.47,1.88,0.94,0,46.14,5.79,0.02,0.09,5.6
1303106,538,2710,1964,11903,76.15,88.44,2.14,5,5.05,80.78,9.05,39.81,4.23,10.49,0,17.72,6.21,28.62,4.33,0.15,0,2.39,72.2,0,51.73,48.27,61.99,63.46,53.18,100,100,83.42,55.49,44.75,0,43.29,0,47.06,0.1,1.33,32.78,46.43,0.03,19.62,1.38,1.08,0,18.31,4.12,0.03,0.13,4.88
1303205,249,1455,934,6077,73.34,48.82,0,5.87,5.63,81.37,1.43,41.74,0,4.07,0,4.71,6,60.92,2.36,0,0,0,15.74,0,9.21,90.79,32.84,68.02,26.84,100,100,86.01,61.86,8.01,0,5.69,0,56.22,0,0.37,40.04,56.01,0.02,16.85,0.84,1.27,0,16.92,3.56,0.36,0,5.56
1303304,713,4911,2411,16585,82.37,84.94,0,6.78,6.48,81.78,7.71,41.07,0,6.84,0.46,46.16,10.12,33.14,4.23,0,0.17,0.46,53.01,0,11.57,87.97,57.32,68.59,48.68,99.61,100,83.4,61.74,32.17,0.34,33.54,0.89,46.46,0.1,0.63,30.62,46.16,0.02,20.48,0.92,1.12,0,6.75,1.83,0,0.59,6.4
1303403,1517,10774,5376,38086,76.26,73.33,6.83,7.01,6.44,86.41,12.18,43.1,20.85,15.9,4.46,34.8,16.26,46.84,7.61,0,0.28,5.52,73.03,0,74.09,21.45,72.05,35.77,59.37,100,100,81.64,49.68,61.55,0,50.19,0.41,40.36,0.17,0.32,26.23,40.24,0.04,21.79,2.17,1.02,0,7.37,4.02,0.14,1.39,6.06
1303502,380,2130,1534,9693,76.92,66.95,0,5.6,5.44,82.65,12.43,39.47,0,9.65,0.33,15.58,4.3,23.47,1.63,0,0,0.33,74.97,0,1.96,97.72,31.3,75.4,26.81,100,100,80.44,73.91,27.43,0,8.6,0,40.13,0.7,0,26.2,40.13,0.04,22.63,1.86,1.07,0,6.23,0.5,0,0,5.25
1303601,159,803,583,3646,60.89,97.26,0,5.12,4.47,70.95,11.56,43.17,0,3.43,0,12.86,15.09,24.19,2.74,0,0,0,64.67,0,2.92,97.08,48.95,62.38,40.18,100,100,83.21,67.27,35.56,0,30.56,0.38,40.24,0,0,28.11,40.24,0.05,19.89,2.04,1.02,0,5.35,0.76,0.3,5.17,4.56
1303700,405,2727,1342,9437,80.4,93.67,0.89,6.63,6.09,86.04,12.49,42.45,1.86,18.93,1.12,52.24,19.67,26.53,3.65,0,0,2.01,94.34,0,24.07,74.81,50.03,57.24,39.81,100,100,81.21,68.36,48.38,0,46.65,0.72,48.4,0,0,30.65,48.4,0.04,22.75,1.88,1.07,0,8.06,1.96,0.69,0.5,5.78
1303809,619,3309,2346,13420,75.96,89.09,1.11,5.24,5.12,73.62,2.97,40.57,3.07,6.61,1.66,15.98,9.46,18.67,4.86,0,0.68,2.43,41.82,0,7.93,90.41,52.13,55.51,48.01,100,100,83.99,73.82,45.14,0,51.19,1.07,43.7,0,0.19,31.07,43.62,0.04,18.67,1.5,1.02,0,13.26,2.9,0.92,0.41,5.12
1303908,753,4774,2726,18814,86.9,90.94,0.15,6.27,5.88,88.66,9.06,39.75,0,2.16,0.11,9.5,18.6,11.78,1.36,0,0,0.22,59.02,0,22.38,77.51,28.04,76.51,23.15,100,100,80.38,78.5,28.07,0.05,31.35,0,51.12,0.07,0.34,32.51,50.94,0.02,23.4,1.06,1.07,0,0.88,0.21,0.07,0.33,5.64
1304005,184,1163,711,4437,86.36,78.06,0,6.09,6.25,84.34,8.97,41.94,0,0,0,50.77,13.78,30.94,2.95,0,0,0,83.97,0,34.32,65.68,72.33,32.62,61.12,100,100,82.01,55.23,59.54,0,53.73,0.28,35.12,0,0,22.99,35.12,0.05,21.39,2.3,1.07,0,5.16,1.46,0,0,6.03
1304104,479,2909,1714,10571,80.81,96.62,0.35,6.01,5.85,86.85,5.09,39.27,0.18,1.98,0,18.44,7.53,33.08,2.22,0.23,0.18,0,54.08,0,10.21,89.79,33.44,67.35,24.37,100,100,81.36,61.07,12.31,0,11.38,0,44.32,0.06,0.23,28.41,44.22,0.02,22.07,1.08,1.08,0,13.34,5.15,0.04,0.12,5.69
1304203,811,5183,2884,19173,80.34,92.37,2.91,6.4,6.12,83.16,13.49,42.19,11.48,13.83,2.64,28.71,38.59,37.86,5.17,0.24,0.14,7.77,69.76,0,38.31,59.05,64.21,47.4,54.8,100,100,80.81,50.09,56.9,0,51.3,0.55,47.01,0.2,0.15,30.78,46.94,0.03,22.26,1.64,1.07,0,8.66,4.6,0.45,0.81,5.74
1304302,366,2427,978,6550,70.58,91.62,0.31,6.51,5.84,86.31,8,41.66,6.44,10.94,0.51,59.3,15.75,29.45,6.75,0.31,0.31,6.13,13.8,0,10.74,88.75,72.68,37.37,61.73,100,100,79.42,49.13,62.64,0,59.38,0.48,41.57,0.22,0,26.38,41.57,0.04,24.59,1.76,1.11,0,13.22,5.36,0.37,2.72,5.51
1304401,447,2889,1577,10292,80.53,94.36,0.25,6.47,5.89,85.06,11.2,43,0,4.88,0,26.32,4.76,32.53,3.8,0,0,0,54.41,0,38.93,61.07,63.85,40.89,48.5,100,100,81.77,55.95,50.37,0,38.06,0.21,41.55,0.09,0.22,27.03,41.46,0.05,21.97,2.21,1.08,0,8.14,4.3,0.43,2.33,5.66
1400100,1486,9412,5799,36464,65.49,73.75,11.12,6.2,5.97,82.03,11.68,41.37,7.52,31.02,6.45,43.92,26,55.01,18.92,0.24,2.81,12.57,55.84,0,50.94,42.61,67.94,42.28,61.04,100,100,82.62,55.13,73.66,0,57.17,1.24,41.55,0.44,0.59,27.36,41.3,0.03,21.18,1.64,1.05,0,18.12,7.75,0.75,0.39,5.78
1400209,204,1156,790,4421,63.74,53.29,0.38,5.3,5.1,76,5.44,41.11,8.48,12.53,1.27,27.09,13.16,45.95,5.06,0,0,1.65,65.06,0,25.19,73.54,50.96,59.73,40.43,100,100,79.1,63.93,47.48,0,33.81,0,52.97,0.14,0,33.68,52.97,0.03,25.65,1.65,1.19,0,46.64,20.84,0,0.54,4.98
1500107,2201,14492,8516,57520,77.51,87.32,5.52,6.52,6.2,85.55,9.39,41.96,9.84,10.89,2.75,66.25,31.83,50.03,5.91,3.85,0.53,10.25,58.32,0,89.5,7.69,61.26,45.55,53.24,100,100,81.73,58.11,61.2,0,44.85,0.21,37.84,0.31,0.36,24.91,37.7,0.05,21.74,2.47,1.03,0,2.81,1.39,0.03,1.14,5.88
1500206,1133,6378,4233,24487,76.82,91.85,0.31,5.63,5.38,77.81,9.32,41.37,5.01,2.6,0.21,22.09,4.61,37.35,2.65,0.26,0.17,1.18,65.39,0,8.74,91.05,39.22,78.76,32.48,100,100,81.66,70.73,20.13,0,18.5,0.04,52.62,0.13,0.5,35.17,52.36,0.06,21.86,2.55,1.13,0,6.97,3.12,0.35,0.92,5.27
1500305,786,4670,2892,17826,81.05,94.29,0.31,5.98,5.75,84.86,7.56,42.21,0,4.39,0.41,72.54,4.56,28.42,2.56,0,0,0.93,88.66,0,36.41,63.17,40.62,65.82,32.58,100,100,79.91,68.61,28.78,0,25.67,0.05,47.51,0.1,0.17,30.52,47.43,0.06,23.33,2.85,1.08,0,3.32,1.46,0.06,1.16,5.66
1500404,1476,9032,5418,35021,73.18,85.14,3.43,6.14,5.81,81.89,13.64,42.95,7.75,8.67,2.31,24.25,30.6,28.85,3.91,0.06,0.31,3.43,88.69,0,56.52,41.18,61.53,43.93,52.14,100,100,81.83,55.51,62.36,0,50.04,0.25,47.68,0.05,0.15,31.34,47.61,0.06,21.73,2.79,1.03,0,8.1,1.88,0.13,1.82,5.63
1500503,462,3140,1662,11889,75.21,77.8,3.31,6.52,6.02,86.17,12.9,41.54,10.23,11.25,1.81,67.39,28.22,37.91,6.74,0,0.18,2.65,62.82,0,33.75,64.44,51.2,58.43,40.02,100,100,81.55,59.34,33.3,0,29.99,0.45,53.92,0.09,0.29,35.2,53.77,0.03,22,1.47,1.12,0,18.03,6.66,0.34,1.95,5.64
1500602,702,4171,2572,15345,75.74,84.84,8.55,5.75,5.79,79.01,10.52,41.18,7.58,3.23,1.67,29.78,36.82,38.1,3.15,0,0.78,6.49,58.51,0,62.29,36.04,53.36,52.8,45.43,99.95,100,80.71,66.67,53.5,0.06,40.27,0.17,45.99,0,0.86,29.45,45.6,0.03,22.91,1.65,1.06,0,23.6,7.13,0.16,0.36,5.53
1500701,455,3117,1594,10092,86.57,49.69,0.38,6.75,6.43,86.35,7.54,40.99,0,4.08,0,59.6,2.76,25.47,2.57,0.19,0,0,92.79,0,15.12,84.88,29.92,74.19,21.22,100,100,83.64,71.2,14.35,0,12.5,0,46.68,0.04,0.19,30.84,46.59,0.04,20.26,1.83,1.08,0,7.89,2.64,0,0.89,6.25
1500800,1083,6391,3669,22527,65.09,76.89,8.12,5.84,5.53,78.4,14.53,41.44,5.86,29.63,5.37,88.63,11.56,63.07,15.29,8.61,3,13.16,13.06,0,89.67,4.96,78.73,28.11,68.66,99.97,99.95,80.6,44.3,74.54,0.03,65.32,1.09,34.64,2.03,6.01,22.53,32.56,0.04,23.02,2.08,1,0,37.61,22.59,1.12,20.85,5.4
1500909,935,5203,3308,18331,76.81,97.94,0.3,5.55,5.4,81.78,9.55,42.08,2.69,0.6,0.12,12.36,12.52,13.03,0.91,0,0.21,4.26,87.85,0,68.8,31.08,42.91,62.73,35.56,100,100,82.27,76.53,46.06,0,35.6,0,49.73,0.06,0.74,32.32,49.36,0.06,21.38,2.87,1.03,0,4.35,2.26,0,4.93,5.2
1501006,327,2199,1271,8819,74.82,72.07,18.65,6.6,6.3,80.38,14.42,43.39,16.29,24.63,2.12,32.02,13.38,29.5,3.54,0,0.31,15.81,83.4,0,69.08,28.8,78.69,27.71,72.43,100,100,82.66,42.34,67.62,0,51.43,0,41.82,0.33,0,27.61,41.82,0.05,21.01,2.63,1.05,0,10.9,3.14,0,1,5.99
1501105,183,1284,653,4405,78.59,78.87,4.9,7.02,6.44,91.07,10.05,39.85,9.19,7.81,0.61,13.02,17.46,23.28,3.98,0,0,9.19,91.73,0,87.44,11.94,42.84,54.46,33.85,100,100,79.55,61.21,27.81,0,19.8,0,47.36,0,0,30.49,47.36,0.03,23.42,1.48,1.13,0,30.78,16.05,0,1.9,6.07
1501204,538,3370,1836,12134,83.82,89.92,0.98,6.13,5.72,85.07,12.49,41.64,5.83,5.72,0.33,37.69,22.82,17.92,2.12,0,0.22,1.25,44.5,0,29.85,69.83,67.16,38.81,56,100,100,80.96,53.05,62.2,0.05,52.74,0.13,43.4,0.2,0.61,28.33,43.14,0.06,22.37,2.69,1.01,0,24.86,7.45,0.02,1.6,5.47
1501303,735,4642,2756,17498,71.99,83.93,3.96,6.31,5.76,82.98,12.05,43.58,3.37,4.46,0.4,57.4,13.57,55.33,3.01,0.87,0.4,2.32,34.87,0,31.24,68.36,61.99,42.24,50.66,100,100,81.67,58.94,46.12,0.05,31.13,0,43.85,0.31,0.38,28.73,43.65,0.06,21.71,2.82,1.09,0,11.79,5.48,0.3,2.43,5.45
1501402,27065,164977,99666,633374,59.94,63.91,27.35,6.05,5.71,78.1,21.64,42.87,55.77,77.62,28.07,69.02,94.84,71.01,42.24,36.33,6.73,43.21,1.95,8.28,64.09,7.84,88.96,17.24,81,99.98,99.98,84.63,28.01,84.07,0.09,74.76,3.03,37.17,2.62,3.5,26.18,35.86,0.06,18.28,2.74,0.88,0,21.28,7.68,0.72,0.55,5.43
1501501,704,4070,2326,13867,71.2,68.19,2.84,5.77,5.59,77.98,11.7,41.95,2.49,16.47,1.33,60.88,24.38,60.92,7.61,2.32,2.75,2.41,15.56,0,84.69,13.97,76.39,31.53,66.81,100,100,81.24,49.76,67.39,0,47.48,0.56,39.6,0.87,3.21,26.29,38.33,0.05,22.05,2.52,1.09,0,21.14,12.65,1.2,4.62,5.36
