cod_mun,n_dom_amostra,n_pes_amostra,dom_pond,pop_pond,a11_adensamento,a12_proprio_quit,a13_alugado,a15_moradores,a15z_v005_familia,a16_com_criancas,a17_resp_mulher,a18_idade_resp,a2_agua_rede,a22_energia,a23_esgoto_adeq,a24_duravel,a25_urbano,a26_radio,a27_geladeira,a28_televisao,a29_automovel,a3_agua_dentro,a30_fogao_lenha,a4_esgoto_rede,a5_esgoto_inadeq,a7b_sem_banheiro,b1_alfabetizacao,b10_sem_instrucao,b11_alfab_resp,b1z_alfab_naonulo_15mais,b1z_alfab_naonulo_5a14,b1z_alfab_naonulo_geral,b2_analf_60mais,b3_freq_6a14,b3z_v036_igual_0,b4_freq_15a17,b8_superior_comp,c1_participacao,c13_beneficio,c2_desocupacao,c2z_v047_naonulo,c3_ocupacao,d3_envelhecimento,d5_pop_0a5,d6_pop_65mais,d7_razao_sexo,d7z_filhos_no_sexo_0,e1_nao_natural,e2_migrante_5anos,e3_estrangeiro,e4b_trab_estuda_outro_mun,f1_tamanho_familia
2410306,217,1223,812,4485,43.02,65.64,7.51,5.63,5.6,79.41,12.87,46.26,0,15.76,0,62.93,38.3,18.97,3.08,1.48,0.37,0,53.82,0,30.17,69.83,26.99,78.36,23.81,100,100,83.7,90.54,33.85,0,27.71,0,46.01,1.27,0.29,30.7,45.87,0.09,19.67,4.08,1.02,0,26.56,10.34,0,2.76,5.55
2410405,262,1638,912,5379,49.67,75.66,1.32,6.09,6.1,81.11,8.97,46.17,0,0,0,82.68,31.47,13.82,0.33,0,0,0,87.72,0,50.99,49.01,32.39,74.21,28.81,100,100,82.78,78.27,49.79,0,33.44,0,37.45,0.31,0.53,24.78,37.26,0.08,21.29,3.61,0.98,0,26.4,10.62,0,0.64,5.92
2410504,130,690,468,2650,67.31,63.68,3.21,5.4,5.36,84.17,8.88,44.11,0,6.41,0.85,85.9,12.61,33.97,1.71,0,0.85,0.85,97.44,0,12.61,86.54,70.63,30.13,65.34,100,100,79.58,51.19,58.01,0.57,22.45,0,43.54,0.29,0.54,28,43.31,0.08,22.93,3.79,0.93,0,14.57,8.35,0,14.58,5.33
2410603,153,827,594,3247,53.2,62.46,0.67,5.48,5.27,77.83,9.39,45.36,0,1.68,0,90.07,19.7,22.05,0.67,0,0,0,98.48,0,7.91,92.09,47.2,55.44,41.35,100,100,80.07,73.37,62.24,0,19.89,0,42.72,0,0,26.82,42.72,0.08,23.4,3.76,1.02,0,14.88,7.05,0,13.33,5.21
2410702,106,639,337,2014,72.7,52.52,3.56,6.03,5.94,80.25,10.8,43.06,0,9.5,0,83.38,40.06,13.95,1.78,0,0,0,94.07,0,9.5,90.5,42.22,60.59,35.63,100,100,79.29,79.2,41.79,0,33.33,0,41.13,0.24,0,25.67,41.13,0.09,24.38,4.17,1.05,0,18.07,5.76,0,3.18,5.91
2410801,164,902,609,3408,54.68,75.37,2.96,5.59,5.29,78.47,6.08,45.32,0,6.4,0,91.63,15.93,31.2,1.15,0,1.48,0,96.55,0,11.49,88.51,53.3,53.49,46.41,100,100,82.19,70.53,52.14,0,33.6,0.43,37.93,0,0.7,25.32,37.67,0.1,21.36,4.55,0.93,0,2.73,0.11,0,28.26,5.47
2410900,314,1896,1121,6795,59.59,35.86,1.96,6.12,5.99,81.14,12.02,45.63,0,2.05,0,47.19,34.79,18.02,0.8,0,0.27,0,83.5,0,19.45,80.55,34.09,74.71,31.7,100,100,81.47,91.81,45.78,0,39.38,0,42.22,0.07,0,26.87,42.22,0.07,22.96,3.46,0.98,0,30.23,8.49,0,7,5.89
2411007,133,803,437,3028,55.84,46,10.3,5.89,5.91,76.66,4.5,45.48,0,9.38,0,70.71,37.53,29.06,1.6,0,0,0,92.91,0,16.93,83.07,42.74,65.1,36.38,100,100,82.33,90.17,48.18,0,21.2,0,38.57,0.2,0,25.3,38.57,0.09,21.23,4.6,0.97,0,28.43,13.66,0,0,5.71
2411106,188,1169,695,4100,78.13,70.65,0.72,6.2,6.21,86.54,10.21,44.72,0,3.31,0,53.67,13.96,11.37,0.43,0,0,0,97.27,0,3.88,96.12,22.98,82.13,20.43,100,100,80.34,87.97,21.55,0,13.65,0,38.95,0.12,0,24.41,38.95,0.05,23.58,2.42,1,0,9.8,0.4,0,33.69,6.13
2411205,966,5292,3656,20323,51.75,48,11.38,5.48,5.42,76.76,13.99,44.87,0.22,23.09,0.22,81.65,25.25,34.11,4.32,0.98,1.56,0.88,67.83,0,45.98,53.8,37.9,74.08,34.3,100,100,82.9,79.92,50.01,0,48.39,0.4,40.16,0.31,1.94,27.13,39.38,0.09,20.46,4.24,0.92,0,14.49,6.19,0.03,0.43,5.29
2411403,946,4719,3352,18808,45.55,47.46,3.7,5.08,4.93,70.91,10.65,46.08,5.13,3.13,0.54,56.35,23.81,24.49,1.37,0,0.69,1.64,78.43,0,10.68,88.78,42.32,64,36.16,100,100,81.36,81.42,43.76,0,40.2,0.06,41.68,0.16,0.41,27.34,41.51,0.12,22.09,5.61,0.94,0,10.79,4.74,0,0.52,4.91
2411429,119,615,405,2439,40,26.42,3.95,5.34,5.05,70.23,5.54,50,0,1.98,0,91.6,13.83,22.47,1.48,0,1.73,0,98.52,0,13.58,86.42,48.49,55.85,45.02,100,100,80.32,66.95,40.94,0,25,0,34.28,0.25,0,22.22,34.28,0.14,22.47,6.6,1.07,0,7.83,4.03,0,0,5.19
