cod_mun,n_dom_amostra,n_pes_amostra,dom_pond,pop_pond,a10b_parede_alvenaria,a11_adensamento,a13_alugado,a14_apartamento,a15_moradores,a16_com_criancas,a17_resp_mulher,a18_idade_resp,a19_rdpc_mediana,a19b_rdpc_media,a19c_rdpc_sm,a19z_v2012_naonulo,a2_agua_rede,a20_rdpc_baixa,a21b_com_defic_1991,a22_energia,a23_esgoto_adeq,a3_agua_dentro,a4_esgoto_rede,a5_esgoto_inadeq,a6_lixo_coletado,a7_banheiro_excl,a8_saneamento_ok,a9_maq_lavar,b1_alfabetizacao,b10_sem_instrucao,b11_alfab_resp,b1z_alfab_naonulo_15mais,b1z_alfab_naonulo_5a14,b1z_alfab_naonulo_geral,b2_analf_60mais,b3_freq_6a14,b3z_grau_ambos_nulos,b3z_v0324_naonulo,b4_freq_15a17,b6_fund_completo,b7_medio_completo,b8_superior_comp,b9_anos_estudo,b9z_estudo_acima17,c1_participacao,c10_raz_rend_sexo,c10a_rend_fem,c10b_rend_masc,c11_raz_rend_raca,c11a_rend_pretos_pardos,c11b_rend_brancos,c13_beneficio,c2_desocupacao,c3_ocupacao,c4_carteira,c5_previdencia,c6_domestico,c7_rend_trab_med,c8_rend_total_med,c8z_faixa_sm,c8z_valor_sm,c9_sem_rendimento,c9z_rend_naonulo_14mais,d10c_deficiencia_1991,d1a_branca,d1b_preta,d1c_amarela,d1d_parda,d1e_indigena_raca,d2_idade_mediana,d3_envelhecimento,d5_pop_0a5,d6_pop_65mais,d7_razao_sexo,e1_nao_natural,e2_migrante_5anos,e2z_v0318_naonulo,e3_estrangeiro,f1_tamanho_familia,f2_resp_mulher,f3_idade_resp
5213509,342,1732,1648.99999658,7965.99998263,72.27,38.29,3.21,0,4.83,76.4,15.54,45.6,211.78,471.81,0.5,95.81,30.55,70.98,6.76,32.95,0,20.21,0,67.92,1.28,30.36,0,17.14,53.24,54.83,49,100,100,86.24,73.13,63.55,0,100,56.11,11.01,6.59,0.44,2.19,0.69,51.27,0.51,650.42,1274.79,0.838,1116.62,1332.73,7.97,4.25,49.09,20.18,14.62,3.5,1130.73,1139.42,1.48,1.22,45.28,98.44,1.46,11.67,11.24,0.07,77.02,0,17,0.09,17.17,4.18,1.11,21.54,12.39,29.15,0,4.61,18.14,44.57
5213707,468,1793,2250.99999535,8449.99998221,75.44,16.74,9.88,0,3.75,62.07,12.49,41.92,445.86,1103.95,1.18,97.86,35.16,50.57,4.36,69.89,20.4,50.85,0,22.48,27.09,75,13.59,42.4,76.22,30.98,74.2,100,100,89.51,67.5,77.37,0,100,53,17.1,9.25,1,3.57,0.3,57.14,0.424,929.69,2192.35,0.449,1064.32,2369.91,6.56,0.86,56.65,25.66,23.78,6.32,1876.59,1886.05,2.1,2.01,38.86,99.18,1.21,64.76,2.13,0,33.1,0,22,0.1,12.8,3.35,1.14,46.49,17.69,56.54,0,3.6,13.89,41.23
5213756,293,1051,1592.99999713,5594.99998982,87.94,25.77,12.15,0.43,3.51,67.28,7.4,40.74,668.79,913.05,0.98,99.26,51.47,36.85,3.06,74.52,41.03,64.59,0,16.46,36.06,74.33,25.65,57.33,77.42,29.25,72.26,100,100,87.38,62.63,63.58,0,100,32.33,10.99,5.82,1.51,3.14,0.35,61.56,0.443,920.46,2079.06,0.751,1618.97,2155.51,4.49,6.42,57.6,38.48,38.49,5.92,1861.42,1833.61,2.32,1.96,38.79,99.69,0.86,40.11,2.64,0.07,57.18,0,22,0.08,15.71,2.77,1.25,58.49,42.55,70.04,0.29,3.69,9.62,40.01
5213806,939,3304,9067.99999064001,32591.9999673,98.3,16.8,15.07,0.07,3.59,59.5,19.05,43.9,535.03,925.71,0.99,99.45,67.95,38.11,3.94,89.85,13.28,80.32,12.96,11.7,64.36,82.65,12.68,46.61,84.42,20.23,83.13,100,100,90.27,54.57,87.06,0,100,59.87,22.13,12.48,1.94,4.47,0.43,60.41,0.526,1070.36,2033.72,0.931,1635.08,1756.2,10.5,2.13,59.12,38.68,36.12,9.61,1727.13,1710.92,2.15,1.83,32.52,99.79,1.21,65.03,1.85,0.03,33.08,0,24,0.15,11.93,4.68,1.02,24.88,10.8,36.02,0.02,3.39,21.04,42.81
5213855,151,591,664.99999843,2525.99999396,99.19,12.81,3.92,0,3.8,56.34,30.41,42.04,371.55,716.91,0.77,97.81,39.7,54.28,7.14,54.59,2,43.84,0,28.3,22.6,68.66,0,3.25,73.02,33.55,68.49,100,100,91.17,63.88,80.67,0,100,48.91,12.83,7.07,0.54,2.93,0,49,0.562,847.54,1509.05,0.981,1348.5,1374.24,10.75,4.2,46.94,15.98,18.92,0,1276.37,1352.09,1.76,1.44,41.96,99.42,2.43,37.17,0.26,0,62.57,0,22,0.13,11.53,4.39,1.09,41.69,11.6,51.25,0,3.69,32.86,41.74
5213905,465,1806,2311.99999532,9055.99998192,94.45,25.66,8.14,0,3.92,64.39,12.31,42.69,324.84,630.27,0.67,96.36,45.09,60.05,7.27,64.9,1.33,47.77,0,30.07,11.88,66.93,0.27,19.23,76.21,30.65,72.08,100,100,89.02,67.79,74.41,0,100,43.91,12.83,7.09,0.84,3.26,0.63,58.82,0.485,669.57,1381.06,0.591,974.54,1648.48,9.3,2.94,57.09,18.57,18.18,5.66,1199.42,1202.1,1.5,1.28,39.57,98.58,2.35,37.92,1.54,0,60.55,0,22,0.12,13.65,4.02,1.15,37.63,17.68,51.3,0,3.78,14.47,42
5214002,477,2008,2388.99999534,10077.99998048,87.32,26.6,11.88,0.1,4.22,68.79,15.94,41.96,445.86,690.19,0.74,99.08,54.68,51.22,3.14,88.23,0,62.89,0,11.64,28.97,80.79,0,35.69,73.33,33.28,70.08,100,100,88.64,70.5,75.56,0,100,62.37,14.55,7.85,1.07,3.45,0.36,54.08,0.638,1121.73,1757.96,0.875,1516.94,1732.85,6.08,2.57,52.69,19.57,23.34,5.03,1685.94,1602.92,1.96,1.71,40.19,99.52,0.95,39.24,2.83,0.04,57.89,0,20,0.07,13.57,2.61,1.04,54.42,14.11,62.47,0.07,4.03,18.72,41.14
5214051,243,1025,1278.99999756,5475.99998973,69.31,23.09,9.04,0,4.28,68.49,11.71,43.21,378.98,726.11,0.78,97.72,50.36,54.24,1.57,80.81,1.2,39.01,0,8.01,20.32,91.25,0,18.31,68.34,38.16,64.22,100,100,88.99,66.01,67.77,0,100,50.83,8.88,5.34,0.69,2.56,0.31,60.48,0.346,636.15,1838.19,0.449,1001.03,2230.85,3.77,1.03,59.85,17.8,14.26,14.92,1538.86,1521.97,1.78,1.63,37.43,99.18,0.36,43.1,2.74,0,54.16,0,20,0.08,13.78,2.91,1.1,64.36,20.19,75.04,0,4.05,15.74,41.88
5214101,199,809,980.99999803,4063.99999193,90.1,25.52,4.73,0,4.14,70.86,14.27,45.04,317.68,500.85,0.53,98.2,38.79,67.8,6.93,57.71,0,34.54,0,26.43,18.41,64.33,0,17.67,72.9,32.45,72.04,100,100,89.07,72.23,83.08,0,100,47.33,11.49,6.2,0.64,3.12,0.95,56.38,0.578,703.56,1216.58,0.728,972.22,1334.78,7.67,0.67,56,16.4,16.94,6.71,1141.94,1096.78,1.38,1.17,39.27,99.24,1.66,37.39,0.61,0.09,61.91,0,21,0.14,13.41,5.36,1.05,52.76,17.24,61.68,0,3.89,17.07,43.99
5214408,344,1467,1617.99999652,6243.99998513,98.92,21,16.31,0.33,3.86,64.27,18,44.22,356.69,572.88,0.61,98.48,59.82,54.5,5.77,96.74,0,72.39,0,14.37,63.13,81.75,0,28.09,78.19,29.11,77.66,100,100,90.45,59.02,80.25,0,100,50.71,11.68,7.94,0.54,3.23,0.14,50.17,0.501,743.27,1483.22,1.079,1369.71,1269.5,9.27,3.47,48.43,37.49,35.58,6.33,1274.02,1300.07,1.69,1.39,42.49,99.43,2.13,67.31,5.18,0,27.51,0,23,0.13,12.23,4.37,1.05,36.74,15.38,47.01,0,3.7,20.91,43.44
