cod_mun,n_dom_amostra,n_pes_amostra,dom_pond,pop_pond,a10b_parede_alvenaria,a11_adensamento,a13_alugado,a14_apartamento,a15_moradores,a16_com_criancas,a17_resp_mulher,a18_idade_resp,a19_rdpc_mediana,a19b_rdpc_media,a19c_rdpc_sm,a19z_v2012_naonulo,a2_agua_rede,a20_rdpc_baixa,a21b_com_defic_1991,a22_energia,a23_esgoto_adeq,a3_agua_dentro,a4_esgoto_rede,a5_esgoto_inadeq,a6_lixo_coletado,a7_banheiro_excl,a8_saneamento_ok,a9_maq_lavar,b1_alfabetizacao,b10_sem_instrucao,b11_alfab_resp,b1z_alfab_naonulo_15mais,b1z_alfab_naonulo_5a14,b1z_alfab_naonulo_geral,b2_analf_60mais,b3_freq_6a14,b3z_grau_ambos_nulos,b3z_v0324_naonulo,b4_freq_15a17,b6_fund_completo,b7_medio_completo,b8_superior_comp,b9_anos_estudo,b9z_estudo_acima17,c1_participacao,c10_raz_rend_sexo,c10a_rend_fem,c10b_rend_masc,c11_raz_rend_raca,c11a_rend_pretos_pardos,c11b_rend_brancos,c13_beneficio,c2_desocupacao,c3_ocupacao,c4_carteira,c5_previdencia,c6_domestico,c7_rend_trab_med,c8_rend_total_med,c8z_faixa_sm,c8z_valor_sm,c9_sem_rendimento,c9z_rend_naonulo_14mais,d10c_deficiencia_1991,d1a_branca,d1b_preta,d1c_amarela,d1d_parda,d1e_indigena_raca,d2_idade_mediana,d3_envelhecimento,d5_pop_0a5,d6_pop_65mais,d7_razao_sexo,e1_nao_natural,e2_migrante_5anos,e2z_v0318_naonulo,e3_estrangeiro,f1_tamanho_familia,f2_resp_mulher,f3_idade_resp
1100015,717,3239,7094.99999274,31979.99996722,5.33,29.81,6.12,0.12,4.51,77.92,4.55,39.04,222.93,476.19,0.51,92.74,0,68.1,3.57,31.58,3.5,19.54,0,42.94,2.09,54.43,0,20.24,78.06,32.14,72.97,100,100,85.84,61.47,64.82,0,100,25.51,10.1,4.34,0.38,2.85,0.33,59.46,1.409,1946.69,1381.72,0.589,1046.66,1775.81,3.06,1.7,58.45,32.6,14.62,4.25,1472,1476.49,1.61,1.58,49.77,96.69,0.89,61.12,3.76,0,34.98,0.14,18,0.04,16.69,1.77,1.14,83.33,36.24,97.14,0.07,4.39,5.32,38.72
1100023,1962,8453,19177.1979888601,83098.8928149301,18.16,28.47,10.62,0.44,4.34,75.22,8.77,39.14,423.57,790.24,0.84,94.22,36.17,50.33,3.47,59.85,7.27,43.76,0,21.99,44.3,71.81,4.86,29.23,81.36,27.71,76.43,100,100,86.45,49.67,65.98,0,100,35.13,15.5,9.06,1.7,3.6,0.95,64.77,0.693,1326.34,1913.65,0.724,1522.22,2103.36,3.5,2.61,63.08,36.51,21.32,5.06,1757.67,1771.55,2.2,1.89,41.51,97.59,0.82,38.15,4.39,0.4,56.89,0.16,19,0.04,16.3,1.79,1.12,75.89,24.8,88.55,0.16,4.17,10.41,38.74
1100031,365,1610,1816.99999632,8173.99998329,5.42,25.61,5.48,0,4.5,71.56,6.29,41.5,222.93,417.07,0.45,77.49,7.12,55.4,4.28,25.67,10.99,12.24,0,35.5,12.89,62.52,3.99,17.41,78.67,33.3,72.76,100,100,86.49,56.15,70.2,0,100,44.54,8.64,4.23,0,2.58,0.33,53.58,0.909,1090.39,1199.87,0.683,898.68,1316.67,4.45,2.91,52.02,42.79,18.32,2.05,1230.36,1180.23,1.54,1.26,53.44,90.47,0.94,60.56,2.54,0.04,36.8,0.06,18,0.06,16.06,2.62,1.14,77.59,30.73,90.5,0.04,4.41,7.03,40.99
1100049,1899,9082,18012.9999809,79035.34532697,23.8,23.91,12.63,0.65,4.39,73.79,9.68,40.31,371.55,921.01,0.98,93.16,40.74,53.15,3.14,54.71,41.82,50.58,0,21.82,38.68,73.77,29.79,28.06,78.32,30.13,74.9,100,100,86.65,58.09,70.96,0,100,44.02,14.91,8.59,1.48,3.46,0.41,58.69,0.594,1444.76,2433.03,0.583,1567.15,2687.39,4.32,2.5,57.22,51.35,25.32,5.21,2202.45,2183.66,2.33,2.33,45.25,96.92,0.83,51.78,3.88,0.31,43.59,0.44,19,0.06,16.14,2.52,1.06,72.08,22.96,84.49,0.15,4.21,11.19,39.81
1100056,518,2353,4982.99999485,21607.9999765301,13.31,21.57,7.61,0.33,4.34,75.21,10.02,40.59,326.04,663.13,0.71,96.72,27.88,60.99,4.61,54.48,28.39,43.71,0,11.88,22.71,87.86,17.97,16.84,79.28,30.36,76.28,100,100,86.71,59.34,73.73,0,100,47.14,11.1,7.04,0.87,3.2,0.63,56.35,0.564,993.67,1763.08,0.542,1093.5,2018.91,5.9,2.86,54.74,33.86,24.03,5.08,1565.92,1565.24,1.97,1.67,42.78,98.22,1.06,52.04,2.26,0.12,45.45,0.13,19,0.07,15.98,2.76,1.08,78.55,23.15,91.23,0.27,4.21,11.17,40.29
1100064,849,3787,8491.99999151999,38992.99996231,8.22,26.69,4.86,0,4.59,77.36,7.96,40.94,234.08,540.03,0.58,94.67,26.51,66.27,2.77,35.77,10.92,29.38,0,36.39,8.18,63.84,8.41,17.13,74.08,37.7,71.7,100,100,86.51,64.39,67.28,0,100,32.48,10.26,5.97,1.31,2.75,0.78,54.9,0.764,1081.7,1415.19,0.506,982.99,1942.52,4.59,2.97,53.27,40.45,19.77,4.39,1373.34,1349.31,1.7,1.44,47.43,97.84,0.62,36.1,1.61,0.21,62.08,0,18,0.05,16.27,2.06,1.11,73.56,20.19,85.53,0.06,4.45,9.01,40.55
1100080,227,977,2295.99999769,10375.99999001,12.43,41.13,4.93,0,4.52,74,10.25,41.06,334.39,858.33,0.92,79.63,37.04,48.66,1.35,55.09,18.71,25.52,0,33.15,19.68,65.94,15.25,13.29,76.9,28.15,71.91,100,100,84.43,61.13,68.31,0,100,35.87,19.36,11.75,1.62,3.75,0,55.21,0.68,1509.14,2219.09,0.529,1544.17,2917.39,4.31,5.77,52.03,55.09,33.45,1.62,2042.96,2046.65,2.36,2.19,47.1,90.97,0.3,39.56,1.8,0,58.18,0.46,17,0.05,18.05,2.4,1.12,59.51,33.91,71.24,2.52,4.39,11.2,40.74
1100098,567,2691,5269.99999422,23155.99997229,12.23,27.37,7.53,0.18,4.39,73.52,7.26,39.26,371.55,755.03,0.81,98.58,20.66,57.57,3.56,50.3,35.04,41.72,0,30.55,29.22,65.37,14.73,21.38,79.86,29.05,76.61,100,100,86.6,55.8,67.33,0,100,32.13,14.11,7.24,0.9,3.28,0.29,59.51,0.704,1346.82,1914.04,0.743,1513.95,2038.57,3.19,1.35,58.71,34.73,17.47,5.75,1688.63,1791.03,2.07,1.91,43.96,99.3,0.8,51.62,2.56,0.06,44.77,1,19,0.05,15.68,2.21,1.09,74.85,28.15,86.84,0,4.2,9.06,38.66
1100106,712,3045,7468.99999279,32582.9999690499,34.57,36.18,16.96,0,4.36,72.33,19.56,41.59,535.03,1101.32,1.18,97.05,46.84,41.02,3.94,78.74,42.39,50.67,0.36,10.62,71.49,82.41,30.57,18.45,84.11,24.28,79.86,100,100,85.95,46.27,80.21,0,100,68.8,30.93,21.64,3.27,5.01,0.53,56.64,0.827,2279.31,2757.2,0.769,2361.59,3069.14,7.05,4.95,53.83,56.78,38.79,6.15,2432.32,2598.44,3.13,2.78,41.46,98.67,0.97,33.5,2.87,0.16,60.14,3.34,18,0.09,17.05,3.64,1.01,32.37,14.17,41.19,3.53,4.03,23.8,40.16
1100114,1372,6345,13852.99998626,63534.9999363498,11.26,25.37,8.47,0,4.59,73.85,8.74,40.39,371.55,689.81,0.74,85,10.41,47.91,4.54,44.2,7.95,26.97,0,38.24,20.31,61.39,3.6,21.14,74.93,37.88,70.51,100,100,86.44,66,65.01,0,100,34.2,10.65,5.3,0.74,2.68,0.8,56.66,0.733,1262.77,1722.87,0.858,1546.26,1801.12,3.84,4.03,54.38,43.07,21.87,4.17,1628.73,1628.33,1.99,1.74,45.28,93.21,1.11,33.38,7.03,0.19,59.36,0.05,18,0.06,16.3,2.36,1.1,72.53,24.05,85.15,0.07,4.44,9.8,39.93
1100122,2236,9860,22499.99997729,97798.9998998905,26.37,25.1,16.55,1.12,4.35,74.69,13.75,39.93,445.86,926.95,0.99,95.95,38.78,44.87,2.62,75.88,37.1,58.4,0,24.65,45.39,72.71,21.8,23.6,83.59,26.21,79.04,100,100,87.09,48.27,76.79,0,100,55.64,20.52,12.51,2.39,4.05,0.74,59.35,0.717,1576.86,2198.74,0.643,1633.16,2539.34,4.8,4.46,56.7,53.75,38.76,6.45,2014.62,2012.62,2.53,2.15,39.99,98.17,0.64,41.44,2.13,0.23,55.95,0.25,19,0.07,15.64,2.63,1.02,65.53,15.97,76.4,0.19,4.15,16.35,39.4
1100130,390,1642,3775.99999619,16764.99998399,1.18,30.33,3.61,0,4.44,74.38,4.51,40.12,334.39,636.6,0.68,73.12,14.58,37.64,3.9,28.65,1.1,17.39,0,56.35,0.48,45.13,0,12.88,76.18,36.58,72.04,100,100,87.17,42.91,54.04,0,100,34.67,9.88,3.16,0.31,2.62,0.95,60.74,0.783,1433.9,1832.31,0.87,1675.04,1925.43,1.9,5.1,57.64,34.63,12.02,3.23,1614.13,1760.39,2.22,1.88,45.62,85.9,0.98,38.92,4.9,1.53,54.59,0.06,18,0.03,14.94,1.36,1.21,86.15,53.89,99.84,0.05,4.41,5.17,40.06
1100148,364,1858,3456.99999642,15797.99998163,5.02,31.64,6.5,0,4.57,73.01,6.67,40.95,231.85,387.23,0.41,91.24,0,70.23,4.39,22.17,0.12,11.17,0,38.05,0,60.33,0,15.14,70.06,41.63,69.22,100,100,87,67.59,66.3,0,100,40.42,6.86,2.32,0,2.28,0.2,52.97,0.85,888.57,1045.05,0.853,953,1117.87,2.7,2.85,51.46,56.03,16.39,1.93,1010.47,1025.74,1.3,1.1,51.82,96.41,0.95,42.69,4.6,0.09,51.38,1.24,18,0.05,15.32,1.82,1.11,85.48,32.46,98.45,0.03,4.39,8.4,40.33
1100155,1919,10258,17889.99998089,84574.4800016898,13.57,25.93,6.71,0.25,4.73,75.89,7.13,40.97,297.24,636.38,0.68,93.24,15.39,58.52,4.72,39.94,23.36,29.68,0,37.93,21.25,59.58,10.43,19.36,74.4,37.4,69.98,100,100,86.31,59.17,64.88,0,100,32.5,9.27,5.1,0.86,2.73,0.57,55.28,0.68,1187.84,1747.85,0.908,1581.5,1741.34,3.69,3.59,53.29,44.12,17.06,3.07,1662.47,1652.64,2.01,1.77,50.12,97.21,1.04,45.79,3.63,0.1,50.08,0.4,18,0.06,16.53,2.41,1.08,70.87,21.35,82.85,0.06,4.55,8.97,40.49
1100189,1173,5290,11311.99998837,48758.99994767,19.12,27.76,10.68,0.53,4.31,75.97,9.45,39.94,371.55,780.18,0.83,96.46,41.31,57.04,4.08,58.22,34.62,47.03,0,25.31,40.99,72.35,25.77,24.99,79.1,30.28,75.02,100,100,86.25,56.41,68.26,0,100,38.32,14.38,8.19,1.53,3.39,0.85,59.38,0.727,1372.7,1887.51,0.654,1402.5,2144.71,4.07,3.43,57.34,50.72,30.92,4.49,1710.32,1773.86,2.15,1.89,42.91,98.37,1.1,50.05,5.97,0.02,43.92,0.04,19,0.06,16.72,2.24,1.11,75.47,31.37,88.21,0.27,4.11,11.78,39.38
1100205,6946,28833,68277.9999307001,287288.9352748,47.93,34.65,17.37,2.37,4.21,72.12,17.91,38.41,697.45,1428.02,1.53,96.59,47.37,32.33,2.53,92.89,55.35,56.99,0.91,12.56,61.95,78.59,27.94,26.23,86.77,18.07,80.17,100,100,85.98,47.61,77.97,0,100,60.32,36.15,21.71,5.13,5.62,0.69,62.1,0.702,2271,3235.41,0.591,2446.27,4141.51,4.7,5.52,58.68,58.24,47.39,5.69,2800.24,2902.25,3.54,3.1,37.51,98.56,0.62,26.25,3.05,0.27,70.16,0.26,19,0.05,16.79,2.15,1.03,51.95,24,62.15,0.22,3.95,20.62,37.55
1100254,695,3071,6732.99999294,30063.99996902,16.32,26.96,6.98,0,4.47,74.3,8.41,41.27,334.39,530.52,0.57,95.77,27.18,63.44,4.33,40.74,20.56,31.1,0,30.65,19.21,68.6,15.9,16.7,72.19,36.69,69.91,100,100,86.52,77.45,71.08,0,100,27.81,11.49,6.18,1.11,2.88,1.07,62.98,0.767,1164.58,1518.98,0.985,1449.72,1471.66,5.01,1.19,62.23,43.7,16.55,3.12,1455.16,1443.66,1.83,1.54,48.55,98.31,1.1,26.86,2.61,0,70.53,0,19,0.06,15.97,2.63,1.11,71.87,23.89,84.12,0.06,4.32,9.7,40.87
1100288,1476,7160,13609.99998542,59750.9999296,12.63,26.21,6.45,0.07,4.39,72.83,7.79,40,297.24,569.78,0.61,94.32,14.37,61.37,3.48,43.41,5.25,30.7,0,27.2,16.99,70.77,1.95,22.36,76.81,34.49,73.44,100,100,86.42,60.37,66.79,0,100,32.47,11.04,5.5,1.1,2.89,0.32,58.65,0.69,1106.96,1604.82,0.623,1175.59,1887.7,3.63,2.36,57.27,43.44,21.56,4.28,1494.82,1501.45,1.86,1.6,46.73,97.4,0.83,46.75,3.94,0.31,48.78,0.22,19,0.05,16.49,2.1,1.08,79.25,23.8,92.45,0.19,4.23,9.34,39.51
1100296,298,1478,2761.99999698,12327.99998507,15.11,27.18,3.06,0,4.46,76.35,6.56,40.11,222.93,362.09,0.39,89.24,10.83,69.88,3.05,26.5,2.02,15.92,0,42.07,13.02,56.64,1.12,11.41,74.13,42.26,70.83,100,100,85.17,68.42,59.66,0,100,25.61,7.08,3.16,0.35,2.3,0.3,60.3,0.927,890.98,960.89,0.847,875.86,1033.93,4.02,1.68,59.29,48.57,12.9,1.96,937.74,948.82,1.2,1.01,50.36,94.31,0.83,51.55,2.21,0.24,46,0,18,0.06,17.92,2.62,1.14,80.87,33.03,95.08,0,4.34,7.91,39.76
1100304,979,3887,9691.99999023001,39262.999961,21.74,16.86,15.32,1.03,4.05,72.23,12.14,37.94,636.94,1238.68,1.32,99.06,77.12,34.29,2.19,83.97,6.59,74.87,0,4.96,74.64,90.72,6.51,38.25,86.49,19.12,82.09,100,100,86.35,55.56,75.85,0,100,49.05,27.67,16.62,3.12,4.91,0.39,63.18,0.62,1823.03,2942.63,0.523,1722.91,3294.35,3.45,3.2,61.16,61.72,53.69,6.69,2518.86,2598.68,3.03,2.78,35.95,99.5,0.57,54.72,3.6,0.17,40.55,0.96,20,0.03,16.28,1.29,1.03,78.26,33.74,91.32,0.49,3.84,14.77,37.3
1100320,409,1811,4151.9999959,19457.9999816,4.15,34.28,2.4,0.2,4.69,77.53,3.44,38.58,169.43,416.62,0.44,89.45,0,71.96,2.63,14.05,2.78,9.32,0,63.88,0.99,37.34,0,12.88,72.9,40.04,67.95,100,100,85.18,63.74,57.48,0,100,25.8,5.34,1.44,0.67,2.23,0.01,57.12,1.517,1486.55,979.86,0.709,895.93,1263.79,2.4,0.66,56.74,42.37,8.03,1.88,972,1037.6,1.34,1.11,50.29,95.81,0.56,35.6,3.08,0.05,61.21,0.06,17,0.03,17.76,1.24,1.18,88.96,79.2,104.98,0.03,4.5,4.19,38.34
1100338,322,1483,1624.99999685,7247.99998562001,7.97,32.32,6.62,0,4.46,75.96,15.69,39.61,361.15,607.59,0.65,99.05,16.91,63.65,4.45,49.93,12.1,13.97,0,29.92,32.02,68.06,4.81,6.68,66.57,40.99,64.3,100,100,84.86,81.09,66.88,0,100,41.92,10.6,4.03,0.72,2.67,0.12,55.37,0.805,1183.99,1470.14,1.06,1474.64,1390.72,5.49,5.07,52.57,35.2,15.98,3.02,1351.72,1412.04,1.8,1.51,42.89,99.69,1.07,40.47,5.84,0.16,51.63,1.89,17,0.05,17.91,2.37,1.13,56.21,25.29,67.01,1.27,4.36,16.44,39.56
1100346,455,2235,4459.99999551,21613.8943709399,3.19,30.42,5.32,0,4.72,73.87,7.64,40.57,222.93,407.95,0.44,92.48,0,68.1,1.82,30.35,14.06,22.63,0,46.32,13.29,57.65,0,11.44,73.98,37.49,70.31,100,100,86.12,55.46,74.85,0,100,25.35,10.53,5.38,0.4,2.79,0.53,59.86,0.836,945.85,1131.59,0.892,1038.33,1164.52,3.89,2.91,58.12,31.17,17.51,4.78,1064.26,1093.79,1.4,1.17,48.95,96.89,0.42,44.95,2.38,0,52.67,0,18,0.05,16.3,2.17,1.14,84.42,40.08,98.12,0.13,4.54,9.26,40.06
1200054,120,633,580.99999879,2916.99999359,5.34,52.06,5.7,0,5.02,82.1,13.34,38.67,436.31,645.04,0.69,96.31,49.1,54.62,3.68,45.22,8.86,10.09,0,50.07,35.22,50.16,6.12,0,69.95,40.4,63.97,100,100,80.78,78.3,62.98,0,100,37.19,15.8,6.21,1.9,3.03,1.28,60.98,0.876,1474.24,1683.22,0.892,1629.86,1826.25,2.96,8.95,55.52,70.08,39.31,2.09,1484.05,1625.1,2.11,1.74,43.29,98.41,0.92,15.43,0.4,0,77.65,6.53,16,0.04,21.9,2.08,1.14,19.56,9.27,25.98,0.19,4.66,16.53,37.45
1200104,467,2067,4650.99999528,20262.99997896,5.98,44.07,6.07,0,4.36,73.87,15.76,42.34,334.39,684.8,0.73,94.04,40.7,56.31,6.2,48.67,9.09,17.72,0,52.78,26.28,49.36,7.48,3.4,63.57,47.67,59.32,100,100,86.22,58.3,59.76,0,100,40.33,13.71,8.11,1.13,2.72,2.5,59.26,0.675,1048.39,1553,0.513,1253.43,2441.98,4.81,3.77,57.02,42.66,22.6,5.39,1383.13,1426.64,1.82,1.52,43.34,97.76,1.43,13.62,1.29,0,84.96,0.14,18,0.08,16.93,3.33,1.08,10.41,4.06,12.3,0.19,4.23,18.7,41.6
1200203,1253,6380,12476.99998735,66218.6161811701,8.81,50.13,4.67,0.43,5.31,83.4,13.27,40.79,260.08,507.92,0.54,97.45,25.15,70.21,5.22,46.02,13.08,14.53,0,41.89,18.08,55.07,9.79,2.64,55.11,46.15,48.14,100,100,83.28,66.33,53.81,0,100,46.68,13.53,7.84,0.45,2.69,0.78,50.71,0.706,1085.08,1536.08,0.852,1350.36,1585.43,9.08,4.69,48.33,56.49,24.51,6.19,1394.55,1405.87,1.75,1.5,46.67,99.16,1.06,23.36,2.58,0.02,73.06,0.98,15,0.06,20.06,2.86,1.03,5.62,2.83,8.69,0.11,5.02,16.03,39.69
1200302,342,1731,3363.99999663,17768.99998308,2.53,54.82,0.88,0,5.28,85.17,12.53,41.87,254.78,473.18,0.51,97.54,9,72.13,6.68,38.12,10.06,12.17,0,48.72,6.61,49.84,1.55,2.36,41.7,64.52,35.31,100,100,83.36,82.37,37.67,0,100,29.09,7.66,4.58,0.52,1.71,1.48,49.07,0.798,1092.3,1368.05,0.851,1258.24,1479.11,6.56,2.61,47.79,59.34,24.59,2.35,1215.85,1306.22,1.6,1.4,48.52,99.14,1.27,35.34,3.69,0.04,54.98,5.95,15,0.05,19.06,2.5,1.05,10.87,3.84,15.47,0,4.75,16.92,40.22
1200336,372,1842,1845.99999631,10187.01759919,2,57.9,0.81,0,5.52,85.63,10.1,42.51,198.16,309.14,0.33,96.94,4.39,77.23,6.04,22.66,0,1.23,0,50.07,0.13,46.28,0,0,48.75,54.03,39.32,100,100,82.95,69.6,53.3,0,100,44.95,9.83,4.17,0.28,2.06,0.32,51.59,0.93,887.33,954.52,1.329,1014.01,762.78,10.29,6.34,48.32,59.74,16.1,1.99,932.58,938.58,1.2,1,46.11,99.28,1.17,16.21,1.71,0.23,78.34,3.51,14,0.08,20.67,3.87,1.11,8.83,4.06,11.37,0.03,5.08,12.94,41.42
1200344,197,896,1033.99999798,5317.60382427,0.59,67.34,2.77,0,5.14,79.09,9.61,39.76,173.39,326.22,0.35,97.88,21.27,65.63,1.26,36.68,0,2.44,0,80.88,4.43,24.04,0,0,39.27,72.63,29.21,100,100,84.48,56.93,44.04,0,100,58.02,6.51,2.42,0,1.28,0.94,42.69,0.525,891.04,1697.88,1.326,1650.04,1244.79,3.56,20.83,33.8,62.93,37.77,2.66,1573.27,1517.29,1.84,1.62,62.8,99.21,0.24,11.32,0.34,0.04,80.26,8.05,14,0.04,18.84,1.89,1.08,9.25,5.35,11.29,0,5.04,10.64,39.45
1200385,346,1570,3318.9999966,15534.99998452,2.81,49.85,4.48,0.42,4.68,75.97,10.96,40.44,267.52,484.49,0.52,90.19,9.29,61.46,4.58,36.89,1.84,7.62,0.08,42.07,24.75,54.98,0,0.53,63.15,48.43,56.72,100,100,84.55,57.44,47.99,0,100,27.92,10.05,4.95,0.53,2.44,1.24,55.99,0.632,1052.02,1663.52,0.901,1544.08,1713.49,3.88,3.3,54.14,47.86,17.8,3.26,1457.83,1554.17,1.78,1.66,49.22,95.7,1.19,6.41,1.13,0.09,92.24,0.12,17,0.05,18.28,2.39,1.18,44.1,21.9,53.94,0.06,4.41,12.71,40
1200401,4652,19954,45873.99995335,197375.999800059,26.39,37.73,10.18,2.91,4.3,75.62,21.69,40.79,557.32,1175.86,1.26,97.8,66.04,39.8,4.44,89.62,38.74,48.97,6.89,20.43,58.32,76.06,30.83,9.89,78.26,27.14,72.07,100,100,86.66,50.45,73.74,0,100,61.8,32.23,19.81,4.95,4.92,0.97,61.61,0.665,1868.34,2807.86,0.667,2130.13,3195.69,7.93,5.05,58.5,66.31,51.08,7,2322.38,2450.48,2.99,2.62,35.73,99.12,1.07,28.75,2.54,0.06,68.41,0.25,19,0.08,16.06,3.32,0.98,35.74,13.62,45.07,0.15,4.01,24.6,39.78
1200450,757,3352,3880.99999257,17488.99996693,5.58,44.2,4.88,0.15,4.51,78.36,11.97,41.96,371.55,643.87,0.69,91.37,20.97,52.16,4.97,48.69,11.88,19.29,0.87,45.47,16.04,48.63,8.35,3.08,65.53,41.54,59.47,100,100,85.24,66.47,65.74,0,100,44.31,9.86,5.47,0.61,2.51,1.06,59.21,0.48,864.47,1802.2,0.875,1558.65,1781.5,7.16,3.44,57.17,43.61,25.61,2.48,1435.69,1589.63,1.9,1.7,40.84,96.36,1.18,14.25,1.18,0.04,84.53,0,17,0.07,17.7,3.22,1.14,57.56,27.43,68.8,0.2,4.23,14.89,40.99
1200500,459,2226,4617.99999536,24001.09296231,5.1,56.78,5.9,0,5.2,85.3,12.37,40.4,239.65,466.01,0.5,89.38,28.25,60.56,5.98,41.85,7.88,17.53,0,55.5,23.08,67.46,5.58,1.43,48.15,60.13,41.53,100,100,84.81,65.72,43.92,0,100,44.38,11.1,6.79,0.64,1.97,0.4,51.26,0.653,1041.74,1596.37,0.704,1381.75,1962.63,7.13,8.53,46.88,40.98,22.12,4.02,1443.64,1469.49,1.87,1.57,49.06,95.19,1.4,12.01,2.35,0.04,84.69,0.91,15,0.06,18.62,2.85,1.08,6.56,2.81,8.38,0,5.05,13.66,39.94
1200609,558,3022,5170.99999442,27658.9999699301,5.03,63.01,3.97,0,5.35,84.92,12.44,40.8,191.72,366.4,0.39,97.31,20.5,79.82,3.12,32.38,8.08,11.27,0.09,63.22,16.25,34,4.34,0.82,36.14,69.12,30.53,100,100,81.87,59.38,32.4,0,100,31.83,6.96,3.31,0.23,1.37,0.83,52.02,0.891,963.98,1082.34,1.039,1079.76,1039.05,7.33,2.52,50.71,46.85,16.81,4.24,1009.03,1056.14,1.38,1.13,45.2,98.93,0.65,10.07,5.57,0.08,79.55,4.72,14,0.05,21.4,2.43,1.08,3.16,2.08,7.3,0,5.06,14.76,39.98
1200708,301,1257,2957.99999698,12365.9999874,3.45,39.91,4.9,1.39,4.18,70.65,17.51,41.72,334.39,520.58,0.56,95.99,30.66,58.87,5.15,44.65,18.04,15.68,0,63.26,21.27,33.45,10.76,3.49,52.98,55,46.88,100,100,85.47,62.36,53.34,0,100,36.23,11.36,7.29,0.32,2.27,0.28,58.02,0.844,1089.69,1291.62,0.599,1111.26,1854.5,7.78,3.52,55.98,58.39,30.19,1.74,1156.92,1238.61,1.59,1.32,41.75,97.8,1.29,16.35,5.39,0,78.26,0,18,0.08,16.66,3.3,1.05,9.4,3.61,16.86,0.2,3.99,19.8,40.86
1300029,238,1468,1420.95914505,8486.99998815,4.35,71.97,2.53,0.4,5.97,84.16,9.98,40.51,247.7,562.41,0.6,69.77,27.71,40.33,1.14,41.72,2.29,5.76,0,58.21,0.4,39.44,1.98,0.95,53.61,59.15,48.14,100,100,80.63,57.3,46.72,0,100,53.88,6.45,4.47,0.22,1.87,0.08,57.39,0.688,1269.4,1844.76,3.871,1716.65,443.47,4.01,6.1,53.89,26.63,10.01,1.58,1683.83,1694.44,2.17,1.81,44.41,86.59,0.19,1.53,0.22,0.36,91.53,6.35,15,0.04,22.69,1.99,1.12,5.57,4.34,7.31,0,5.51,13.96,39.34
1300060,161,866,824.99999838,4737.99999122,3.38,54.75,1.32,0,5.74,84.45,8.48,42.17,132.64,331.15,0.35,97.61,35.35,40.1,3.39,38.25,1.08,3.03,0,95.05,21.04,78.28,1.08,0,57.59,50.92,48.56,100,100,79.75,62.19,40.78,0,100,54.61,8.33,4.59,0.8,2.15,0.6,32.34,0.855,1450.84,1696.05,,1650.32,,5.9,24.05,24.57,12.74,20.76,1.69,1818.16,1622.37,2.01,1.73,68.9,99.04,0.6,0,0.08,0,73.03,26.89,15,0.08,23.9,4,1.06,1,1.04,2.84,0,5.1,14.72,40.92
1300086,196,1192,945.99999805,6023.99998808,1.39,65.89,0.26,0,6.37,88.95,7.72,43.03,289.81,592.6,0.63,99.45,19.4,72.82,6.86,32.25,3.61,2.7,0,24.71,0,94.47,3.61,0,64.72,52,54.47,100,100,82.42,69.77,76.9,0,100,72.88,4.56,3.02,0.52,1.77,0,57.29,0.533,958.5,1799.86,0.746,1531.75,2052.52,5.65,2.21,56.02,2.83,9.46,1.65,1607.38,1579.41,1.98,1.69,46.68,99.83,1.08,9.2,0,0,89.65,1.15,14,0.05,20.71,2.42,1.1,10.78,7.05,13.71,0.12,5.76,7.39,41.97
1300102,319,1503,1628.99999678,8989.99998491,12.13,59.19,2.93,0,5.52,85.23,11.01,43.02,312.1,473.04,0.51,99.66,47.16,64.75,6.44,59.85,2.59,14.79,0,30.69,0,67.24,2.43,2.92,55.5,54.8,53.46,100,100,82.5,76.25,71.63,0,100,58.08,10.81,8.56,0,2.36,0.42,45.09,0.807,1377.19,1706.66,0.621,1584.86,2551.87,7.58,8.05,41.46,12.36,20.82,1.39,1683.56,1637.65,2.14,1.75,52.29,99.88,1.59,5.91,0.5,0,93.41,0.19,14,0.07,20.89,3.85,1.08,10.08,6.95,13.24,0,4.99,12.89,41.51
1300144,235,1113,1200.99999759,5731.99998849,0.51,39.15,2.33,0,4.77,78.95,7.05,39.96,445.86,739.47,0.79,89.01,0,48.95,1.57,38.39,5.43,13.12,0,32.56,8.56,66.08,0,4.79,67.51,38.17,61.85,100,100,83.91,61.11,73.56,0,100,31.31,9.12,5.04,0,2.59,0.43,59.49,0.65,1354.95,2084.86,1.002,1974.08,1970.43,2.07,3.03,57.68,13.8,10.58,2.2,1912.06,1950.47,2.37,2.08,48.77,96.65,0.33,43.7,4.94,0,49.5,1.86,17,0.05,19.34,2.28,1.19,71.29,34.37,85.17,0,4.34,9.92,39.43
1300201,253,1490,1339.99999748,7992.99998526,4.08,65.96,1.76,0.55,5.96,81.67,7.75,39.31,282.38,583.99,0.62,58.39,35.63,27.1,5.93,45.98,7.52,36.93,0,35.05,11.27,53.25,7.03,0.83,32.15,71.7,27.04,100,100,80.16,85.22,28.49,0,100,26.72,5.83,3.63,0.54,1.36,0.29,49.59,0.64,1230.81,1922.62,0.482,1444.91,2995.92,3.95,7.06,46.09,13.6,20.6,0.94,1605.32,1728.15,2.17,1.85,55.35,81.47,1.19,7.05,0.52,0.07,68.3,24.06,14,0.03,23.45,1.65,1.14,2.84,2.28,6.22,0.16,5.44,12.03,38.23
